,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,stim_left_num,stim_right_num,high or low arm
0,3,object_02,object_05,648.0,6,2,445.0,0.0,2,object_04,1,0,0,0,0,library_11,2,memory-2step-stake-s,487,845765,0.0-18.0-0.0-0.0,1333,5,6,low
1,3,object_05,object_02,623.0,6,1,395.0,0.2222222222222222,2,object_04,1,2,0,1,2,library_14,2,memory-2step-stake-s,488,853577,0.0-18.0-0.0-0.1,1333,6,5,low
2,1,object_10,object_08,698.0,1,1,398.0,0.2222222222222222,1,object_01,5,12,0,2,2,desert_14,2,memory-2step-stake-s,489,861395,0.0-18.0-0.0-0.2,1333,1,2,high
3,4,object_09,object_06,856.0,7,2,620.0,0.5555555555555556,1,object_01,5,37,0,5,2,restaurant_30,2,memory-2step-stake-s,490,869734,0.0-18.0-0.0-0.3,1333,8,7,low
4,4,object_06,object_09,562.0,7,1,558.0,0.1111111111111111,1,object_01,1,38,0,1,5,restaurant_14,2,memory-2step-stake-s,491,877607,0.0-18.0-0.0-0.4,1333,7,8,low
5,2,object_07,object_03,963.0,4,2,545.0,0.2222222222222222,2,object_04,5,48,0,3,2,forest_6,2,memory-2step-stake-s,492,885568,0.0-18.0-0.0-0.5,1333,3,4,high
6,4,object_06,object_09,714.0,7,1,383.0,0.5555555555555556,1,object_01,1,53,0,5,2,restaurant_12,2,memory-2step-stake-s,493,893672,0.0-18.0-0.0-0.6,1333,7,8,low
7,2,object_03,object_07,622.0,3,2,388.0,0.5555555555555556,1,object_01,5,78,0,5,2,forest_29,2,memory-2step-stake-s,494,901783,0.0-18.0-0.0-0.7,1333,4,3,high
8,3,object_02,object_05,627.0,5,1,316.0,0.6666666666666666,1,object_01,1,84,0,6,1,library_18,2,memory-2step-stake-s,495,909922,0.0-18.0-0.0-0.8,1333,5,6,low
9,3,object_05,object_02,578.0,5,2,323.0,0.4444444444444444,1,object_01,1,88,0,4,1,library_1,2,memory-2step-stake-s,496,917865,0.0-18.0-0.0-0.9,1333,6,5,low
10,3,object_05,object_02,536.0,5,2,567.0,0.4444444444444444,1,object_01,1,92,0,4,3,library_26,2,memory-2step-stake-s,497,926048,0.0-18.0-0.0-0.10,1333,6,5,low
11,4,object_06,object_09,544.0,7,1,410.0,0.5555555555555556,1,object_01,1,97,0,5,2,restaurant_16,2,memory-2step-stake-s,498,934183,0.0-18.0-0.0-0.11,1333,7,8,low
12,1,object_10,object_08,774.0,1,1,433.0,0.2222222222222222,1,object_01,1,99,0,2,1,desert_30,2,memory-2step-stake-s,499,942034,0.0-18.0-0.0-0.12,1333,1,2,high
13,3,object_02,object_05,621.0,5,1,655.0,0.5555555555555556,1,object_01,1,104,0,5,2,library_15,2,memory-2step-stake-s,500,950411,0.0-18.0-0.0-0.13,1333,5,6,low
14,2,object_07,object_03,547.0,3,1,428.0,0.5555555555555556,1,object_01,5,129,0,5,3,forest_15,2,memory-2step-stake-s,501,958560,0.0-18.0-0.0-0.14,1333,3,4,high
15,1,object_10,object_08,772.0,2,2,638.0,0.3333333333333333,2,object_04,5,144,0,5,3,desert_14,2,memory-2step-stake-s,502,966715,0.0-18.0-0.0-0.15,1333,1,2,high
16,4,object_09,object_06,661.0,7,2,440.0,0.7777777777777778,1,object_01,5,179,0,7,2,restaurant_15,2,memory-2step-stake-s,503,975078,0.0-18.0-0.0-0.16,1333,8,7,low
17,1,object_10,object_08,956.0,1,1,441.0,0.4444444444444444,1,object_01,5,199,0,4,4,desert_12,2,memory-2step-stake-s,504,983138,0.0-18.0-0.0-0.17,1333,1,2,high
18,1,object_08,object_10,1123.0,1,2,407.0,0.4444444444444444,1,object_01,5,219,0,4,6,desert_27,2,memory-2step-stake-s,505,991166,0.0-18.0-0.0-0.18,1333,2,1,high
19,4,object_06,object_09,553.0,7,1,390.0,0.5555555555555556,1,object_01,1,224,0,5,5,restaurant_32,2,memory-2step-stake-s,506,999279,0.0-18.0-0.0-0.19,1333,7,8,low
20,3,object_05,object_02,649.0,5,2,434.0,0.2222222222222222,1,object_01,1,226,0,2,5,library_15,2,memory-2step-stake-s,507,1007127,0.0-18.0-0.0-0.20,1333,6,5,low
21,2,object_03,object_07,596.0,3,2,385.0,0.0,1,object_01,5,226,0,0,5,forest_14,2,memory-2step-stake-s,508,1014727,0.0-18.0-0.0-0.21,1333,4,3,high
22,3,object_02,object_05,1084.0,6,2,346.0,0.2222222222222222,2,object_04,5,236,0,1,2,library_6,2,memory-2step-stake-s,509,1022488,0.0-18.0-0.0-0.22,1333,5,6,low
23,1,object_08,object_10,753.0,1,2,310.0,0.3333333333333333,1,object_01,5,251,0,3,3,desert_19,2,memory-2step-stake-s,510,1030316,0.0-18.0-0.0-0.23,1333,2,1,high
24,4,object_06,object_09,866.0,8,2,337.0,0.3333333333333333,2,object_04,1,254,0,3,3,restaurant_30,2,memory-2step-stake-s,511,1038172,0.0-18.0-0.0-0.24,1333,7,8,low
25,2,object_03,object_07,849.0,3,2,325.0,0.5555555555555556,1,object_01,5,279,0,5,1,forest_8,2,memory-2step-stake-s,512,1046218,0.0-18.0-0.0-0.25,1333,4,3,high
26,3,object_05,object_02,671.0,5,2,714.0,0.6666666666666666,1,object_01,1,285,0,6,4,library_21,2,memory-2step-stake-s,513,1054752,0.0-18.0-0.0-0.26,1333,6,5,low
27,1,object_10,object_08,767.0,1,1,374.0,0.6666666666666666,1,object_01,5,315,0,6,5,desert_13,2,memory-2step-stake-s,514,1062944,0.0-18.0-0.0-0.27,1333,1,2,high
28,3,object_02,object_05,529.0,5,1,818.0,0.6666666666666666,1,object_01,1,321,0,6,9,library_15,2,memory-2step-stake-s,515,1071582,0.0-18.0-0.0-0.28,1333,5,6,low
29,3,object_02,object_05,540.0,5,1,526.0,0.5555555555555556,1,object_01,1,326,0,5,8,library_11,2,memory-2step-stake-s,516,1079833,0.0-18.0-0.0-0.29,1333,5,6,low
30,1,object_10,object_08,809.0,1,1,522.0,0.3333333333333333,1,object_01,5,341,0,3,6,desert_22,2,memory-2step-stake-s,517,1087873,0.0-18.0-0.0-0.30,1333,1,2,high
31,3,object_05,object_02,670.0,5,2,325.0,0.3333333333333333,1,object_01,5,356,0,3,8,library_3,2,memory-2step-stake-s,518,1095714,0.0-18.0-0.0-0.31,1333,6,5,low
