,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,stim_left_num,stim_right_num
0,2,object_07,object_10,1434.02,4,2,1027.105,0.5555555555555556,2,object_04,5,25,0,2,5,forest_14,1,memory-2step-stake-s,488,965994,0.0-18.0-0.0-0.0,1846,3,4
1,3,object_06,object_01,-1.0,-1,-1,-1.0,0.0,-,,5,25,0,2,3,library_7,1,memory-2step-stake-s,489,972521,0.0-18.0-0.0-0.1,1846,5,6
2,2,object_10,object_07,736.315,4,1,483.81,0.0,2,object_04,1,25,0,0,0,forest_13,1,memory-2step-stake-s,490,980221,0.0-18.0-0.0-0.2,1846,4,3
3,1,object_05,object_02,726.985,2,2,724.17,0.1111111111111111,2,object_04,5,30,0,1,1,desert_4,1,memory-2step-stake-s,491,988277,0.0-18.0-0.0-0.3,1846,1,2
4,4,object_09,object_08,866.5,8,1,1041.765,0.2222222222222222,2,object_04,5,40,0,2,2,restaurant_1,1,memory-2step-stake-s,492,996738,0.0-18.0-0.0-0.4,1846,8,7
5,3,object_01,object_06,592.83,5,2,713.085,0.0,1,object_03,5,40,0,0,5,library_29,1,memory-2step-stake-s,493,1004678,0.0-18.0-0.0-0.5,1846,6,5
6,4,object_08,object_09,1350.805,8,2,769.005,0.7777777777777778,2,object_04,1,47,0,0,7,restaurant_16,1,memory-2step-stake-s,494,1013395,0.0-18.0-0.0-0.6,1846,7,8
7,1,object_02,object_05,1119.405,2,1,1094.07,0.5555555555555556,2,object_04,5,72,0,2,5,desert_30,1,memory-2step-stake-s,495,1022221,0.0-18.0-0.0-0.7,1846,2,1
8,2,object_07,object_10,1353.5,3,1,1192.405,0.3333333333333333,1,object_03,5,87,0,3,3,forest_26,1,memory-2step-stake-s,496,1030950,0.0-18.0-0.0-0.8,1846,3,4
9,3,object_01,object_06,1370.615,6,1,-1.0,0.0,2,object_04,5,87,0,4,3,library_19,1,memory-2step-stake-s,497,1039476,0.0-18.0-0.0-0.9,1846,6,5
10,2,object_10,object_07,825.72,4,1,570.125,0.4444444444444444,2,object_04,1,91,0,4,4,forest_15,1,memory-2step-stake-s,498,1047690,0.0-18.0-0.0-0.10,1846,4,3
11,3,object_06,object_01,1233.745,6,2,978.19,0.5555555555555556,2,object_04,5,116,0,6,5,library_22,1,memory-2step-stake-s,499,1056422,0.0-18.0-0.0-0.11,1846,5,6
12,1,object_02,object_05,919.355,1,2,1195.12,0.6666666666666666,1,object_03,1,122,0,6,6,desert_29,1,memory-2step-stake-s,500,1065452,0.0-18.0-0.0-0.12,1846,2,1
13,3,object_06,object_01,766.165,5,1,1043.32,0.5555555555555556,1,object_03,1,127,0,5,6,library_11,1,memory-2step-stake-s,501,1074234,0.0-18.0-0.0-0.13,1846,5,6
