,index,subid,lure_or_no,is_high_arm,accuracy,dprime_lt_high,dprime_lt_low,dprime_lbst_high,dprime_lbst_low
0,0,A10T0161B70BXP,lure,False,0.875,0.0,1.8248391305720895,0.29293181590561934,0.6744897501960817
1,1,A10T0161B70BXP,lure,True,0.75,0.0,1.8248391305720895,0.29293181590561934,0.6744897501960817
2,2,A10T0161B70BXP,lure_but_seen,False,0.5,0.0,1.8248391305720895,0.29293181590561934,0.6744897501960817
3,3,A10T0161B70BXP,lure_but_seen,True,0.8333333333333334,0.0,1.8248391305720895,0.29293181590561934,0.6744897501960817
4,4,A10T0161B70BXP,target,False,0.75,0.0,1.8248391305720895,0.29293181590561934,0.6744897501960817
5,5,A10T0161B70BXP,target,True,0.25,0.0,1.8248391305720895,0.29293181590561934,0.6744897501960817
0,6,A11S8IAAVDXCUS,lure,False,0.875,0.8596307941564646,1.1503493803760079,-0.24376245090062426,0.0
1,7,A11S8IAAVDXCUS,lure,True,0.9375,0.8596307941564646,1.1503493803760079,-0.24376245090062426,0.0
2,8,A11S8IAAVDXCUS,lure_but_seen,False,0.5,0.8596307941564646,1.1503493803760079,-0.24376245090062426,0.0
3,9,A11S8IAAVDXCUS,lure_but_seen,True,0.6666666666666666,0.8596307941564646,1.1503493803760079,-0.24376245090062426,0.0
4,10,A11S8IAAVDXCUS,target,False,0.5,0.8596307941564646,1.1503493803760079,-0.24376245090062426,0.0
5,11,A11S8IAAVDXCUS,target,True,0.25,0.8596307941564646,1.1503493803760079,-0.24376245090062426,0.0
0,12,A11YS0T8MV3Q7C,lure,False,0.75,0.6372787279287503,1.3489795003921634,1.2860609300660761,0.24376245090062398
1,13,A11YS0T8MV3Q7C,lure,True,0.625,0.6372787279287503,1.3489795003921634,1.2860609300660761,0.24376245090062398
2,14,A11YS0T8MV3Q7C,lure_but_seen,False,0.3333333333333333,0.6372787279287503,1.3489795003921634,1.2860609300660761,0.24376245090062398
3,15,A11YS0T8MV3Q7C,lure_but_seen,True,0.8333333333333334,0.6372787279287503,1.3489795003921634,1.2860609300660761,0.24376245090062398
4,16,A11YS0T8MV3Q7C,target,False,0.75,0.6372787279287503,1.3489795003921634,1.2860609300660761,0.24376245090062398
5,17,A11YS0T8MV3Q7C,target,True,0.625,0.6372787279287503,1.3489795003921634,1.2860609300660761,0.24376245090062398
0,18,A12FTSX85NQ8N9,lure,False,0.625,1.3489795003921634,0.0,1.6419113162977828,0.1120879353310823
1,19,A12FTSX85NQ8N9,lure,True,0.75,1.3489795003921634,0.0,1.6419113162977828,0.1120879353310823
2,20,A12FTSX85NQ8N9,lure_but_seen,False,0.6666666666666666,1.3489795003921634,0.0,1.6419113162977828,0.1120879353310823
3,21,A12FTSX85NQ8N9,lure_but_seen,True,0.8333333333333334,1.3489795003921634,0.0,1.6419113162977828,0.1120879353310823
4,22,A12FTSX85NQ8N9,target,False,0.375,1.3489795003921634,0.0,1.6419113162977828,0.1120879353310823
5,23,A12FTSX85NQ8N9,target,True,0.75,1.3489795003921634,0.0,1.6419113162977828,0.1120879353310823
0,24,A12HWPFXQPITHD,lure,False,0.625,1.468988744340383,1.468988744340383,2.533343507476646,1.5810766796714653
