,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_07,object_09,581.39999999851,4,1,-1.0,0.0,2,object_05,5,0,0,1,3,forest_6,2,memory-2step-stake-s,488,763889,0.0-19.0-0.0-0.0,A11S8IAAVDXCUS,3B623HUYK76FV1575X2NKKQMM9B8SL,3A1COHJ8NNBTRBPLK5VQ5QF77AS8HV,4,3
1,2,object_09,object_07,526.70000000112,4,2,344.90000000037,0.5555555555555556,2,object_05,1,5,0,4,5,forest_1,2,memory-2step-stake-s,489,771977,0.0-19.0-0.0-0.1,A11S8IAAVDXCUS,3B623HUYK76FV1575X2NKKQMM9B8SL,3A1COHJ8NNBTRBPLK5VQ5QF77AS8HV,3,4
2,3,object_06,object_08,696.90000000037,6,2,369.79999999888,0.5555555555555556,2,object_05,1,10,0,1,5,library_6,2,memory-2step-stake-s,490,780080,0.0-19.0-0.0-0.2,A11S8IAAVDXCUS,3B623HUYK76FV1575X2NKKQMM9B8SL,3A1COHJ8NNBTRBPLK5VQ5QF77AS8HV,5,6
3,4,object_04,object_03,558.5,7,1,262.59999999963,0.2222222222222222,1,object_02,1,12,0,2,4,restaurant_5,2,memory-2step-stake-s,491,787768,0.0-19.0-0.0-0.3,A11S8IAAVDXCUS,3B623HUYK76FV1575X2NKKQMM9B8SL,3A1COHJ8NNBTRBPLK5VQ5QF77AS8HV,7,8
4,2,object_09,object_07,556.30000000075,4,2,720.70000000112,0.4444444444444444,2,object_05,5,32,0,4,4,forest_6,2,memory-2step-stake-s,492,796127,0.0-19.0-0.0-0.4,A11S8IAAVDXCUS,3B623HUYK76FV1575X2NKKQMM9B8SL,3A1COHJ8NNBTRBPLK5VQ5QF77AS8HV,3,4
5,3,object_06,object_08,1041.1999999993,6,2,1441.0,0.2222222222222222,2,object_05,1,34,0,5,2,library_4,2,memory-2step-stake-s,493,804993,0.0-19.0-0.0-0.5,A11S8IAAVDXCUS,3B623HUYK76FV1575X2NKKQMM9B8SL,3A1COHJ8NNBTRBPLK5VQ5QF77AS8HV,5,6
6,3,object_06,object_08,-1.0,-1,-1,-1.0,0.0,-,0,1,34,0,6,2,library_3,2,memory-2step-stake-s,494,811509,0.0-19.0-0.0-0.6,A11S8IAAVDXCUS,3B623HUYK76FV1575X2NKKQMM9B8SL,3A1COHJ8NNBTRBPLK5VQ5QF77AS8HV,5,6
7,3,object_06,object_08,661.30000000075,5,1,473.59999999963,0.7777777777777778,1,object_02,1,41,0,7,3,library_7,2,memory-2step-stake-s,495,819904,0.0-19.0-0.0-0.7,A11S8IAAVDXCUS,3B623HUYK76FV1575X2NKKQMM9B8SL,3A1COHJ8NNBTRBPLK5VQ5QF77AS8HV,5,6
8,3,object_06,object_08,453.69999999925,5,1,252.90000000037,0.4444444444444444,1,object_02,1,45,0,4,2,library_6,2,memory-2step-stake-s,496,827777,0.0-19.0-0.0-0.8,A11S8IAAVDXCUS,3B623HUYK76FV1575X2NKKQMM9B8SL,3A1COHJ8NNBTRBPLK5VQ5QF77AS8HV,5,6
9,2,object_09,object_07,758.80000000075,4,2,435.0,0.2222222222222222,2,object_05,5,55,0,3,2,forest_6,2,memory-2step-stake-s,497,835629,0.0-19.0-0.0-0.9,A11S8IAAVDXCUS,3B623HUYK76FV1575X2NKKQMM9B8SL,3A1COHJ8NNBTRBPLK5VQ5QF77AS8HV,3,4
10,4,object_03,object_04,681.89999999851,7,2,422.5,0.1111111111111111,1,object_02,1,56,0,1,1,restaurant_4,2,memory-2step-stake-s,498,843367,0.0-19.0-0.0-0.10,A11S8IAAVDXCUS,3B623HUYK76FV1575X2NKKQMM9B8SL,3A1COHJ8NNBTRBPLK5VQ5QF77AS8HV,8,7
