,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_09,object_03,858.09999999963,3,1,-1.0,0.0,1,object_08,1,0,0,6,0,forest_7,1,memory-2step-stake-s,488,864382,0.0-19.0-0.0-0.0,A12FTSX85NQ8N9,3MQKOF1EF54KJDI76AN431783D3WDT,3VJ40NV2QM3MHC3WRG1BGV8VX9QTOS,3,4
1,3,object_07,object_02,863.09999999963,6,2,523.70000000112,0.4444444444444444,2,object_01,1,4,0,7,4,library_1,1,memory-2step-stake-s,489,872528,0.0-19.0-0.0-0.1,A12FTSX85NQ8N9,3MQKOF1EF54KJDI76AN431783D3WDT,3VJ40NV2QM3MHC3WRG1BGV8VX9QTOS,5,6
2,2,object_09,object_03,952.19999999925,4,2,887.5,0.4444444444444444,2,object_01,1,8,0,8,4,forest_3,1,memory-2step-stake-s,490,881037,0.0-19.0-0.0-0.2,A12FTSX85NQ8N9,3MQKOF1EF54KJDI76AN431783D3WDT,3VJ40NV2QM3MHC3WRG1BGV8VX9QTOS,3,4
3,4,object_04,object_10,1092.4000000004,8,1,503.40000000037,0.4444444444444444,2,object_01,1,12,0,9,4,restaurant_4,1,memory-2step-stake-s,491,889169,0.0-19.0-0.0-0.3,A12FTSX85NQ8N9,3MQKOF1EF54KJDI76AN431783D3WDT,3VJ40NV2QM3MHC3WRG1BGV8VX9QTOS,8,7
4,1,object_06,object_05,1119.7999999989,1,2,897.30000000075,0.8888888888888888,1,object_08,1,20,0,8,5,desert_1,1,memory-2step-stake-s,492,898094,0.0-19.0-0.0-0.4,A12FTSX85NQ8N9,3MQKOF1EF54KJDI76AN431783D3WDT,3VJ40NV2QM3MHC3WRG1BGV8VX9QTOS,2,1
5,4,object_04,object_10,1148.5,7,2,494.0,0.7777777777777778,1,object_08,1,27,0,7,7,restaurant_5,1,memory-2step-stake-s,493,906515,0.0-19.0-0.0-0.5,A12FTSX85NQ8N9,3MQKOF1EF54KJDI76AN431783D3WDT,3VJ40NV2QM3MHC3WRG1BGV8VX9QTOS,8,7
6,3,object_02,object_07,857.69999999925,5,2,268.79999999888,0.7777777777777778,1,object_08,5,62,0,7,5,library_5,1,memory-2step-stake-s,494,914713,0.0-19.0-0.0-0.6,A12FTSX85NQ8N9,3MQKOF1EF54KJDI76AN431783D3WDT,3VJ40NV2QM3MHC3WRG1BGV8VX9QTOS,6,5
7,3,object_02,object_07,689.40000000037,5,2,878.30000000075,0.8888888888888888,1,object_08,5,102,0,8,3,library_5,1,memory-2step-stake-s,495,923622,0.0-19.0-0.0-0.7,A12FTSX85NQ8N9,3MQKOF1EF54KJDI76AN431783D3WDT,3VJ40NV2QM3MHC3WRG1BGV8VX9QTOS,6,5
8,3,object_02,object_07,623.5,5,2,408.39999999851,0.5555555555555556,1,object_08,5,127,0,5,1,library_5,1,memory-2step-stake-s,496,931756,0.0-19.0-0.0-0.8,A12FTSX85NQ8N9,3MQKOF1EF54KJDI76AN431783D3WDT,3VJ40NV2QM3MHC3WRG1BGV8VX9QTOS,6,5
9,3,object_02,object_07,607.5,5,2,478.69999999925,0.4444444444444444,1,object_08,5,147,0,4,2,library_1,1,memory-2step-stake-s,497,939859,0.0-19.0-0.0-0.9,A12FTSX85NQ8N9,3MQKOF1EF54KJDI76AN431783D3WDT,3VJ40NV2QM3MHC3WRG1BGV8VX9QTOS,6,5
