,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_05,object_08,853.89999997616,1,2,-1.0,0.0,1,object_01,1,0,0,2,2,desert_4,1,memory-2step-stake-s,494,1023083,0.0-19.0-0.0-0.0,A12HWPFXQPITHD,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3U4J9857OIRF0KHGA8TO5FGE1D17BB,2,1
1,2,object_03,object_10,864.40000003576,3,1,371.69999998808,0.2222222222222222,1,object_01,1,2,0,2,1,forest_1,1,memory-2step-stake-s,495,1030872,0.0-19.0-0.0-0.1,A12HWPFXQPITHD,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3U4J9857OIRF0KHGA8TO5FGE1D17BB,3,4
2,2,object_10,object_03,1123.6000000238,3,2,868.79999995232,0.1111111111111111,1,object_01,5,7,0,1,2,forest_2,1,memory-2step-stake-s,496,1039060,0.0-19.0-0.0-0.2,A12HWPFXQPITHD,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3U4J9857OIRF0KHGA8TO5FGE1D17BB,4,3
3,4,object_04,object_09,-1.0,-1,-1,-1.0,0.0,-,0,5,7,0,0,0,restaurant_7,1,memory-2step-stake-s,497,1045575,0.0-19.0-0.0-0.3,A12HWPFXQPITHD,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3U4J9857OIRF0KHGA8TO5FGE1D17BB,8,7
4,3,object_06,object_07,740.39999997616,6,1,684.69999998808,0.1111111111111111,2,object_02,5,12,0,1,1,library_3,1,memory-2step-stake-s,498,1053578,0.0-19.0-0.0-0.4,A12HWPFXQPITHD,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3U4J9857OIRF0KHGA8TO5FGE1D17BB,6,5
5,3,object_07,object_06,927.59999996424,6,2,635.0,0.1111111111111111,2,object_02,1,13,0,1,1,library_3,1,memory-2step-stake-s,499,1061530,0.0-19.0-0.0-0.5,A12HWPFXQPITHD,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3U4J9857OIRF0KHGA8TO5FGE1D17BB,5,6
6,4,object_09,object_04,900.29999995232,7,1,668.69999998808,0.0,1,object_01,5,13,0,0,3,restaurant_1,1,memory-2step-stake-s,500,1069413,0.0-19.0-0.0-0.6,A12HWPFXQPITHD,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3U4J9857OIRF0KHGA8TO5FGE1D17BB,7,8
7,3,object_07,object_06,1080.5,5,1,519.90000003576,0.1111111111111111,1,object_01,5,18,0,1,2,library_2,1,memory-2step-stake-s,501,1077262,0.0-19.0-0.0-0.7,A12HWPFXQPITHD,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3U4J9857OIRF0KHGA8TO5FGE1D17BB,5,6
8,1,object_05,object_08,743.5,2,1,538.40000003576,0.1111111111111111,2,object_02,1,19,0,1,1,desert_4,1,memory-2step-stake-s,502,1085116,0.0-19.0-0.0-0.8,A12HWPFXQPITHD,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3U4J9857OIRF0KHGA8TO5FGE1D17BB,2,1
9,3,object_07,object_06,951.39999997616,6,2,1209.1999999881,0.3333333333333333,2,object_02,5,34,0,1,3,library_4,1,memory-2step-stake-s,503,1093847,0.0-19.0-0.0-0.9,A12HWPFXQPITHD,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3U4J9857OIRF0KHGA8TO5FGE1D17BB,5,6
10,2,object_10,object_03,862.90000003576,4,1,866.30000001192,0.5555555555555556,2,object_02,1,39,0,0,5,forest_1,1,memory-2step-stake-s,504,1102432,0.0-19.0-0.0-0.10,A12HWPFXQPITHD,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3U4J9857OIRF0KHGA8TO5FGE1D17BB,4,3
11,1,object_08,object_05,1184.8999999762,1,1,866.40000003576,0.1111111111111111,1,object_01,1,40,0,1,5,desert_4,1,memory-2step-stake-s,505,1110611,0.0-19.0-0.0-0.11,A12HWPFXQPITHD,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3U4J9857OIRF0KHGA8TO5FGE1D17BB,1,2
12,4,object_04,object_09,779.19999998808,8,1,541.0,0.5555555555555556,2,object_02,5,65,0,0,5,restaurant_1,1,memory-2step-stake-s,506,1118872,0.0-19.0-0.0-0.12,A12HWPFXQPITHD,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3U4J9857OIRF0KHGA8TO5FGE1D17BB,8,7
13,4,object_09,object_04,851.0,7,1,420.30000001192,0.3333333333333333,1,object_01,5,80,0,3,5,restaurant_1,1,memory-2step-stake-s,507,1126812,0.0-19.0-0.0-0.13,A12HWPFXQPITHD,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3U4J9857OIRF0KHGA8TO5FGE1D17BB,7,8
14,4,object_09,object_04,788.70000004768,7,1,454.5,0.2222222222222222,1,object_01,5,90,0,2,4,restaurant_7,1,memory-2step-stake-s,508,1134688,0.0-19.0-0.0-0.14,A12HWPFXQPITHD,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3U4J9857OIRF0KHGA8TO5FGE1D17BB,7,8
