,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_08,object_09,1417.8999999911,1,1,-1.0,0.0,1,object_04,5,0,0,2,6,desert_4,2,memory-2step-stake-s,494,1958746,0.0-19.0-0.0-0.0,A14LASEXBQ8C5W,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3R3YRB5GRJJCFLOKH2M3KWASR6VAU3,1,2
1,1,object_09,object_08,1342.400000006,2,1,1446.299999997,1.0,2,object_01,5,45,0,1,9,desert_3,2,memory-2step-stake-s,495,1968509,0.0-19.0-0.0-0.1,A14LASEXBQ8C5W,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3R3YRB5GRJJCFLOKH2M3KWASR6VAU3,2,1
2,4,object_10,object_05,-1.0,-1,-1,-1.0,0.0,-,0,1,45,0,5,7,restaurant_1,2,memory-2step-stake-s,496,1975080,0.0-19.0-0.0-0.2,A14LASEXBQ8C5W,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3R3YRB5GRJJCFLOKH2M3KWASR6VAU3,8,7
3,3,object_06,object_03,553.90000000596,5,1,553.09999999404,0.5555555555555556,1,object_04,5,70,0,5,7,library_6,2,memory-2step-stake-s,497,1983473,0.0-19.0-0.0-0.3,A14LASEXBQ8C5W,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3R3YRB5GRJJCFLOKH2M3KWASR6VAU3,5,6
4,3,object_03,object_06,466.59999999404,5,2,638.09999999404,0.4444444444444444,1,object_04,1,74,0,4,8,library_4,2,memory-2step-stake-s,498,1991831,0.0-19.0-0.0-0.4,A14LASEXBQ8C5W,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3R3YRB5GRJJCFLOKH2M3KWASR6VAU3,6,5
5,2,object_07,object_02,684.60000000894,4,1,607.5,1.0,2,object_01,1,83,0,2,9,forest_6,2,memory-2step-stake-s,499,2000692,0.0-19.0-0.0-0.5,A14LASEXBQ8C5W,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3R3YRB5GRJJCFLOKH2M3KWASR6VAU3,4,3
6,1,object_08,object_09,1362.400000006,1,1,514.40000000596,0.2222222222222222,1,object_04,5,93,0,2,8,desert_3,2,memory-2step-stake-s,500,2008727,0.0-19.0-0.0-0.6,A14LASEXBQ8C5W,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3R3YRB5GRJJCFLOKH2M3KWASR6VAU3,1,2
7,4,object_05,object_10,1224.299999997,7,1,737.70000000298,0.2222222222222222,1,object_04,1,95,0,2,8,restaurant_2,2,memory-2step-stake-s,501,2016989,0.0-19.0-0.0-0.7,A14LASEXBQ8C5W,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3R3YRB5GRJJCFLOKH2M3KWASR6VAU3,7,8
8,3,object_06,object_03,886.79999999702,6,2,823.59999999404,0.7777777777777778,2,object_01,1,102,0,0,7,library_4,2,memory-2step-stake-s,502,2025915,0.0-19.0-0.0-0.8,A14LASEXBQ8C5W,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3R3YRB5GRJJCFLOKH2M3KWASR6VAU3,5,6
9,2,object_07,object_02,1244.1999999881,3,2,831.30000001192,0.3333333333333333,1,object_04,1,105,0,3,4,forest_6,2,memory-2step-stake-s,503,2034341,0.0-19.0-0.0-0.9,A14LASEXBQ8C5W,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3R3YRB5GRJJCFLOKH2M3KWASR6VAU3,4,3
10,4,object_10,object_05,1387.1000000089,7,2,465.09999999404,0.2222222222222222,1,object_04,5,115,0,2,2,restaurant_7,2,memory-2step-stake-s,504,2042305,0.0-19.0-0.0-0.10,A14LASEXBQ8C5W,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3R3YRB5GRJJCFLOKH2M3KWASR6VAU3,8,7
