,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,3,object_07,object_04,730.60000000149,6,1,1483.1000000015,0.7777777777777778,2,object_02,5,35,0,0,7,library_3,1,memory-2step-stake-s,505,776415,0.0-19.0-0.0-0.0,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,6,5
1,1,object_08,object_09,429.39999999851,2,2,577.79999999702,1.0,2,object_02,1,44,0,4,9,desert_1,1,memory-2step-stake-s,506,785246,0.0-19.0-0.0-0.1,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,1,2
2,4,object_06,object_03,87.699999999255,8,1,294.5,0.7777777777777778,2,object_02,1,51,0,4,7,restaurant_8,1,memory-2step-stake-s,507,793565,0.0-19.0-0.0-0.2,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,8,7
3,4,object_06,object_03,31.89999999851,7,2,402.39999999851,0.5555555555555556,1,object_05,5,76,0,5,9,restaurant_2,1,memory-2step-stake-s,508,801819,0.0-19.0-0.0-0.3,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,8,7
4,2,object_10,object_01,669.30000000075,3,2,382.19999999925,0.3333333333333333,1,object_05,1,79,0,3,8,forest_5,1,memory-2step-stake-s,509,809806,0.0-19.0-0.0-0.4,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,4,3
5,4,object_06,object_03,237.69999999925,8,1,421.80000000075,0.7777777777777778,2,object_02,5,114,0,5,7,restaurant_8,1,memory-2step-stake-s,510,818259,0.0-19.0-0.0-0.5,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,8,7
6,4,object_03,object_06,166.89999999851,8,2,359.20000000298,0.7777777777777778,2,object_02,5,149,0,5,7,restaurant_8,1,memory-2step-stake-s,511,826645,0.0-19.0-0.0-0.6,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,7,8
7,4,object_06,object_03,249.5,8,1,143.89999999851,0.6666666666666666,2,object_02,5,179,0,5,6,restaurant_3,1,memory-2step-stake-s,512,834702,0.0-19.0-0.0-0.7,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,8,7
8,4,object_06,object_03,319.80000000075,7,2,269.29999999702,0.4444444444444444,1,object_05,5,199,0,4,6,restaurant_2,1,memory-2step-stake-s,513,842678,0.0-19.0-0.0-0.8,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,8,7
9,4,object_03,object_06,386.79999999702,7,1,251.5,0.5555555555555556,1,object_05,1,204,0,5,5,restaurant_2,1,memory-2step-stake-s,514,850739,0.0-19.0-0.0-0.9,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,7,8
10,3,object_07,object_04,277.39999999851,5,2,18.099999997765,0.5555555555555556,1,object_05,5,229,0,5,6,library_6,1,memory-2step-stake-s,515,858552,0.0-19.0-0.0-0.10,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,6,5
11,2,object_10,object_01,365.80000000075,3,2,267.0,0.6666666666666666,1,object_05,1,235,0,6,6,forest_7,1,memory-2step-stake-s,516,866751,0.0-19.0-0.0-0.11,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,4,3
12,4,object_06,object_03,523.5,8,1,361.0,0.6666666666666666,2,object_02,5,265,0,5,6,restaurant_8,1,memory-2step-stake-s,517,875049,0.0-19.0-0.0-0.12,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,8,7
13,2,object_01,object_10,324.5,3,1,223.5,0.4444444444444444,1,object_05,1,269,0,4,6,forest_5,1,memory-2step-stake-s,518,882970,0.0-19.0-0.0-0.13,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,3,4
14,1,object_09,object_08,487.19999999925,1,2,262.0,0.4444444444444444,1,object_05,5,289,0,4,7,desert_4,1,memory-2step-stake-s,519,890945,0.0-19.0-0.0-0.14,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,2,1
15,2,object_10,object_01,642.20000000298,4,1,368.80000000075,0.5555555555555556,2,object_02,1,294,0,5,5,forest_6,1,memory-2step-stake-s,520,899138,0.0-19.0-0.0-0.15,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,4,3
16,3,object_07,object_04,342.30000000075,6,1,292.5,0.5555555555555556,2,object_02,1,299,0,4,5,library_5,1,memory-2step-stake-s,521,907283,0.0-19.0-0.0-0.16,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,6,5
17,1,object_09,object_08,28.89999999851,2,1,265.40000000224,0.1111111111111111,2,object_02,5,304,0,4,1,desert_7,1,memory-2step-stake-s,522,914958,0.0-19.0-0.0-0.17,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,2,1
18,4,object_03,object_06,613.10000000149,8,2,315.80000000075,0.1111111111111111,2,object_02,5,309,0,5,1,restaurant_8,1,memory-2step-stake-s,523,922682,0.0-19.0-0.0-0.18,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,7,8
19,3,object_07,object_04,693.5,6,1,356.60000000149,0.1111111111111111,2,object_02,5,314,0,7,1,library_4,1,memory-2step-stake-s,524,930400,0.0-19.0-0.0-0.19,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,6,5
20,3,object_07,object_04,698.69999999925,5,2,462.0,0.6666666666666666,1,object_05,1,320,0,6,1,library_5,1,memory-2step-stake-s,525,938770,0.0-19.0-0.0-0.20,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,6,5
21,1,object_09,object_08,721.30000000075,1,2,301.40000000224,0.4444444444444444,1,object_05,1,324,0,4,1,desert_2,1,memory-2step-stake-s,526,946758,0.0-19.0-0.0-0.21,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,2,1
22,2,object_10,object_01,748.80000000075,4,1,318.59999999776,0.1111111111111111,2,object_02,1,325,0,2,1,forest_6,1,memory-2step-stake-s,527,954440,0.0-19.0-0.0-0.22,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,4,3
23,4,object_03,object_06,1067.6000000015,8,2,586.40000000224,0.1111111111111111,2,object_02,5,330,0,4,1,restaurant_3,1,memory-2step-stake-s,528,962392,0.0-19.0-0.0-0.23,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,7,8
24,2,object_10,object_01,465.30000000075,3,2,54.60000000149,0.3333333333333333,1,object_05,1,333,0,3,2,forest_7,1,memory-2step-stake-s,529,970042,0.0-19.0-0.0-0.24,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,4,3
25,4,object_06,object_03,1139.5,8,1,859.10000000149,0.2222222222222222,2,object_02,5,343,0,3,2,restaurant_5,1,memory-2step-stake-s,530,978354,0.0-19.0-0.0-0.25,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,8,7
26,3,object_07,object_04,926.29999999702,5,2,542.0,0.1111111111111111,1,object_05,5,348,0,1,2,library_5,1,memory-2step-stake-s,531,986268,0.0-19.0-0.0-0.26,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,6,5
27,1,object_08,object_09,119.5,1,1,94.199999999255,0.3333333333333333,1,object_05,1,351,0,3,0,desert_1,1,memory-2step-stake-s,532,993949,0.0-19.0-0.0-0.27,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,1,2
28,1,object_08,object_09,637.39999999851,2,2,248.30000000075,0.0,2,object_02,1,351,0,2,0,desert_4,1,memory-2step-stake-s,533,1001468,0.0-19.0-0.0-0.28,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,1,2
29,2,object_01,object_10,570.10000000149,4,2,335.39999999851,0.1111111111111111,2,object_02,1,352,0,5,1,forest_7,1,memory-2step-stake-s,534,1009179,0.0-19.0-0.0-0.29,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,3,4
30,1,object_08,object_09,800.0,1,1,970.90000000224,0.6666666666666666,1,object_05,1,358,0,6,5,desert_7,1,memory-2step-stake-s,535,1018055,0.0-19.0-0.0-0.30,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,1,2
31,3,object_04,object_07,127.89999999851,5,1,37.699999999255,0.7777777777777778,1,object_05,1,365,0,7,2,library_3,1,memory-2step-stake-s,536,1026102,0.0-19.0-0.0-0.31,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,5,6
32,2,object_10,object_01,462.60000000149,3,2,306.89999999851,0.6666666666666666,1,object_05,1,371,0,6,1,forest_5,1,memory-2step-stake-s,537,1034341,0.0-19.0-0.0-0.32,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,4,3
33,2,object_01,object_10,329.20000000298,3,1,65.10000000149,0.5555555555555556,1,object_05,1,376,0,5,0,forest_8,1,memory-2step-stake-s,538,1042193,0.0-19.0-0.0-0.33,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,3,4
34,4,object_03,object_06,976.10000000149,7,1,293.29999999702,0.5555555555555556,1,object_05,5,401,0,5,2,restaurant_3,1,memory-2step-stake-s,539,1050344,0.0-19.0-0.0-0.34,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,7,8
35,1,object_09,object_08,439.30000000075,1,2,412.40000000224,0.5555555555555556,1,object_05,1,406,0,5,3,desert_1,1,memory-2step-stake-s,540,1058577,0.0-19.0-0.0-0.35,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,2,1
36,4,object_06,object_03,933.80000000075,8,1,317.70000000298,0.1111111111111111,2,object_02,1,407,0,5,1,restaurant_3,1,memory-2step-stake-s,541,1066282,0.0-19.0-0.0-0.36,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,8,7
37,1,object_09,object_08,608.20000000298,1,2,337.0,0.4444444444444444,1,object_05,1,411,0,4,0,desert_7,1,memory-2step-stake-s,542,1074346,0.0-19.0-0.0-0.37,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,2,1
38,1,object_08,object_09,598.5,1,1,409.80000000075,0.5555555555555556,1,object_05,1,416,0,5,1,desert_2,1,memory-2step-stake-s,543,1082598,0.0-19.0-0.0-0.38,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,1,2
39,1,object_08,object_09,644.39999999851,2,2,477.80000000075,0.2222222222222222,2,object_02,1,418,0,6,2,desert_4,1,memory-2step-stake-s,544,1090565,0.0-19.0-0.0-0.39,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,1,2
40,4,object_06,object_03,418.10000000149,7,2,290.10000000149,0.4444444444444444,1,object_05,5,438,0,4,1,restaurant_5,1,memory-2step-stake-s,545,1098539,0.0-19.0-0.0-0.40,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,8,7
41,2,object_10,object_01,122.80000000075,4,1,462.40000000224,0.2222222222222222,2,object_02,1,440,0,8,2,forest_6,1,memory-2step-stake-s,546,1106510,0.0-19.0-0.0-0.41,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,4,3
42,3,object_07,object_04,783.19999999925,6,1,344.69999999925,0.4444444444444444,2,object_02,5,460,0,7,4,library_6,1,memory-2step-stake-s,547,1114530,0.0-19.0-0.0-0.42,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,6,5
43,2,object_10,object_01,553.59999999776,4,1,327.0,0.5555555555555556,2,object_02,1,465,0,4,5,forest_7,1,memory-2step-stake-s,548,1122664,0.0-19.0-0.0-0.43,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,4,3
44,2,object_10,object_01,351.69999999925,3,2,267.40000000224,0.3333333333333333,1,object_05,1,468,0,3,9,forest_8,1,memory-2step-stake-s,549,1130507,0.0-19.0-0.0-0.44,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,4,3
45,2,object_10,object_01,291.20000000298,4,1,256.19999999925,0.4444444444444444,2,object_02,1,472,0,3,4,forest_8,1,memory-2step-stake-s,550,1138454,0.0-19.0-0.0-0.45,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,4,3
46,1,object_09,object_08,648.5,1,2,270.0,0.4444444444444444,1,object_05,5,492,0,4,4,desert_4,1,memory-2step-stake-s,551,1146412,0.0-19.0-0.0-0.46,A159MC0L7J302O,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3NOKK93PR5OYG28A779KCXEGQXYEEK,2,1
