,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_07,object_09,-1.0,-1,-1,-1.0,0.0,-,0,1,0,0,4,3,restaurant_8,2,memory-2step-stake-s,636,1234364,0.0-19.0-0.0-0.0,A16Y5JEB1EF9CY,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3300DTYQT6XND5YFGY4K6E3U90QQEC,7,8
1,1,object_06,object_05,-1.0,-1,-1,-1.0,0.0,-,0,5,0,0,8,1,desert_7,2,memory-2step-stake-s,637,1240935,0.0-19.0-0.0-0.1,A16Y5JEB1EF9CY,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3300DTYQT6XND5YFGY4K6E3U90QQEC,2,1
2,1,object_06,object_05,-1.0,-1,-1,-1.0,0.0,-,0,5,0,0,6,1,desert_6,2,memory-2step-stake-s,638,1247475,0.0-19.0-0.0-0.2,A16Y5JEB1EF9CY,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3300DTYQT6XND5YFGY4K6E3U90QQEC,2,1
3,3,object_04,object_01,839.30000000075,5,1,-1.0,0.0,1,object_10,5,0,0,2,2,library_2,2,memory-2step-stake-s,639,1256042,0.0-19.0-0.0-0.3,A16Y5JEB1EF9CY,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3300DTYQT6XND5YFGY4K6E3U90QQEC,5,6
4,2,object_02,object_03,442.5,4,1,1203.6999999993,0.6666666666666666,2,object_08,5,30,0,2,6,forest_6,2,memory-2step-stake-s,640,1265124,0.0-19.0-0.0-0.4,A16Y5JEB1EF9CY,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3300DTYQT6XND5YFGY4K6E3U90QQEC,4,3
5,4,object_09,object_07,392.69999999925,8,1,480.19999999925,0.7777777777777778,2,object_08,1,37,0,2,7,restaurant_8,2,memory-2step-stake-s,641,1273584,0.0-19.0-0.0-0.5,A16Y5JEB1EF9CY,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3300DTYQT6XND5YFGY4K6E3U90QQEC,8,7
6,4,object_07,object_09,339.09999999776,7,1,459.89999999851,0.1111111111111111,1,object_10,1,38,0,1,9,restaurant_3,2,memory-2step-stake-s,642,1281430,0.0-19.0-0.0-0.6,A16Y5JEB1EF9CY,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3300DTYQT6XND5YFGY4K6E3U90QQEC,7,8
7,1,object_05,object_06,410.90000000224,1,1,354.79999999702,0.1111111111111111,1,object_10,5,43,0,1,7,desert_2,2,memory-2step-stake-s,643,1289142,0.0-19.0-0.0-0.7,A16Y5JEB1EF9CY,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3300DTYQT6XND5YFGY4K6E3U90QQEC,1,2
8,1,object_05,object_06,373.59999999776,1,1,481.70000000298,0.1111111111111111,1,object_10,5,48,0,1,7,desert_7,2,memory-2step-stake-s,644,1296996,0.0-19.0-0.0-0.8,A16Y5JEB1EF9CY,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3300DTYQT6XND5YFGY4K6E3U90QQEC,1,2
9,2,object_03,object_02,265.09999999776,4,2,290.70000000298,0.7777777777777778,2,object_08,1,55,0,3,7,forest_4,2,memory-2step-stake-s,645,1305263,0.0-19.0-0.0-0.9,A16Y5JEB1EF9CY,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3300DTYQT6XND5YFGY4K6E3U90QQEC,3,4
