,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_04,object_06,783.20000004768,3,2,-1.0,0.0,1,object_08,1,0,0,0,3,forest_4,1,memory-2step-stake-s,499,1569981,0.0-19.0-0.0-0.0,A17K1CHOI773VZ,3SNR5F7RA597AOC2DOU98SGLOEGIEB,35USIKEBNVWYXTS8UOT5QWGCNTKN6A,4,3
1,4,object_02,object_10,625.89999997616,8,1,441.39999997616,0.2222222222222222,2,object_07,5,10,0,2,2,restaurant_6,1,memory-2step-stake-s,500,1577903,0.0-19.0-0.0-0.1,A17K1CHOI773VZ,3SNR5F7RA597AOC2DOU98SGLOEGIEB,35USIKEBNVWYXTS8UOT5QWGCNTKN6A,8,7
2,4,object_02,object_10,1060.2000000477,7,2,463.39999997616,0.2222222222222222,1,object_08,5,20,0,2,0,restaurant_8,1,memory-2step-stake-s,501,1585839,0.0-19.0-0.0-0.2,A17K1CHOI773VZ,3SNR5F7RA597AOC2DOU98SGLOEGIEB,35USIKEBNVWYXTS8UOT5QWGCNTKN6A,8,7
3,1,object_09,object_01,1432.2000000477,1,1,492.89999997616,0.2222222222222222,1,object_08,5,30,0,2,3,desert_1,1,memory-2step-stake-s,502,1593799,0.0-19.0-0.0-0.3,A17K1CHOI773VZ,3SNR5F7RA597AOC2DOU98SGLOEGIEB,35USIKEBNVWYXTS8UOT5QWGCNTKN6A,1,2
4,2,object_06,object_04,998.39999997616,3,1,767.89999997616,0.3333333333333333,1,object_08,1,33,0,3,2,forest_4,1,memory-2step-stake-s,503,1602138,0.0-19.0-0.0-0.4,A17K1CHOI773VZ,3SNR5F7RA597AOC2DOU98SGLOEGIEB,35USIKEBNVWYXTS8UOT5QWGCNTKN6A,3,4
5,4,object_02,object_10,928.79999995232,7,2,807.90000009537,0.2222222222222222,1,object_08,5,43,0,2,3,restaurant_2,1,memory-2step-stake-s,504,1610430,0.0-19.0-0.0-0.5,A17K1CHOI773VZ,3SNR5F7RA597AOC2DOU98SGLOEGIEB,35USIKEBNVWYXTS8UOT5QWGCNTKN6A,8,7
6,2,object_06,object_04,1138.7999999523,4,2,712.0,0.1111111111111111,2,object_07,1,44,0,4,1,forest_5,1,memory-2step-stake-s,505,1618522,0.0-19.0-0.0-0.6,A17K1CHOI773VZ,3SNR5F7RA597AOC2DOU98SGLOEGIEB,35USIKEBNVWYXTS8UOT5QWGCNTKN6A,3,4
7,1,object_09,object_01,1381.8999999762,2,2,527.70000004768,0.2222222222222222,2,object_07,5,54,0,3,2,desert_8,1,memory-2step-stake-s,506,1626525,0.0-19.0-0.0-0.7,A17K1CHOI773VZ,3SNR5F7RA597AOC2DOU98SGLOEGIEB,35USIKEBNVWYXTS8UOT5QWGCNTKN6A,1,2
8,3,object_05,object_03,1250.6999999285,6,2,674.79999995232,0.4444444444444444,2,object_07,5,74,0,4,4,library_1,1,memory-2step-stake-s,507,1634865,0.0-19.0-0.0-0.8,A17K1CHOI773VZ,3SNR5F7RA597AOC2DOU98SGLOEGIEB,35USIKEBNVWYXTS8UOT5QWGCNTKN6A,5,6
9,3,object_03,object_05,989.19999992847,5,2,763.29999995232,0.2222222222222222,1,object_08,5,84,0,2,7,library_7,1,memory-2step-stake-s,508,1643115,0.0-19.0-0.0-0.9,A17K1CHOI773VZ,3SNR5F7RA597AOC2DOU98SGLOEGIEB,35USIKEBNVWYXTS8UOT5QWGCNTKN6A,6,5
10,1,object_01,object_09,-1.0,-1,-1,-1.0,0.0,-,0,5,84,0,4,7,desert_1,1,memory-2step-stake-s,509,1649658,0.0-19.0-0.0-0.10,A17K1CHOI773VZ,3SNR5F7RA597AOC2DOU98SGLOEGIEB,35USIKEBNVWYXTS8UOT5QWGCNTKN6A,2,1
11,2,object_04,object_06,861.19999992847,4,1,480.5,0.6666666666666666,2,object_07,1,90,0,5,6,forest_5,1,memory-2step-stake-s,510,1658026,0.0-19.0-0.0-0.11,A17K1CHOI773VZ,3SNR5F7RA597AOC2DOU98SGLOEGIEB,35USIKEBNVWYXTS8UOT5QWGCNTKN6A,4,3
