,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_03,object_01,741.79999999981,8,1,1039.9000000004,0.1111111111111111,2,object_04,1,1,0,2,1,restaurant_8,2,memory-2step-stake-s,506,908206,0.0-19.0-0.0-0.0,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,8,7
1,3,object_05,object_06,-1.0,-1,-1,-1.0,0.0,-,0,1,1,0,2,3,library_5,2,memory-2step-stake-s,507,914716,0.0-19.0-0.0-0.1,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,6,5
2,1,object_02,object_09,354.89999999944,1,1,187.90000000037,0.1111111111111111,1,object_10,5,6,0,1,1,desert_3,2,memory-2step-stake-s,508,922220,0.0-19.0-0.0-0.2,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,1,2
3,1,object_02,object_09,362.09999999963,2,2,309.40000000037,0.1111111111111111,2,object_04,5,11,0,1,1,desert_6,2,memory-2step-stake-s,509,929844,0.0-19.0-0.0-0.3,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,1,2
4,2,object_07,object_08,281.70000000019,3,1,564.40000000037,0.2222222222222222,1,object_10,5,21,0,2,2,forest_1,2,memory-2step-stake-s,510,937824,0.0-19.0-0.0-0.4,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,3,4
5,3,object_06,object_05,319.5,6,2,1025.5999999996,0.5555555555555556,2,object_04,1,26,0,4,5,library_6,2,memory-2step-stake-s,511,946568,0.0-19.0-0.0-0.5,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,5,6
6,2,object_07,object_08,631.89999999944,3,1,625.19999999925,0.2222222222222222,1,object_10,1,28,0,2,6,forest_8,2,memory-2step-stake-s,512,954609,0.0-19.0-0.0-0.6,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,3,4
7,2,object_08,object_07,558.19999999925,3,2,521.29999999981,0.1111111111111111,1,object_10,5,33,0,1,7,forest_4,2,memory-2step-stake-s,513,962443,0.0-19.0-0.0-0.7,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,4,3
8,2,object_07,object_08,419.59999999963,4,2,240.5,0.7777777777777778,2,object_04,5,68,0,1,7,forest_1,2,memory-2step-stake-s,514,970605,0.0-19.0-0.0-0.8,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,3,4
9,4,object_03,object_01,282.19999999925,8,1,364.89999999944,0.8888888888888888,2,object_04,5,108,0,2,8,restaurant_5,2,memory-2step-stake-s,515,978991,0.0-19.0-0.0-0.9,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,8,7
10,2,object_08,object_07,729.39999999944,3,2,493.19999999925,0.3333333333333333,1,object_10,5,123,0,3,8,forest_1,2,memory-2step-stake-s,516,986998,0.0-19.0-0.0-0.10,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,4,3
11,1,object_09,object_02,392.19999999925,2,1,420.59999999963,0.6666666666666666,2,object_04,1,129,0,4,6,desert_4,2,memory-2step-stake-s,517,995241,0.0-19.0-0.0-0.11,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,2,1
12,1,object_02,object_09,993.5,2,2,356.5,1.0,2,object_04,5,174,0,8,9,desert_6,2,memory-2step-stake-s,518,1003744,0.0-19.0-0.0-0.12,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,1,2
13,3,object_06,object_05,399.29999999981,5,1,379.70000000019,0.8888888888888888,1,object_10,1,182,0,8,8,library_5,2,memory-2step-stake-s,519,1012367,0.0-19.0-0.0-0.13,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,5,6
14,1,object_02,object_09,345.0,1,1,339.90000000037,0.8888888888888888,1,object_10,5,222,0,8,9,desert_4,2,memory-2step-stake-s,520,1020748,0.0-19.0-0.0-0.14,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,1,2
15,4,object_03,object_01,1410.4000000004,7,2,-1.0,0.0,1,object_10,1,222,0,6,6,restaurant_4,2,memory-2step-stake-s,521,1029263,0.0-19.0-0.0-0.15,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,8,7
16,4,object_03,object_01,808.20000000019,8,1,-1.0,0.0,2,object_04,5,222,0,4,7,restaurant_8,2,memory-2step-stake-s,522,1037775,0.0-19.0-0.0-0.16,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,8,7
17,1,object_09,object_02,1480.5999999996,2,1,-1.0,0.0,2,object_04,1,222,0,2,5,desert_5,2,memory-2step-stake-s,523,1046287,0.0-19.0-0.0-0.17,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,2,1
18,1,object_09,object_02,1361.2999999998,2,1,-1.0,0.0,2,object_04,5,222,0,5,2,desert_5,2,memory-2step-stake-s,524,1054800,0.0-19.0-0.0-0.18,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,2,1
19,1,object_02,object_09,1038.7999999998,2,2,658.10000000056,0.2222222222222222,2,object_04,1,224,0,8,2,desert_5,2,memory-2step-stake-s,525,1062873,0.0-19.0-0.0-0.19,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,1,2
20,1,object_02,object_09,662.29999999981,2,2,962.09999999963,0.4444444444444444,2,object_04,5,244,0,7,4,desert_6,2,memory-2step-stake-s,526,1071457,0.0-19.0-0.0-0.20,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,1,2
21,2,object_07,object_08,1215.0999999996,4,2,-1.0,0.0,2,object_04,5,244,0,8,7,forest_7,2,memory-2step-stake-s,527,1079975,0.0-19.0-0.0-0.21,A17TKHT8FEVH0R,3A3KKYU7Q6XNN7OKJ3M7MRU2CR5MWB,3KXIR214I8WOTKZ1PH261AT0G7Y24O,3,4
