,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,3,object_06,object_08,1063.0,6,1,1429.5,0.1111111111111111,2,object_04,5,5,0,4,1,library_2,1,memory-2step-stake-s,524,1359188,0.0-19.0-0.0-0.0,A19YM9K2W233IM,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3ZQIG0FLQIW9ZDGNNXS0Y792XW7VWO,6,5
1,1,object_05,object_02,951.19999998808,2,1,1335.2000000477,0.2222222222222222,2,object_04,5,15,0,2,2,desert_8,1,memory-2step-stake-s,525,1367999,0.0-19.0-0.0-0.1,A19YM9K2W233IM,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3ZQIG0FLQIW9ZDGNNXS0Y792XW7VWO,2,1
2,4,object_10,object_03,1192.9000000358,8,1,547.89999997616,0.6666666666666666,2,object_04,1,21,0,2,6,restaurant_4,1,memory-2step-stake-s,526,1376464,0.0-19.0-0.0-0.2,A19YM9K2W233IM,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3ZQIG0FLQIW9ZDGNNXS0Y792XW7VWO,8,7
3,1,object_02,object_05,1442.1999999881,2,2,-1.0,0.0,2,object_04,1,21,0,2,6,desert_8,1,memory-2step-stake-s,527,1385051,0.0-19.0-0.0-0.3,A19YM9K2W233IM,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3ZQIG0FLQIW9ZDGNNXS0Y792XW7VWO,1,2
4,3,object_08,object_06,975.10000002384,5,1,626.5,0.1111111111111111,1,object_07,5,26,0,1,7,library_2,1,memory-2step-stake-s,528,1393057,0.0-19.0-0.0-0.4,A19YM9K2W233IM,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3ZQIG0FLQIW9ZDGNNXS0Y792XW7VWO,5,6
5,2,object_09,object_01,966.89999997616,3,2,353.80000001192,0.1111111111111111,1,object_07,1,27,0,1,7,forest_1,1,memory-2step-stake-s,529,1400796,0.0-19.0-0.0-0.5,A19YM9K2W233IM,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3ZQIG0FLQIW9ZDGNNXS0Y792XW7VWO,4,3
6,2,object_09,object_01,847.19999998808,3,2,831.59999996424,0.3333333333333333,1,object_07,1,30,0,3,7,forest_2,1,memory-2step-stake-s,530,1409230,0.0-19.0-0.0-0.6,A19YM9K2W233IM,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3ZQIG0FLQIW9ZDGNNXS0Y792XW7VWO,4,3
7,4,object_10,object_03,329.60000002384,8,1,375.0,0.5555555555555556,2,object_04,1,35,0,1,5,restaurant_2,1,memory-2step-stake-s,531,1417429,0.0-19.0-0.0-0.7,A19YM9K2W233IM,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3ZQIG0FLQIW9ZDGNNXS0Y792XW7VWO,8,7
8,1,object_02,object_05,910.60000002384,1,1,469.5,0.0,1,object_07,1,35,0,0,4,desert_5,1,memory-2step-stake-s,532,1425190,0.0-19.0-0.0-0.8,A19YM9K2W233IM,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3ZQIG0FLQIW9ZDGNNXS0Y792XW7VWO,1,2
9,2,object_09,object_01,1054.8999999762,4,1,997.80000001192,0.3333333333333333,2,object_04,1,38,0,0,3,forest_2,1,memory-2step-stake-s,533,1433797,0.0-19.0-0.0-0.9,A19YM9K2W233IM,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3ZQIG0FLQIW9ZDGNNXS0Y792XW7VWO,4,3
