,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_06,object_01,1213.1500001997,7,1,-1.0,0.0,1,object_04,1,0,0,1,2,restaurant_3,2,memory-2step-stake-s,497,1742227,0.0-19.0-0.0-0.0,A1BE3Y8ZDZ31BP,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3JNQLM5FT82KRS6MV91NNRVB2R8L2B,7,8
1,4,object_06,object_01,882.37999938428,7,1,-1.0,0.0,1,object_04,1,0,0,2,5,restaurant_4,2,memory-2step-stake-s,498,1750743,0.0-19.0-0.0-0.1,A1BE3Y8ZDZ31BP,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3JNQLM5FT82KRS6MV91NNRVB2R8L2B,7,8
2,3,object_05,object_07,1079.8350004479,6,2,-1.0,0.0,2,object_03,5,0,0,2,4,library_3,2,memory-2step-stake-s,499,1759258,0.0-19.0-0.0-0.2,A1BE3Y8ZDZ31BP,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3JNQLM5FT82KRS6MV91NNRVB2R8L2B,5,6
3,1,object_08,object_10,1331.325000152,1,1,-1.0,0.0,1,object_04,5,0,0,1,1,desert_1,2,memory-2step-stake-s,500,1767775,0.0-19.0-0.0-0.3,A1BE3Y8ZDZ31BP,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3JNQLM5FT82KRS6MV91NNRVB2R8L2B,1,2
4,4,object_06,object_01,1046.4700004086,7,1,608.86999964714,0.1111111111111111,1,object_04,5,5,0,1,1,restaurant_4,2,memory-2step-stake-s,501,1775700,0.0-19.0-0.0-0.4,A1BE3Y8ZDZ31BP,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3JNQLM5FT82KRS6MV91NNRVB2R8L2B,7,8
5,3,object_05,object_07,825.52000042051,6,2,629.82500065118,0.2222222222222222,2,object_03,1,7,0,3,2,library_2,2,memory-2step-stake-s,502,1783745,0.0-19.0-0.0-0.5,A1BE3Y8ZDZ31BP,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3JNQLM5FT82KRS6MV91NNRVB2R8L2B,5,6
6,3,object_05,object_07,1366.0450000316,6,2,529.84500024468,0.1111111111111111,2,object_03,5,12,0,3,1,library_3,2,memory-2step-stake-s,503,1791588,0.0-19.0-0.0-0.6,A1BE3Y8ZDZ31BP,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3JNQLM5FT82KRS6MV91NNRVB2R8L2B,5,6
7,3,object_07,object_05,555.93500006944,6,1,1198.7799992785,0.0,2,object_03,1,12,0,4,0,library_7,2,memory-2step-stake-s,504,1800001,0.0-19.0-0.0-0.7,A1BE3Y8ZDZ31BP,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3JNQLM5FT82KRS6MV91NNRVB2R8L2B,6,5
8,2,object_02,object_09,-1.0,-1,-1,-1.0,0.0,-,0,5,12,0,5,0,forest_3,2,memory-2step-stake-s,505,1806509,0.0-19.0-0.0-0.8,A1BE3Y8ZDZ31BP,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3JNQLM5FT82KRS6MV91NNRVB2R8L2B,4,3
9,2,object_09,object_02,396.24499995261,3,1,549.630000256,0.2222222222222222,1,object_04,1,14,0,2,4,forest_5,2,memory-2step-stake-s,506,1814473,0.0-19.0-0.0-0.9,A1BE3Y8ZDZ31BP,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3JNQLM5FT82KRS6MV91NNRVB2R8L2B,3,4
10,2,object_09,object_02,-1.0,-1,-1,-1.0,0.0,-,0,5,14,0,2,4,forest_4,2,memory-2step-stake-s,507,1820981,0.0-19.0-0.0-0.10,A1BE3Y8ZDZ31BP,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3JNQLM5FT82KRS6MV91NNRVB2R8L2B,3,4
11,3,object_05,object_07,731.36499989778,5,1,430.14500010759,0.1111111111111111,1,object_04,5,19,0,1,4,library_1,2,memory-2step-stake-s,508,1828725,0.0-19.0-0.0-0.11,A1BE3Y8ZDZ31BP,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3JNQLM5FT82KRS6MV91NNRVB2R8L2B,5,6
12,2,object_02,object_09,571.87999971211,3,2,1062.7800002694,0.1111111111111111,1,object_04,5,24,0,1,1,forest_3,2,memory-2step-stake-s,509,1837101,0.0-19.0-0.0-0.12,A1BE3Y8ZDZ31BP,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3JNQLM5FT82KRS6MV91NNRVB2R8L2B,4,3
13,1,object_10,object_08,779.43999972194,2,1,734.20500010252,0.1111111111111111,2,object_03,5,29,0,1,1,desert_3,2,memory-2step-stake-s,510,1845149,0.0-19.0-0.0-0.13,A1BE3Y8ZDZ31BP,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3JNQLM5FT82KRS6MV91NNRVB2R8L2B,2,1
14,1,object_10,object_08,633.88499990106,1,2,589.63000029325,0.1111111111111111,1,object_04,5,34,0,1,2,desert_3,2,memory-2step-stake-s,511,1853053,0.0-19.0-0.0-0.14,A1BE3Y8ZDZ31BP,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3JNQLM5FT82KRS6MV91NNRVB2R8L2B,2,1
15,4,object_01,object_06,771.88500016928,7,2,847.42000047117,0.2222222222222222,1,object_04,5,44,0,2,2,restaurant_1,2,memory-2step-stake-s,512,1861315,0.0-19.0-0.0-0.15,A1BE3Y8ZDZ31BP,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3JNQLM5FT82KRS6MV91NNRVB2R8L2B,8,7
