,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_10,object_04,791.5,7,1,1324.400000006,1.0,1,object_08,1,9,0,9,1,restaurant_1,2,memory-2step-stake-s,488,1110152,0.0-19.0-0.0-0.0,A1BSVEBYDZ0AAU,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3X3OR7WPZ3GVD78BBQAOXI8EW0T8LK,7,8
1,3,object_01,object_07,709.5,5,2,709.30000001192,0.7777777777777778,1,object_08,5,44,0,7,0,library_4,2,memory-2step-stake-s,489,1118781,0.0-19.0-0.0-0.1,A1BSVEBYDZ0AAU,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3X3OR7WPZ3GVD78BBQAOXI8EW0T8LK,6,5
2,4,object_10,object_04,785.19999998808,7,1,541.39999997616,1.0,1,object_08,1,53,0,9,0,restaurant_3,2,memory-2step-stake-s,490,1127445,0.0-19.0-0.0-0.2,A1BSVEBYDZ0AAU,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3X3OR7WPZ3GVD78BBQAOXI8EW0T8LK,7,8
3,2,object_03,object_02,1007.8999999762,3,1,530.79999998212,0.8888888888888888,1,object_08,5,93,0,8,2,forest_3,2,memory-2step-stake-s,491,1135999,0.0-19.0-0.0-0.3,A1BSVEBYDZ0AAU,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3X3OR7WPZ3GVD78BBQAOXI8EW0T8LK,3,4
4,1,object_09,object_06,1052.0,1,2,604.59999999404,0.7777777777777778,1,object_08,5,128,0,7,1,desert_8,2,memory-2step-stake-s,492,1144526,0.0-19.0-0.0-0.4,A1BSVEBYDZ0AAU,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3X3OR7WPZ3GVD78BBQAOXI8EW0T8LK,2,1
5,4,object_10,object_04,757.29999998212,7,1,460.19999998808,0.7777777777777778,1,object_08,5,163,0,7,1,restaurant_3,2,memory-2step-stake-s,493,1152903,0.0-19.0-0.0-0.5,A1BSVEBYDZ0AAU,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3X3OR7WPZ3GVD78BBQAOXI8EW0T8LK,7,8
6,2,object_02,object_03,880.09999999404,3,2,465.09999999404,0.5555555555555556,1,object_08,5,188,0,5,2,forest_8,2,memory-2step-stake-s,494,1161087,0.0-19.0-0.0-0.6,A1BSVEBYDZ0AAU,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3X3OR7WPZ3GVD78BBQAOXI8EW0T8LK,4,3
7,4,object_04,object_10,624.19999998808,7,2,358.79999998212,0.6666666666666666,1,object_08,1,194,0,6,1,restaurant_2,2,memory-2step-stake-s,495,1169262,0.0-19.0-0.0-0.7,A1BSVEBYDZ0AAU,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3X3OR7WPZ3GVD78BBQAOXI8EW0T8LK,8,7
8,1,object_09,object_06,734.19999998808,1,2,433.30000001192,0.5555555555555556,1,object_08,5,219,0,5,1,desert_6,2,memory-2step-stake-s,496,1177411,0.0-19.0-0.0-0.8,A1BSVEBYDZ0AAU,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3X3OR7WPZ3GVD78BBQAOXI8EW0T8LK,2,1
9,3,object_01,object_07,759.09999999404,5,2,595.19999998808,0.5555555555555556,1,object_08,1,224,0,5,2,library_2,2,memory-2step-stake-s,497,1185738,0.0-19.0-0.0-0.9,A1BSVEBYDZ0AAU,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3X3OR7WPZ3GVD78BBQAOXI8EW0T8LK,6,5
10,2,object_03,object_02,808.5,3,1,484.59999999404,0.5555555555555556,1,object_08,5,249,0,5,2,forest_8,2,memory-2step-stake-s,498,1193940,0.0-19.0-0.0-0.10,A1BSVEBYDZ0AAU,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3X3OR7WPZ3GVD78BBQAOXI8EW0T8LK,3,4
11,4,object_10,object_04,709.69999998808,7,1,489.59999999404,0.6666666666666666,1,object_08,5,279,0,6,3,restaurant_6,2,memory-2step-stake-s,499,1202244,0.0-19.0-0.0-0.11,A1BSVEBYDZ0AAU,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3X3OR7WPZ3GVD78BBQAOXI8EW0T8LK,7,8
12,1,object_06,object_09,1057.900000006,1,1,378.0,0.3333333333333333,1,object_08,5,294,0,3,3,desert_6,2,memory-2step-stake-s,500,1210143,0.0-19.0-0.0-0.12,A1BSVEBYDZ0AAU,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3X3OR7WPZ3GVD78BBQAOXI8EW0T8LK,1,2
13,4,object_04,object_10,831.40000000596,8,1,515.09999999404,0.1111111111111111,2,object_05,1,295,0,4,1,restaurant_1,2,memory-2step-stake-s,501,1217972,0.0-19.0-0.0-0.13,A1BSVEBYDZ0AAU,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3X3OR7WPZ3GVD78BBQAOXI8EW0T8LK,8,7
14,4,object_04,object_10,684.60000002384,7,2,452.69999998808,0.2222222222222222,1,object_08,1,297,0,2,0,restaurant_3,2,memory-2step-stake-s,502,1225840,0.0-19.0-0.0-0.14,A1BSVEBYDZ0AAU,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3X3OR7WPZ3GVD78BBQAOXI8EW0T8LK,8,7
