,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,3,object_06,object_05,1010.900000006,6,2,1316.5,0.2222222222222222,2,object_04,1,2,0,7,2,library_5,2,memory-2step-stake-s,490,853467,0.0-19.0-0.0-0.0,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,5,6
1,2,object_10,object_08,-1.0,-1,-1,-1.0,0.0,-,0,5,2,0,4,2,forest_8,2,memory-2step-stake-s,491,859985,0.0-19.0-0.0-0.1,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,4,3
2,1,object_02,object_09,1074.0,1,2,1202.3000000119,0.2222222222222222,1,object_01,5,12,0,2,2,desert_6,2,memory-2step-stake-s,492,868615,0.0-19.0-0.0-0.2,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,2,1
3,2,object_10,object_08,810.0,3,2,498.20000001788,0.3333333333333333,1,object_01,1,15,0,3,0,forest_4,2,memory-2step-stake-s,493,876637,0.0-19.0-0.0-0.3,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,4,3
4,4,object_07,object_03,-1.0,-1,-1,-1.0,0.0,-,0,5,15,0,1,3,restaurant_5,2,memory-2step-stake-s,494,883149,0.0-19.0-0.0-0.4,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,7,8
5,1,object_02,object_09,637.5,1,2,935.70000001788,0.1111111111111111,1,object_01,5,20,0,1,1,desert_5,2,memory-2step-stake-s,495,891405,0.0-19.0-0.0-0.5,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,2,1
6,3,object_06,object_05,748.5,5,1,582.80000001192,0.3333333333333333,1,object_01,1,23,0,3,2,library_5,2,memory-2step-stake-s,496,899510,0.0-19.0-0.0-0.6,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,5,6
7,1,object_09,object_02,585.59999999404,2,2,508.5,0.2222222222222222,2,object_04,5,33,0,2,2,desert_2,2,memory-2step-stake-s,497,907458,0.0-19.0-0.0-0.7,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,1,2
8,3,object_06,object_05,865.09999999404,5,1,715.19999998808,0.2222222222222222,1,object_01,5,43,0,2,1,library_5,2,memory-2step-stake-s,498,915592,0.0-19.0-0.0-0.8,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,5,6
9,2,object_10,object_08,1010.599999994,4,1,443.90000000596,0.2222222222222222,2,object_04,5,53,0,2,2,forest_5,2,memory-2step-stake-s,499,923457,0.0-19.0-0.0-0.9,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,4,3
10,3,object_05,object_06,664.30000001192,5,2,585.5,0.1111111111111111,1,object_01,1,54,0,1,6,library_7,2,memory-2step-stake-s,500,931384,0.0-19.0-0.0-0.10,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,6,5
11,3,object_06,object_05,609.59999999404,5,1,540.79999998212,0.1111111111111111,1,object_01,1,55,0,1,4,library_3,2,memory-2step-stake-s,501,939255,0.0-19.0-0.0-0.11,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,5,6
12,2,object_08,object_10,616.5,4,2,602.5,0.3333333333333333,2,object_04,5,70,0,1,3,forest_2,2,memory-2step-stake-s,502,947388,0.0-19.0-0.0-0.12,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,3,4
13,1,object_02,object_09,990.0,1,2,983.5,0.0,1,object_01,5,70,0,0,2,desert_7,2,memory-2step-stake-s,503,955591,0.0-19.0-0.0-0.13,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,2,1
14,2,object_10,object_08,932.40000000596,4,1,573.59999999404,0.2222222222222222,2,object_04,5,80,0,1,2,forest_5,2,memory-2step-stake-s,504,963582,0.0-19.0-0.0-0.14,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,4,3
15,3,object_05,object_06,428.0,5,2,579.5,0.0,1,object_01,1,80,0,0,1,library_1,2,memory-2step-stake-s,505,971380,0.0-19.0-0.0-0.15,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,6,5
16,4,object_03,object_07,598.0,8,1,447.90000000596,0.1111111111111111,2,object_04,1,81,0,1,1,restaurant_6,2,memory-2step-stake-s,506,979148,0.0-19.0-0.0-0.16,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,8,7
17,4,object_03,object_07,525.0,7,2,653.59999999404,0.1111111111111111,1,object_01,1,82,0,1,3,restaurant_7,2,memory-2step-stake-s,507,987121,0.0-19.0-0.0-0.17,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,8,7
18,3,object_06,object_05,966.59999999404,6,2,1265.8999999762,0.2222222222222222,2,object_04,1,84,0,2,2,library_5,2,memory-2step-stake-s,508,995822,0.0-19.0-0.0-0.18,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,5,6
19,3,object_06,object_05,275.30000001192,6,2,629.0,0.0,2,object_04,1,84,0,1,0,library_1,2,memory-2step-stake-s,509,1003668,0.0-19.0-0.0-0.19,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,5,6
20,1,object_02,object_09,588.39999997616,2,1,654.30000001192,0.0,2,object_04,5,84,0,1,0,desert_7,2,memory-2step-stake-s,510,1011541,0.0-19.0-0.0-0.20,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,2,1
21,3,object_05,object_06,539.30000001192,5,2,493.80000001192,0.1111111111111111,1,object_01,1,85,0,1,1,library_7,2,memory-2step-stake-s,511,1019372,0.0-19.0-0.0-0.21,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,6,5
22,3,object_06,object_05,500.40000000596,5,1,487.0,0.3333333333333333,1,object_01,1,88,0,3,2,library_5,2,memory-2step-stake-s,512,1027390,0.0-19.0-0.0-0.22,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,5,6
23,4,object_03,object_07,389.5,7,2,536.09999999404,0.5555555555555556,1,object_01,5,113,0,5,2,restaurant_7,2,memory-2step-stake-s,513,1035647,0.0-19.0-0.0-0.23,A1G5EPLJEGL381,3SD15I2WE5AO7614M34OSYMJOYM362,3YDGXNSEO3AZFZ1Q5YB7B163256485,8,7
