,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_04,object_05,866.19999980927,3,2,-1.0,0.0,1,object_02,1,0,0,0,0,forest_1,1,memory-2step-stake-s,494,846338,0.0-19.0-0.0-0.0,A1GC6CN3F0IHWN,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,39O5D9O87X8G968ZMWMT3IAGEWV3CP,4,3
1,3,object_10,object_06,771.79999995232,6,1,-1.0,0.0,2,object_09,1,0,0,1,2,library_3,1,memory-2step-stake-s,495,854920,0.0-19.0-0.0-0.1,A1GC6CN3F0IHWN,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,39O5D9O87X8G968ZMWMT3IAGEWV3CP,6,5
2,1,object_07,object_03,806.5,2,1,1465.0,0.0,2,object_09,1,0,0,2,0,desert_5,1,memory-2step-stake-s,496,863671,0.0-19.0-0.0-0.2,A1GC6CN3F0IHWN,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,39O5D9O87X8G968ZMWMT3IAGEWV3CP,2,1
3,3,object_10,object_06,428.0,5,2,301.39999985695,0.1111111111111111,1,object_02,5,5,0,1,1,library_3,1,memory-2step-stake-s,497,871387,0.0-19.0-0.0-0.3,A1GC6CN3F0IHWN,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,39O5D9O87X8G968ZMWMT3IAGEWV3CP,6,5
4,1,object_03,object_07,563.20000004768,1,1,530.70000004768,0.1111111111111111,1,object_02,1,6,0,1,5,desert_8,1,memory-2step-stake-s,498,879334,0.0-19.0-0.0-0.4,A1GC6CN3F0IHWN,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,39O5D9O87X8G968ZMWMT3IAGEWV3CP,1,2
5,2,object_05,object_04,925.90000009537,4,2,439.5,0.8888888888888888,2,object_09,5,46,0,3,8,forest_7,1,memory-2step-stake-s,499,887960,0.0-19.0-0.0-0.5,A1GC6CN3F0IHWN,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,39O5D9O87X8G968ZMWMT3IAGEWV3CP,3,4
6,4,object_01,object_08,920.89999985695,7,1,356.89999985695,0.5555555555555556,1,object_02,5,71,0,5,8,restaurant_3,1,memory-2step-stake-s,500,896174,0.0-19.0-0.0-0.6,A1GC6CN3F0IHWN,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,39O5D9O87X8G968ZMWMT3IAGEWV3CP,7,8
7,3,object_06,object_10,562.09999990463,6,2,331.20000004768,0.8888888888888888,2,object_09,5,111,0,5,8,library_8,1,memory-2step-stake-s,501,904697,0.0-19.0-0.0-0.7,A1GC6CN3F0IHWN,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,39O5D9O87X8G968ZMWMT3IAGEWV3CP,5,6
8,4,object_08,object_01,351.29999995232,7,2,601.59999990463,0.4444444444444444,1,object_02,5,131,0,4,7,restaurant_1,1,memory-2step-stake-s,502,913073,0.0-19.0-0.0-0.8,A1GC6CN3F0IHWN,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,39O5D9O87X8G968ZMWMT3IAGEWV3CP,8,7
9,1,object_03,object_07,1061.1000001431,2,2,558.59999990463,0.5555555555555556,2,object_09,1,136,0,5,5,desert_8,1,memory-2step-stake-s,503,921491,0.0-19.0-0.0-0.9,A1GC6CN3F0IHWN,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,39O5D9O87X8G968ZMWMT3IAGEWV3CP,1,2
