,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_10,object_09,40.800000011921,8,2,-1.0,0.0,2,object_08,1,0,0,6,0,restaurant_5,2,memory-2step-stake-s,503,987057,0.0-19.0-0.0-0.0,A1IMO5XR05U7S5,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3MRNMEIQW9M7U242SYL4JAMFZIYDLD,7,8
1,2,object_05,object_03,621.90000003576,4,1,-1.0,0.0,2,object_08,5,0,0,2,1,forest_3,2,memory-2step-stake-s,504,995578,0.0-19.0-0.0-0.1,A1IMO5XR05U7S5,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3MRNMEIQW9M7U242SYL4JAMFZIYDLD,4,3
2,3,object_02,object_04,846.10000002384,5,1,-1.0,0.0,1,object_06,1,0,0,1,4,library_8,2,memory-2step-stake-s,505,1004094,0.0-19.0-0.0-0.2,A1IMO5XR05U7S5,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3MRNMEIQW9M7U242SYL4JAMFZIYDLD,5,6
3,2,object_05,object_03,287.19999998808,3,2,-1.0,0.0,1,object_06,1,0,0,0,4,forest_1,2,memory-2step-stake-s,506,1012623,0.0-19.0-0.0-0.3,A1IMO5XR05U7S5,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3MRNMEIQW9M7U242SYL4JAMFZIYDLD,4,3
4,3,object_04,object_02,196.69999998808,5,2,-1.0,0.0,1,object_06,1,0,0,1,3,library_8,2,memory-2step-stake-s,507,1021137,0.0-19.0-0.0-0.4,A1IMO5XR05U7S5,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3MRNMEIQW9M7U242SYL4JAMFZIYDLD,6,5
5,2,object_03,object_05,925.09999996424,3,1,-1.0,0.0,1,object_06,5,0,0,5,4,forest_3,2,memory-2step-stake-s,508,1029649,0.0-19.0-0.0-0.5,A1IMO5XR05U7S5,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3MRNMEIQW9M7U242SYL4JAMFZIYDLD,3,4
6,4,object_10,object_09,344.19999998808,8,2,-1.0,0.0,2,object_08,1,0,0,5,3,restaurant_5,2,memory-2step-stake-s,509,1038165,0.0-19.0-0.0-0.6,A1IMO5XR05U7S5,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3MRNMEIQW9M7U242SYL4JAMFZIYDLD,7,8
7,3,object_04,object_02,305.29999995232,6,1,-1.0,0.0,2,object_08,1,0,0,5,6,library_2,2,memory-2step-stake-s,510,1046681,0.0-19.0-0.0-0.7,A1IMO5XR05U7S5,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3MRNMEIQW9M7U242SYL4JAMFZIYDLD,6,5
8,1,object_01,object_07,-1.0,-1,-1,-1.0,0.0,-,0,5,0,0,4,7,desert_8,2,memory-2step-stake-s,511,1053190,0.0-19.0-0.0-0.8,A1IMO5XR05U7S5,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3MRNMEIQW9M7U242SYL4JAMFZIYDLD,1,2
9,3,object_04,object_02,677.10000002384,5,2,-1.0,0.0,1,object_06,1,0,0,3,8,library_5,2,memory-2step-stake-s,512,1061705,0.0-19.0-0.0-0.9,A1IMO5XR05U7S5,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3MRNMEIQW9M7U242SYL4JAMFZIYDLD,6,5
