,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_03,object_05,-1.0,-1,-1,-1.0,0.0,-,0,1,0,0,3,1,restaurant_1,2,memory-2step-stake-s,497,942112,0.0-19.0-0.0-0.0,A1LLAP0EV74WMS,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3ON104KXQOCA50X831RDPH9PKCC4WN,7,8
1,1,object_08,object_09,918.60000000149,2,2,1315.3000000045,0.3333333333333333,2,object_01,5,15,0,5,3,desert_8,2,memory-2step-stake-s,498,950954,0.0-19.0-0.0-0.1,A1LLAP0EV74WMS,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3ON104KXQOCA50X831RDPH9PKCC4WN,1,2
2,3,object_06,object_10,884.79999999702,5,1,1381.299999997,0.8888888888888888,1,object_04,1,23,0,8,2,library_4,2,memory-2step-stake-s,499,960363,0.0-19.0-0.0-0.2,A1LLAP0EV74WMS,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3ON104KXQOCA50X831RDPH9PKCC4WN,5,6
3,4,object_03,object_05,764.89999999851,8,2,1283.200000003,0.4444444444444444,2,object_01,1,27,0,7,4,restaurant_2,2,memory-2step-stake-s,500,969270,0.0-19.0-0.0-0.3,A1LLAP0EV74WMS,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3ON104KXQOCA50X831RDPH9PKCC4WN,7,8
4,2,object_02,object_07,1347.0,3,2,1144.1999999955,0.8888888888888888,1,object_04,5,67,0,8,3,forest_6,2,memory-2step-stake-s,501,978443,0.0-19.0-0.0-0.4,A1LLAP0EV74WMS,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3ON104KXQOCA50X831RDPH9PKCC4WN,4,3
5,3,object_10,object_06,-1.0,-1,-1,-1.0,0.0,-,0,1,67,0,8,2,library_3,2,memory-2step-stake-s,502,984956,0.0-19.0-0.0-0.5,A1LLAP0EV74WMS,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3ON104KXQOCA50X831RDPH9PKCC4WN,6,5
6,4,object_05,object_03,341.70000000298,8,1,392.40000000596,0.0,2,object_01,1,67,0,8,0,restaurant_1,2,memory-2step-stake-s,503,992564,0.0-19.0-0.0-0.6,A1LLAP0EV74WMS,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3ON104KXQOCA50X831RDPH9PKCC4WN,8,7
7,2,object_02,object_07,638.79999999702,3,2,405.20000000298,0.5555555555555556,1,object_04,5,92,0,5,1,forest_6,2,memory-2step-stake-s,504,1000712,0.0-19.0-0.0-0.7,A1LLAP0EV74WMS,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3ON104KXQOCA50X831RDPH9PKCC4WN,4,3
8,3,object_10,object_06,934.10000000149,6,1,729.0,0.3333333333333333,2,object_01,1,95,0,7,3,library_3,2,memory-2step-stake-s,505,1008963,0.0-19.0-0.0-0.8,A1LLAP0EV74WMS,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3ON104KXQOCA50X831RDPH9PKCC4WN,6,5
9,2,object_07,object_02,499.60000000149,4,2,318.89999999851,0.1111111111111111,2,object_01,1,96,0,6,1,forest_6,2,memory-2step-stake-s,506,1016602,0.0-19.0-0.0-0.9,A1LLAP0EV74WMS,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3ON104KXQOCA50X831RDPH9PKCC4WN,3,4
10,1,object_08,object_09,845.60000000149,1,1,655.39999999851,0.8888888888888888,1,object_04,5,136,0,8,3,desert_8,2,memory-2step-stake-s,507,1025283,0.0-19.0-0.0-0.10,A1LLAP0EV74WMS,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3ON104KXQOCA50X831RDPH9PKCC4WN,1,2
11,2,object_02,object_07,554.39999999851,3,2,464.39999999851,0.8888888888888888,1,object_04,5,176,0,8,3,forest_1,2,memory-2step-stake-s,508,1033772,0.0-19.0-0.0-0.11,A1LLAP0EV74WMS,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3ON104KXQOCA50X831RDPH9PKCC4WN,4,3
12,3,object_10,object_06,502.5,6,1,784.5,0.2222222222222222,2,object_01,1,178,0,8,2,library_6,2,memory-2step-stake-s,509,1041971,0.0-19.0-0.0-0.12,A1LLAP0EV74WMS,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3ON104KXQOCA50X831RDPH9PKCC4WN,6,5
13,1,object_09,object_08,586.20000000298,1,2,434.89999999851,0.8888888888888888,1,object_04,5,218,0,8,2,desert_4,2,memory-2step-stake-s,510,1050434,0.0-19.0-0.0-0.13,A1LLAP0EV74WMS,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3ON104KXQOCA50X831RDPH9PKCC4WN,2,1
