,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_10,object_04,738.19999998808,8,1,1324.5,0.3333333333333333,2,object_06,1,3,0,6,3,restaurant_4,2,memory-2step-stake-s,496,1963269,0.0-19.0-0.0-0.0,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,8,7
1,2,object_05,object_09,662.80000001192,3,2,1033.6000000238,0.7777777777777778,1,object_01,5,38,0,7,1,forest_1,2,memory-2step-stake-s,497,1972358,0.0-19.0-0.0-0.1,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,4,3
2,2,object_05,object_09,560.80000001192,3,2,834.29999995232,0.5555555555555556,1,object_01,5,63,0,5,1,forest_6,2,memory-2step-stake-s,498,1981028,0.0-19.0-0.0-0.2,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,4,3
3,1,object_08,object_03,879.69999998808,1,2,719.0,0.4444444444444444,1,object_01,5,83,0,4,5,desert_3,2,memory-2step-stake-s,499,1989468,0.0-19.0-0.0-0.3,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,2,1
4,1,object_03,object_08,477.60000002384,1,1,775.30000001192,0.2222222222222222,1,object_01,1,85,0,2,6,desert_7,2,memory-2step-stake-s,500,1997748,0.0-19.0-0.0-0.4,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,1,2
5,1,object_08,object_03,768.39999997616,2,1,558.30000001192,0.6666666666666666,2,object_06,5,115,0,5,6,desert_1,2,memory-2step-stake-s,501,2006228,0.0-19.0-0.0-0.5,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,2,1
6,1,object_03,object_08,721.89999997616,2,2,1073.1999999881,0.5555555555555556,2,object_06,5,140,0,6,5,desert_7,2,memory-2step-stake-s,502,2015137,0.0-19.0-0.0-0.6,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,1,2
7,4,object_10,object_04,1049.8000000119,8,1,867.09999996424,0.7777777777777778,2,object_06,5,175,0,6,7,restaurant_7,2,memory-2step-stake-s,503,2024058,0.0-19.0-0.0-0.7,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,8,7
8,3,object_07,object_02,747.29999995232,6,2,533.89999997616,0.8888888888888888,2,object_06,1,183,0,5,8,library_4,2,memory-2step-stake-s,504,2032748,0.0-19.0-0.0-0.8,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,5,6
9,4,object_04,object_10,969.5,8,2,600.89999997616,0.3333333333333333,2,object_06,1,186,0,7,3,restaurant_4,2,memory-2step-stake-s,505,2040957,0.0-19.0-0.0-0.9,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,7,8
10,1,object_08,object_03,1039.5999999642,2,1,543.20000004768,0.4444444444444444,2,object_06,5,206,0,5,4,desert_4,2,memory-2step-stake-s,506,2049217,0.0-19.0-0.0-0.10,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,2,1
11,1,object_03,object_08,805.79999995232,2,2,509.5,0.4444444444444444,2,object_06,1,210,0,6,4,desert_7,2,memory-2step-stake-s,507,2057428,0.0-19.0-0.0-0.11,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,1,2
12,4,object_04,object_10,619.29999995232,7,1,551.69999998808,0.5555555555555556,1,object_01,1,215,0,5,9,restaurant_2,2,memory-2step-stake-s,508,2065838,0.0-19.0-0.0-0.12,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,7,8
13,3,object_07,object_02,665.70000004768,6,2,532.09999996424,0.5555555555555556,2,object_06,1,220,0,2,5,library_6,2,memory-2step-stake-s,509,2074198,0.0-19.0-0.0-0.13,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,5,6
14,2,object_09,object_05,729.5,3,1,572.09999996424,0.5555555555555556,1,object_01,5,245,0,5,1,forest_1,2,memory-2step-stake-s,510,2082619,0.0-19.0-0.0-0.14,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,3,4
15,3,object_07,object_02,780.30000001192,5,1,501.69999998808,0.2222222222222222,1,object_01,1,247,0,2,3,library_5,2,memory-2step-stake-s,511,2090618,0.0-19.0-0.0-0.15,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,5,6
16,2,object_05,object_09,885.89999997616,3,2,525.69999998808,0.3333333333333333,1,object_01,5,262,0,3,4,forest_2,2,memory-2step-stake-s,512,2098758,0.0-19.0-0.0-0.16,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,4,3
17,4,object_10,object_04,993.69999998808,7,2,660.09999996424,0.3333333333333333,1,object_01,1,265,0,3,5,restaurant_4,2,memory-2step-stake-s,513,2107038,0.0-19.0-0.0-0.17,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,8,7
18,3,object_07,object_02,749.09999996424,5,1,510.5,0.4444444444444444,1,object_01,1,269,0,4,6,library_4,2,memory-2step-stake-s,514,2115278,0.0-19.0-0.0-0.18,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,5,6
19,3,object_02,object_07,712.39999997616,5,2,467.5,0.8888888888888888,1,object_01,1,277,0,8,4,library_3,2,memory-2step-stake-s,515,2123898,0.0-19.0-0.0-0.19,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,6,5
20,3,object_07,object_02,329.0,6,2,376.19999998808,0.5555555555555556,2,object_06,1,282,0,7,5,library_4,2,memory-2step-stake-s,516,2132068,0.0-19.0-0.0-0.20,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,5,6
21,1,object_08,object_03,801.59999996424,1,2,669.60000002384,0.6666666666666666,1,object_01,5,312,0,6,3,desert_1,2,memory-2step-stake-s,517,2140688,0.0-19.0-0.0-0.21,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,2,1
22,4,object_10,object_04,551.19999998808,8,1,523.90000003576,0.4444444444444444,2,object_06,1,316,0,7,4,restaurant_2,2,memory-2step-stake-s,518,2148938,0.0-19.0-0.0-0.22,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,8,7
23,4,object_04,object_10,619.0,7,1,458.60000002384,0.8888888888888888,1,object_01,5,356,0,8,7,restaurant_3,2,memory-2step-stake-s,519,2157558,0.0-19.0-0.0-0.23,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,7,8
24,1,object_03,object_08,590.19999998808,2,2,612.79999995232,0.7777777777777778,2,object_06,5,391,0,4,7,desert_3,2,memory-2step-stake-s,520,2166189,0.0-19.0-0.0-0.24,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,1,2
25,1,object_08,object_03,601.5,2,1,-1.0,0.0,2,object_06,1,391,0,5,5,desert_4,2,memory-2step-stake-s,521,2174784,0.0-19.0-0.0-0.25,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,2,1
26,1,object_03,object_08,553.19999998808,2,2,763.0,0.6666666666666666,2,object_06,5,421,0,8,6,desert_4,2,memory-2step-stake-s,522,2183456,0.0-19.0-0.0-0.26,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,1,2
27,1,object_08,object_03,560.30000001192,1,2,434.0,0.7777777777777778,1,object_01,5,456,0,7,8,desert_7,2,memory-2step-stake-s,523,2191913,0.0-19.0-0.0-0.27,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,2,1
28,2,object_05,object_09,517.09999996424,4,1,496.30000001192,0.7777777777777778,2,object_06,5,491,0,6,7,forest_3,2,memory-2step-stake-s,524,2200452,0.0-19.0-0.0-0.28,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,4,3
29,1,object_08,object_03,489.09999996424,1,2,400.40000003576,0.8888888888888888,1,object_01,1,499,0,8,7,desert_4,2,memory-2step-stake-s,525,2208964,0.0-19.0-0.0-0.29,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,2,1
30,4,object_10,object_04,203.10000002384,8,1,461.59999996424,0.8888888888888888,2,object_06,1,507,0,5,8,restaurant_2,2,memory-2step-stake-s,526,2217546,0.0-19.0-0.0-0.30,A1N1ULK71RHVMM,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3JC6VJ2SAFZVU6Y5G1EVCKICSQ75AN,8,7
