,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_03,object_02,-1.0,-1,-1,-1.0,0.0,-,0,5,0,0,0,2,desert_3,2,memory-2step-stake-s,497,800130,0.0-19.0-0.0-0.0,A1Q56N80RJLQ7S,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3RXCAC0YIV5FRFUA0ZD8KQ36SAF8GW,2,1
1,3,object_06,object_09,236.29999998212,6,1,-1.0,0.0,2,object_07,5,0,0,1,2,library_1,2,memory-2step-stake-s,498,808637,0.0-19.0-0.0-0.1,A1Q56N80RJLQ7S,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3RXCAC0YIV5FRFUA0ZD8KQ36SAF8GW,6,5
2,3,object_09,object_06,467.90000000596,6,2,-1.0,0.0,2,object_07,5,0,0,5,1,library_6,2,memory-2step-stake-s,499,817145,0.0-19.0-0.0-0.2,A1Q56N80RJLQ7S,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3RXCAC0YIV5FRFUA0ZD8KQ36SAF8GW,5,6
3,4,object_01,object_10,1002.6000000238,8,1,-1.0,0.0,2,object_07,1,0,0,5,3,restaurant_8,2,memory-2step-stake-s,500,825673,0.0-19.0-0.0-0.3,A1Q56N80RJLQ7S,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3RXCAC0YIV5FRFUA0ZD8KQ36SAF8GW,8,7
4,4,object_01,object_10,763.20000001788,7,2,-1.0,0.0,1,object_04,1,0,0,5,2,restaurant_1,2,memory-2step-stake-s,501,834179,0.0-19.0-0.0-0.4,A1Q56N80RJLQ7S,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3RXCAC0YIV5FRFUA0ZD8KQ36SAF8GW,8,7
5,4,object_01,object_10,1140.0,8,1,-1.0,0.0,2,object_07,5,0,0,6,2,restaurant_7,2,memory-2step-stake-s,502,842685,0.0-19.0-0.0-0.5,A1Q56N80RJLQ7S,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3RXCAC0YIV5FRFUA0ZD8KQ36SAF8GW,8,7
6,2,object_08,object_05,544.69999998808,4,2,-1.0,0.0,2,object_07,1,0,0,2,5,forest_7,2,memory-2step-stake-s,503,851192,0.0-19.0-0.0-0.6,A1Q56N80RJLQ7S,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3RXCAC0YIV5FRFUA0ZD8KQ36SAF8GW,3,4
7,4,object_10,object_01,380.5,7,1,-1.0,0.0,1,object_04,1,0,0,5,4,restaurant_2,2,memory-2step-stake-s,504,859699,0.0-19.0-0.0-0.7,A1Q56N80RJLQ7S,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3RXCAC0YIV5FRFUA0ZD8KQ36SAF8GW,7,8
8,4,object_10,object_01,333.5,8,2,-1.0,0.0,2,object_07,5,0,0,5,3,restaurant_8,2,memory-2step-stake-s,505,868205,0.0-19.0-0.0-0.8,A1Q56N80RJLQ7S,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3RXCAC0YIV5FRFUA0ZD8KQ36SAF8GW,7,8
9,2,object_05,object_08,253.69999998808,4,1,-1.0,0.0,2,object_07,5,0,0,3,3,forest_7,2,memory-2step-stake-s,506,876712,0.0-19.0-0.0-0.9,A1Q56N80RJLQ7S,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3RXCAC0YIV5FRFUA0ZD8KQ36SAF8GW,4,3
10,3,object_09,object_06,48.600000023842,5,1,-1.0,0.0,1,object_04,1,0,0,1,0,library_3,2,memory-2step-stake-s,507,885219,0.0-19.0-0.0-0.10,A1Q56N80RJLQ7S,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3RXCAC0YIV5FRFUA0ZD8KQ36SAF8GW,5,6
11,2,object_08,object_05,123.69999998808,3,1,-1.0,0.0,1,object_04,1,0,0,3,2,forest_4,2,memory-2step-stake-s,508,893727,0.0-19.0-0.0-0.11,A1Q56N80RJLQ7S,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3RXCAC0YIV5FRFUA0ZD8KQ36SAF8GW,3,4
12,3,object_09,object_06,-1.0,-1,-1,-1.0,0.0,-,0,1,0,0,7,2,library_1,2,memory-2step-stake-s,509,900232,0.0-19.0-0.0-0.12,A1Q56N80RJLQ7S,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3RXCAC0YIV5FRFUA0ZD8KQ36SAF8GW,5,6
13,4,object_10,object_01,328.89999997616,7,1,-1.0,0.0,1,object_04,1,0,0,9,2,restaurant_2,2,memory-2step-stake-s,510,908739,0.0-19.0-0.0-0.13,A1Q56N80RJLQ7S,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3RXCAC0YIV5FRFUA0ZD8KQ36SAF8GW,7,8
14,4,object_10,object_01,222.0,7,1,-1.0,0.0,1,object_04,1,0,0,9,4,restaurant_1,2,memory-2step-stake-s,511,917246,0.0-19.0-0.0-0.14,A1Q56N80RJLQ7S,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3RXCAC0YIV5FRFUA0ZD8KQ36SAF8GW,7,8
15,2,object_05,object_08,202.40000000596,3,2,-1.0,0.0,1,object_04,5,0,0,7,6,forest_3,2,memory-2step-stake-s,512,925753,0.0-19.0-0.0-0.15,A1Q56N80RJLQ7S,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3RXCAC0YIV5FRFUA0ZD8KQ36SAF8GW,4,3
16,2,object_05,object_08,80.40000000596,3,2,-1.0,0.0,1,object_04,5,0,0,8,7,forest_3,2,memory-2step-stake-s,513,934260,0.0-19.0-0.0-0.16,A1Q56N80RJLQ7S,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3RXCAC0YIV5FRFUA0ZD8KQ36SAF8GW,4,3
17,1,object_02,object_03,161.0,2,2,-1.0,0.0,2,object_07,5,0,0,8,7,desert_4,2,memory-2step-stake-s,514,942768,0.0-19.0-0.0-0.17,A1Q56N80RJLQ7S,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3RXCAC0YIV5FRFUA0ZD8KQ36SAF8GW,1,2
