,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_09,object_07,848.0,7,2,-1.0,0.0,1,object_06,1,0,0,2,3,restaurant_1,2,memory-2step-stake-s,489,1251954,0.0-19.0-0.0-0.0,A1VAL7L9L79IN0,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3H7Z272LXBNGJZ7SX7CZJ434D11PL3,8,7
1,4,object_09,object_07,517.0,8,1,927.0,0.5555555555555556,2,object_08,1,5,0,5,5,restaurant_1,2,memory-2step-stake-s,490,1260769,0.0-19.0-0.0-0.1,A1VAL7L9L79IN0,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3H7Z272LXBNGJZ7SX7CZJ434D11PL3,8,7
2,3,object_04,object_05,553.0,6,2,788.0,0.1111111111111111,2,object_08,5,10,0,3,1,library_6,2,memory-2step-stake-s,491,1268941,0.0-19.0-0.0-0.2,A1VAL7L9L79IN0,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3H7Z272LXBNGJZ7SX7CZJ434D11PL3,5,6
3,3,object_04,object_05,599.0,6,2,505.0,0.2222222222222222,2,object_08,1,12,0,2,2,library_3,2,memory-2step-stake-s,492,1276928,0.0-19.0-0.0-0.3,A1VAL7L9L79IN0,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3H7Z272LXBNGJZ7SX7CZJ434D11PL3,5,6
4,1,object_02,object_10,867.0,1,1,1047.0,0.4444444444444444,1,object_06,1,16,0,4,3,desert_8,2,memory-2step-stake-s,493,1285697,0.0-19.0-0.0-0.4,A1VAL7L9L79IN0,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3H7Z272LXBNGJZ7SX7CZJ434D11PL3,1,2
5,1,object_02,object_10,782.0,2,2,1268.0,0.6666666666666666,2,object_08,5,46,0,3,6,desert_8,2,memory-2step-stake-s,494,1294882,0.0-19.0-0.0-0.5,A1VAL7L9L79IN0,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3H7Z272LXBNGJZ7SX7CZJ434D11PL3,1,2
6,3,object_05,object_04,717.0,5,2,742.0,0.5555555555555556,1,object_06,1,51,0,5,5,library_8,2,memory-2step-stake-s,495,1303451,0.0-19.0-0.0-0.6,A1VAL7L9L79IN0,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3H7Z272LXBNGJZ7SX7CZJ434D11PL3,6,5
7,3,object_05,object_04,1275.0,5,2,703.0,0.6666666666666666,1,object_06,1,57,0,6,1,library_6,2,memory-2step-stake-s,496,1312085,0.0-19.0-0.0-0.7,A1VAL7L9L79IN0,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3H7Z272LXBNGJZ7SX7CZJ434D11PL3,6,5
8,3,object_04,object_05,774.0,5,1,652.0,0.2222222222222222,1,object_06,1,59,0,2,1,library_1,2,memory-2step-stake-s,497,1320243,0.0-19.0-0.0-0.8,A1VAL7L9L79IN0,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3H7Z272LXBNGJZ7SX7CZJ434D11PL3,5,6
9,3,object_05,object_04,518.0,6,1,499.0,0.4444444444444444,2,object_08,5,79,0,2,4,library_6,2,memory-2step-stake-s,498,1328449,0.0-19.0-0.0-0.9,A1VAL7L9L79IN0,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3H7Z272LXBNGJZ7SX7CZJ434D11PL3,6,5
