,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_03,object_09,458.15999992192,4,2,-1.0,0.0,2,object_05,5,0,0,4,5,forest_5,2,memory-2step-stake-s,533,1211685,0.0-19.0-0.0-0.0,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,3,4
1,3,object_08,object_01,366.33499991149,6,1,-1.0,0.0,2,object_05,5,0,0,4,2,library_8,2,memory-2step-stake-s,534,1220220,0.0-19.0-0.0-0.1,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,6,5
2,1,object_06,object_07,974.96499994304,2,2,-1.0,0.0,2,object_05,5,0,0,4,3,desert_4,2,memory-2step-stake-s,535,1228748,0.0-19.0-0.0-0.2,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,1,2
3,4,object_10,object_02,1293.2199999923,7,2,-1.0,0.0,1,object_04,1,0,0,4,1,restaurant_8,2,memory-2step-stake-s,536,1237273,0.0-19.0-0.0-0.3,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,8,7
4,1,object_07,object_06,380.61500003096,2,1,-1.0,0.0,2,object_05,5,0,0,6,0,desert_5,2,memory-2step-stake-s,537,1245802,0.0-19.0-0.0-0.4,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,2,1
5,4,object_10,object_02,316.07000005897,7,2,-1.0,0.0,1,object_04,5,0,0,4,0,restaurant_7,2,memory-2step-stake-s,538,1254325,0.0-19.0-0.0-0.5,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,8,7
6,3,object_08,object_01,924.45000004955,5,2,-1.0,0.0,1,object_04,1,0,0,3,6,library_2,2,memory-2step-stake-s,539,1262866,0.0-19.0-0.0-0.6,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,6,5
7,4,object_02,object_10,1016.3099999772,8,2,-1.0,0.0,2,object_05,1,0,0,4,4,restaurant_8,2,memory-2step-stake-s,540,1271402,0.0-19.0-0.0-0.7,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,7,8
8,2,object_03,object_09,1272.0699999481,3,1,-1.0,0.0,1,object_04,5,0,0,2,4,forest_4,2,memory-2step-stake-s,541,1279928,0.0-19.0-0.0-0.8,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,3,4
9,1,object_07,object_06,1098.3049999923,1,2,-1.0,0.0,1,object_04,5,0,0,5,4,desert_5,2,memory-2step-stake-s,542,1288463,0.0-19.0-0.0-0.9,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,2,1
10,3,object_08,object_01,301.63000000175,6,1,-1.0,0.0,2,object_05,1,0,0,5,0,library_1,2,memory-2step-stake-s,543,1296986,0.0-19.0-0.0-0.10,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,6,5
11,1,object_07,object_06,1330.4300000891,1,2,-1.0,0.0,1,object_04,5,0,0,5,0,desert_7,2,memory-2step-stake-s,544,1305517,0.0-19.0-0.0-0.11,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,2,1
12,1,object_06,object_07,295.01000000164,1,1,360.94000004232,0.4444444444444444,1,object_04,5,20,0,4,1,desert_5,2,memory-2step-stake-s,545,1313515,0.0-19.0-0.0-0.12,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,1,2
13,4,object_02,object_10,836.3749999553,8,2,420.99499993492,0.1111111111111111,2,object_05,1,21,0,5,1,restaurant_7,2,memory-2step-stake-s,546,1321265,0.0-19.0-0.0-0.13,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,7,8
14,2,object_09,object_03,943.4299999848,4,1,400.70999995805,0.1111111111111111,2,object_05,5,26,0,6,1,forest_2,2,memory-2step-stake-s,547,1328992,0.0-19.0-0.0-0.14,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,4,3
15,1,object_06,object_07,967.18000003602,2,2,319.38500003889,0.3333333333333333,2,object_05,5,41,0,4,3,desert_5,2,memory-2step-stake-s,548,1336848,0.0-19.0-0.0-0.15,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,1,2
16,2,object_03,object_09,1150.3200000152,4,2,410.63999990001,0.6666666666666666,2,object_05,1,47,0,6,6,forest_4,2,memory-2step-stake-s,549,1345099,0.0-19.0-0.0-0.16,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,3,4
17,2,object_09,object_03,675.11000006925,4,1,428.78499999642,0.4444444444444444,2,object_05,5,67,0,6,4,forest_5,2,memory-2step-stake-s,550,1353160,0.0-19.0-0.0-0.17,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,4,3
18,2,object_03,object_09,1308.0649999902,4,2,394.43499990739,0.3333333333333333,2,object_05,5,82,0,7,3,forest_3,2,memory-2step-stake-s,551,1361095,0.0-19.0-0.0-0.18,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,3,4
19,4,object_10,object_02,623.78999998327,8,1,354.81000004802,0.3333333333333333,2,object_05,1,85,0,7,3,restaurant_2,2,memory-2step-stake-s,552,1368984,0.0-19.0-0.0-0.19,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,8,7
20,1,object_07,object_06,545.99500005133,1,2,452.64000003226,0.6666666666666666,1,object_04,1,91,0,6,5,desert_4,2,memory-2step-stake-s,553,1377279,0.0-19.0-0.0-0.20,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,2,1
21,3,object_01,object_08,675.69000006188,5,1,417.46500006411,0.3333333333333333,1,object_04,1,94,0,3,5,library_8,2,memory-2step-stake-s,554,1385232,0.0-19.0-0.0-0.21,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,5,6
22,2,object_03,object_09,1448.1349999551,4,2,504.79499995708,0.4444444444444444,2,object_05,5,114,0,5,4,forest_4,2,memory-2step-stake-s,555,1393368,0.0-19.0-0.0-0.22,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,3,4
23,2,object_09,object_03,-1.0,-1,-1,-1.0,0.0,-,0,5,114,0,7,2,forest_5,2,memory-2step-stake-s,556,1399887,0.0-19.0-0.0-0.23,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,4,3
24,2,object_09,object_03,549.28000003565,4,1,278.49000005517,0.2222222222222222,2,object_05,5,124,0,9,2,forest_2,2,memory-2step-stake-s,557,1407591,0.0-19.0-0.0-0.24,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,4,3
25,4,object_10,object_02,357.91999998037,7,2,387.54499994684,0.7777777777777778,1,object_04,1,131,0,7,1,restaurant_2,2,memory-2step-stake-s,558,1415922,0.0-19.0-0.0-0.25,A25OK203N0QYH2,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3QHK8ZVMIQYEF56IE2UYOKYFWX9BLR,8,7
