,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_07,object_10,1030.0,4,1,1025.0,0.7777777777777778,2,object_02,5,35,0,5,7,forest_1,2,memory-2step-stake-s,493,900373,0.0-19.0-0.0-0.0,A25R6M1SRCDIYF,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,37WLF8U1WT6XPN75XB1PY4Z8TX5K6Q,4,3
1,4,object_08,object_05,900.0,7,2,798.0,0.8888888888888888,1,object_01,5,75,0,8,8,restaurant_5,2,memory-2step-stake-s,494,909452,0.0-19.0-0.0-0.1,A25R6M1SRCDIYF,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,37WLF8U1WT6XPN75XB1PY4Z8TX5K6Q,8,7
2,4,object_08,object_05,868.0,8,1,803.0,0.8888888888888888,2,object_02,1,83,0,4,8,restaurant_3,2,memory-2step-stake-s,495,918542,0.0-19.0-0.0-0.2,A25R6M1SRCDIYF,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,37WLF8U1WT6XPN75XB1PY4Z8TX5K6Q,8,7
3,1,object_03,object_06,1066.0,2,2,427.0,0.8888888888888888,2,object_02,5,123,0,6,8,desert_5,2,memory-2step-stake-s,496,927232,0.0-19.0-0.0-0.3,A25R6M1SRCDIYF,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,37WLF8U1WT6XPN75XB1PY4Z8TX5K6Q,1,2
4,2,object_07,object_10,944.0,3,2,911.0,0.6666666666666666,1,object_01,5,153,0,6,8,forest_5,2,memory-2step-stake-s,497,936203,0.0-19.0-0.0-0.4,A25R6M1SRCDIYF,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,37WLF8U1WT6XPN75XB1PY4Z8TX5K6Q,4,3
5,4,object_05,object_08,734.0,7,1,672.0,1.0,1,object_01,1,162,0,9,9,restaurant_5,2,memory-2step-stake-s,498,945229,0.0-19.0-0.0-0.5,A25R6M1SRCDIYF,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,37WLF8U1WT6XPN75XB1PY4Z8TX5K6Q,7,8
6,1,object_06,object_03,793.0,1,2,658.0,0.7777777777777778,1,object_01,5,197,0,7,5,desert_4,2,memory-2step-stake-s,499,954033,0.0-19.0-0.0-0.6,A25R6M1SRCDIYF,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,37WLF8U1WT6XPN75XB1PY4Z8TX5K6Q,2,1
7,3,object_04,object_09,905.0,5,1,692.0,0.7777777777777778,1,object_01,1,204,0,7,0,library_2,2,memory-2step-stake-s,500,962843,0.0-19.0-0.0-0.7,A25R6M1SRCDIYF,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,37WLF8U1WT6XPN75XB1PY4Z8TX5K6Q,5,6
8,1,object_03,object_06,1246.0,1,1,557.0,0.8888888888888888,1,object_01,1,212,0,8,1,desert_3,2,memory-2step-stake-s,501,971673,0.0-19.0-0.0-0.8,A25R6M1SRCDIYF,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,37WLF8U1WT6XPN75XB1PY4Z8TX5K6Q,1,2
9,1,object_06,object_03,922.0,1,2,481.0,0.7777777777777778,1,object_01,5,247,0,7,1,desert_7,2,memory-2step-stake-s,502,980323,0.0-19.0-0.0-0.9,A25R6M1SRCDIYF,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,37WLF8U1WT6XPN75XB1PY4Z8TX5K6Q,2,1
10,4,object_08,object_05,1358.0,8,1,495.0,0.1111111111111111,2,object_02,1,248,0,5,1,restaurant_7,2,memory-2step-stake-s,503,988273,0.0-19.0-0.0-0.10,A25R6M1SRCDIYF,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,37WLF8U1WT6XPN75XB1PY4Z8TX5K6Q,8,7
11,3,object_09,object_04,871.0,5,2,517.0,0.4444444444444444,1,object_01,1,252,0,4,1,library_7,2,memory-2step-stake-s,504,996583,0.0-19.0-0.0-0.11,A25R6M1SRCDIYF,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,37WLF8U1WT6XPN75XB1PY4Z8TX5K6Q,6,5
12,4,object_05,object_08,1477.0,7,1,519.0,0.4444444444444444,1,object_01,1,256,0,4,2,restaurant_8,2,memory-2step-stake-s,505,1004864,0.0-19.0-0.0-0.12,A25R6M1SRCDIYF,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,37WLF8U1WT6XPN75XB1PY4Z8TX5K6Q,7,8
13,2,object_07,object_10,1106.0,3,2,370.0,0.4444444444444444,1,object_01,5,276,0,4,3,forest_5,2,memory-2step-stake-s,506,1012993,0.0-19.0-0.0-0.13,A25R6M1SRCDIYF,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,37WLF8U1WT6XPN75XB1PY4Z8TX5K6Q,4,3
