,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_01,object_02,941.10000002384,8,2,628.89999997616,0.1111111111111111,2,object_05,5,5,0,2,1,restaurant_6,1,memory-2step-stake-s,500,799427,0.0-19.0-0.0-0.0,A25W2HZYMZVCM1,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,30BXRYBRP8D4HCL3I8BWJ6ITPH0WH3,7,8
1,2,object_06,object_04,980.80000007153,3,1,1241.4000000954,0.2222222222222222,1,object_03,1,7,0,2,0,forest_7,1,memory-2step-stake-s,501,808138,0.0-19.0-0.0-0.1,A25W2HZYMZVCM1,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,30BXRYBRP8D4HCL3I8BWJ6ITPH0WH3,3,4
2,3,object_08,object_10,1090.2000000477,6,1,458.5,0.1111111111111111,2,object_05,5,12,0,1,1,library_1,1,memory-2step-stake-s,502,815966,0.0-19.0-0.0-0.2,A25W2HZYMZVCM1,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,30BXRYBRP8D4HCL3I8BWJ6ITPH0WH3,6,5
3,2,object_06,object_04,563.70000004768,4,2,662.10000002384,0.2222222222222222,2,object_05,1,14,0,3,2,forest_2,1,memory-2step-stake-s,503,824081,0.0-19.0-0.0-0.3,A25W2HZYMZVCM1,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,30BXRYBRP8D4HCL3I8BWJ6ITPH0WH3,3,4
4,2,object_04,object_06,958.0,4,1,456.89999997616,0.1111111111111111,2,object_05,1,15,0,1,1,forest_2,1,memory-2step-stake-s,504,831891,0.0-19.0-0.0-0.4,A25W2HZYMZVCM1,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,30BXRYBRP8D4HCL3I8BWJ6ITPH0WH3,4,3
5,2,object_04,object_06,1410.0,4,1,585.69999992847,0.0,2,object_05,1,15,0,6,0,forest_6,1,memory-2step-stake-s,505,839759,0.0-19.0-0.0-0.5,A25W2HZYMZVCM1,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,30BXRYBRP8D4HCL3I8BWJ6ITPH0WH3,4,3
6,3,object_08,object_10,1055.8999999762,6,1,580.19999992847,0.1111111111111111,2,object_05,5,20,0,6,1,library_1,1,memory-2step-stake-s,506,847706,0.0-19.0-0.0-0.6,A25W2HZYMZVCM1,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,30BXRYBRP8D4HCL3I8BWJ6ITPH0WH3,6,5
7,4,object_02,object_01,-1.0,-1,-1,-1.0,0.0,-,0,1,20,0,5,2,restaurant_6,1,memory-2step-stake-s,507,854237,0.0-19.0-0.0-0.7,A25W2HZYMZVCM1,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,30BXRYBRP8D4HCL3I8BWJ6ITPH0WH3,8,7
8,3,object_10,object_08,1152.7000000477,5,1,515.09999990463,0.2222222222222222,1,object_03,5,30,0,2,1,library_7,1,memory-2step-stake-s,508,862224,0.0-19.0-0.0-0.8,A25W2HZYMZVCM1,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,30BXRYBRP8D4HCL3I8BWJ6ITPH0WH3,5,6
9,3,object_08,object_10,848.29999995232,5,2,544.10000002384,0.4444444444444444,1,object_03,1,34,0,4,6,library_5,1,memory-2step-stake-s,509,870448,0.0-19.0-0.0-0.9,A25W2HZYMZVCM1,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,30BXRYBRP8D4HCL3I8BWJ6ITPH0WH3,6,5
