,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_07,object_10,-1.0,-1,-1,-1.0,0.0,-,0,5,0,0,2,2,forest_4,2,memory-2step-stake-s,494,3086597,0.0-19.0-0.0-0.0,A28U7B76HLCS1U,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3IXEICO796ZWS6XSRKFHZVM4CBDT6O,3,4
1,4,object_06,object_01,869.29999998212,8,2,-1.0,0.0,2,object_02,1,0,0,0,4,restaurant_3,2,memory-2step-stake-s,495,3095130,0.0-19.0-0.0-0.1,A28U7B76HLCS1U,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3IXEICO796ZWS6XSRKFHZVM4CBDT6O,7,8
2,1,object_09,object_03,732.30000001192,1,1,-1.0,0.0,1,object_04,1,0,0,0,6,desert_3,2,memory-2step-stake-s,496,3103644,0.0-19.0-0.0-0.2,A28U7B76HLCS1U,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3IXEICO796ZWS6XSRKFHZVM4CBDT6O,1,2
3,2,object_10,object_07,396.90000000596,3,2,405.90000000596,0.1111111111111111,1,object_04,5,5,0,1,3,forest_4,2,memory-2step-stake-s,497,3111391,0.0-19.0-0.0-0.3,A28U7B76HLCS1U,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3IXEICO796ZWS6XSRKFHZVM4CBDT6O,4,3
4,2,object_07,object_10,300.59999999404,3,1,648.59999999404,0.1111111111111111,1,object_04,5,10,0,1,6,forest_2,2,memory-2step-stake-s,498,3119357,0.0-19.0-0.0-0.4,A28U7B76HLCS1U,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3IXEICO796ZWS6XSRKFHZVM4CBDT6O,3,4
5,1,object_09,object_03,338.09999999404,2,2,452.59999999404,0.7777777777777778,2,object_02,5,45,0,1,7,desert_3,2,memory-2step-stake-s,499,3127748,0.0-19.0-0.0-0.5,A28U7B76HLCS1U,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3IXEICO796ZWS6XSRKFHZVM4CBDT6O,1,2
6,1,object_09,object_03,486.30000001192,2,2,473.59999999404,0.7777777777777778,2,object_02,5,80,0,2,7,desert_4,2,memory-2step-stake-s,500,3136161,0.0-19.0-0.0-0.6,A28U7B76HLCS1U,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3IXEICO796ZWS6XSRKFHZVM4CBDT6O,1,2
7,4,object_06,object_01,596.59999999404,8,2,358.5,0.5555555555555556,2,object_02,1,85,0,2,5,restaurant_3,2,memory-2step-stake-s,501,3144260,0.0-19.0-0.0-0.7,A28U7B76HLCS1U,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3IXEICO796ZWS6XSRKFHZVM4CBDT6O,7,8
8,4,object_01,object_06,297.59999999404,8,1,542.40000000596,0.3333333333333333,2,object_02,5,100,0,2,3,restaurant_6,2,memory-2step-stake-s,502,3152322,0.0-19.0-0.0-0.8,A28U7B76HLCS1U,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3IXEICO796ZWS6XSRKFHZVM4CBDT6O,8,7
9,1,object_03,object_09,646.5,2,1,329.20000001788,0.3333333333333333,2,object_02,5,115,0,0,3,desert_6,2,memory-2step-stake-s,503,3160177,0.0-19.0-0.0-0.9,A28U7B76HLCS1U,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3IXEICO796ZWS6XSRKFHZVM4CBDT6O,2,1
