,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_07,object_06,1348.6999998093,8,1,-1.0,0.0,2,object_02,1,0,0,2,1,restaurant_6,2,memory-2step-stake-s,492,824877,0.0-19.0-0.0-0.0,A2BPXWBO2OSJRP,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,31IBVUNM9WF7ORUSX8I0UJN22VKFVH,8,7
1,4,object_06,object_07,483.90000009537,8,2,475.0,0.2222222222222222,2,object_02,1,2,0,1,2,restaurant_6,2,memory-2step-stake-s,493,832802,0.0-19.0-0.0-0.1,A2BPXWBO2OSJRP,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,31IBVUNM9WF7ORUSX8I0UJN22VKFVH,7,8
2,3,object_03,object_10,938.40000009537,6,1,686.2999997139,0.1111111111111111,2,object_02,1,3,0,1,1,library_5,2,memory-2step-stake-s,494,840831,0.0-19.0-0.0-0.2,A2BPXWBO2OSJRP,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,31IBVUNM9WF7ORUSX8I0UJN22VKFVH,6,5
3,4,object_07,object_06,704.89999961853,7,2,1088.5,0.2222222222222222,1,object_01,1,5,0,2,1,restaurant_5,2,memory-2step-stake-s,495,849369,0.0-19.0-0.0-0.3,A2BPXWBO2OSJRP,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,31IBVUNM9WF7ORUSX8I0UJN22VKFVH,8,7
4,2,object_05,object_04,869.7999997139,4,1,765.90000009537,0.3333333333333333,2,object_02,1,8,0,5,3,forest_6,2,memory-2step-stake-s,496,857688,0.0-19.0-0.0-0.4,A2BPXWBO2OSJRP,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,31IBVUNM9WF7ORUSX8I0UJN22VKFVH,4,3
5,4,object_06,object_07,997.89999961853,7,1,434.60000038147,0.2222222222222222,1,object_01,1,10,0,2,2,restaurant_5,2,memory-2step-stake-s,497,865574,0.0-19.0-0.0-0.5,A2BPXWBO2OSJRP,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,31IBVUNM9WF7ORUSX8I0UJN22VKFVH,7,8
6,1,object_08,object_09,886.40000009537,2,2,674.40000009537,0.1111111111111111,2,object_02,1,11,0,5,1,desert_6,2,memory-2step-stake-s,498,873594,0.0-19.0-0.0-0.6,A2BPXWBO2OSJRP,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,31IBVUNM9WF7ORUSX8I0UJN22VKFVH,1,2
7,2,object_04,object_05,844.90000009537,3,1,624.5,0.6666666666666666,1,object_01,5,41,0,6,3,forest_4,2,memory-2step-stake-s,499,882087,0.0-19.0-0.0-0.7,A2BPXWBO2OSJRP,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,31IBVUNM9WF7ORUSX8I0UJN22VKFVH,3,4
8,3,object_10,object_03,978.59999990463,5,1,503.59999990463,0.7777777777777778,1,object_01,5,76,0,7,2,library_5,2,memory-2step-stake-s,500,890568,0.0-19.0-0.0-0.8,A2BPXWBO2OSJRP,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,31IBVUNM9WF7ORUSX8I0UJN22VKFVH,5,6
9,1,object_09,object_08,977.5,1,2,421.80000019073,0.5555555555555556,1,object_01,5,101,0,5,4,desert_8,2,memory-2step-stake-s,501,898754,0.0-19.0-0.0-0.9,A2BPXWBO2OSJRP,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,31IBVUNM9WF7ORUSX8I0UJN22VKFVH,2,1
