,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_09,object_06,742.10000002384,1,1,-1.0,0.0,1,object_03,5,0,0,3,6,desert_8,2,memory-2step-stake-s,529,948477,0.0-19.0-0.0-0.0,A2DLYBXZNSSJ4S,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3Z3ZLGNNSMAK37IIRENONNZXIBY3QW,1,2
1,1,object_09,object_06,1176.7999999523,1,1,-1.0,0.0,1,object_03,1,0,0,5,8,desert_7,2,memory-2step-stake-s,530,957014,0.0-19.0-0.0-0.1,A2DLYBXZNSSJ4S,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3Z3ZLGNNSMAK37IIRENONNZXIBY3QW,1,2
2,1,object_09,object_06,-1.0,-1,-1,-1.0,0.0,-,0,5,0,0,2,7,desert_7,2,memory-2step-stake-s,531,963571,0.0-19.0-0.0-0.2,A2DLYBXZNSSJ4S,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3Z3ZLGNNSMAK37IIRENONNZXIBY3QW,1,2
3,4,object_08,object_07,133.69999992847,7,2,54.5,0.3333333333333333,1,object_03,1,3,0,3,6,restaurant_2,2,memory-2step-stake-s,532,971226,0.0-19.0-0.0-0.3,A2DLYBXZNSSJ4S,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3Z3ZLGNNSMAK37IIRENONNZXIBY3QW,8,7
4,1,object_06,object_09,126.0,1,2,-1.0,0.0,1,object_03,5,3,0,0,7,desert_4,2,memory-2step-stake-s,533,979778,0.0-19.0-0.0-0.4,A2DLYBXZNSSJ4S,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3Z3ZLGNNSMAK37IIRENONNZXIBY3QW,2,1
5,1,object_09,object_06,64.299999952316,1,1,-1.0,0.0,1,object_03,1,3,0,0,4,desert_7,2,memory-2step-stake-s,534,988331,0.0-19.0-0.0-0.5,A2DLYBXZNSSJ4S,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3Z3ZLGNNSMAK37IIRENONNZXIBY3QW,1,2
6,3,object_02,object_10,47.399999976158,5,2,-1.0,0.0,1,object_03,1,3,0,3,4,library_7,2,memory-2step-stake-s,535,996899,0.0-19.0-0.0-0.6,A2DLYBXZNSSJ4S,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3Z3ZLGNNSMAK37IIRENONNZXIBY3QW,6,5
7,2,object_05,object_01,166.79999995232,4,1,-1.0,0.0,2,object_04,5,3,0,1,4,forest_8,2,memory-2step-stake-s,536,1005494,0.0-19.0-0.0-0.7,A2DLYBXZNSSJ4S,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3Z3ZLGNNSMAK37IIRENONNZXIBY3QW,4,3
8,1,object_06,object_09,-1.0,-1,-1,-1.0,0.0,-,0,5,3,0,2,5,desert_7,2,memory-2step-stake-s,537,1012040,0.0-19.0-0.0-0.8,A2DLYBXZNSSJ4S,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3Z3ZLGNNSMAK37IIRENONNZXIBY3QW,2,1
9,3,object_10,object_02,86.899999976158,5,1,-1.0,0.0,1,object_03,1,3,0,3,1,library_7,2,memory-2step-stake-s,538,1020608,0.0-19.0-0.0-0.9,A2DLYBXZNSSJ4S,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3Z3ZLGNNSMAK37IIRENONNZXIBY3QW,5,6
