,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_09,object_06,417.00000001583,3,1,-1.0,0.0,1,object_02,1,0,0,6,0,forest_5,1,memory-2step-stake-s,540,3068628,0.0-19.0-0.0-0.0,A2EGOCAO0VL2S8,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3R08VXYT7GB7ONFR5ZPKSTTZBEDW7A,3,4
1,1,object_01,object_04,716.0000000149,2,1,809.99999993946,0.1111111111111111,2,object_07,1,1,0,2,1,desert_6,1,memory-2step-stake-s,541,3076746,0.0-19.0-0.0-0.1,A2EGOCAO0VL2S8,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3R08VXYT7GB7ONFR5ZPKSTTZBEDW7A,2,1
2,2,object_09,object_06,677.00000002515,4,2,511.99999998789,0.2222222222222222,2,object_07,1,3,0,1,2,forest_4,1,memory-2step-stake-s,542,3084702,0.0-19.0-0.0-0.2,A2EGOCAO0VL2S8,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3R08VXYT7GB7ONFR5ZPKSTTZBEDW7A,3,4
3,3,object_03,object_05,560.00000005588,5,1,28.999999980442,0.1111111111111111,1,object_02,1,4,0,1,0,library_5,1,memory-2step-stake-s,543,3092041,0.0-19.0-0.0-0.3,A2EGOCAO0VL2S8,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3R08VXYT7GB7ONFR5ZPKSTTZBEDW7A,5,6
4,4,object_10,object_08,709.99999996275,7,1,817.9999999702,0.3333333333333333,1,object_02,1,7,0,3,0,restaurant_2,1,memory-2step-stake-s,544,3100372,0.0-19.0-0.0-0.4,A2EGOCAO0VL2S8,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3R08VXYT7GB7ONFR5ZPKSTTZBEDW7A,7,8
5,3,object_03,object_05,815.00000006054,5,1,786.00000008009,0.4444444444444444,1,object_02,5,27,0,4,2,library_7,1,memory-2step-stake-s,545,3108773,0.0-19.0-0.0-0.5,A2EGOCAO0VL2S8,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3R08VXYT7GB7ONFR5ZPKSTTZBEDW7A,5,6
6,4,object_10,object_08,77.999999979511,7,1,1266.9999999925,0.5555555555555556,1,object_02,5,52,0,5,3,restaurant_3,1,memory-2step-stake-s,546,3117759,0.0-19.0-0.0-0.6,A2EGOCAO0VL2S8,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3R08VXYT7GB7ONFR5ZPKSTTZBEDW7A,7,8
7,1,object_04,object_01,7.9999999143183,1,1,564.99999994412,0.5555555555555556,1,object_02,1,57,0,5,3,desert_2,1,memory-2step-stake-s,547,3126068,0.0-19.0-0.0-0.7,A2EGOCAO0VL2S8,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3R08VXYT7GB7ONFR5ZPKSTTZBEDW7A,1,2
8,2,object_09,object_06,864.99999999069,3,1,859.99999998603,0.1111111111111111,1,object_02,5,62,0,1,6,forest_3,1,memory-2step-stake-s,548,3134238,0.0-19.0-0.0-0.8,A2EGOCAO0VL2S8,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3R08VXYT7GB7ONFR5ZPKSTTZBEDW7A,3,4
9,3,object_05,object_03,382.99999991432,6,1,788.00000005867,0.8888888888888888,2,object_07,5,102,0,2,8,library_7,1,memory-2step-stake-s,549,3143048,0.0-19.0-0.0-0.9,A2EGOCAO0VL2S8,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3R08VXYT7GB7ONFR5ZPKSTTZBEDW7A,6,5
10,3,object_03,object_05,253.99999995716,6,2,266.99999999255,1.0,2,object_07,5,147,0,3,9,library_7,1,memory-2step-stake-s,550,3151444,0.0-19.0-0.0-0.10,A2EGOCAO0VL2S8,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3R08VXYT7GB7ONFR5ZPKSTTZBEDW7A,5,6
11,2,object_09,object_06,219.00000004098,3,1,680.9999999823,0.2222222222222222,1,object_02,5,157,0,2,7,forest_5,1,memory-2step-stake-s,551,3159533,0.0-19.0-0.0-0.11,A2EGOCAO0VL2S8,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3R08VXYT7GB7ONFR5ZPKSTTZBEDW7A,3,4
12,4,object_10,object_08,682.0000000298,8,2,724.99999997672,0.8888888888888888,2,object_07,1,165,0,4,8,restaurant_2,1,memory-2step-stake-s,552,3168274,0.0-19.0-0.0-0.12,A2EGOCAO0VL2S8,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3R08VXYT7GB7ONFR5ZPKSTTZBEDW7A,7,8
13,4,object_08,object_10,594.99999997206,8,1,94.99999997206,0.8888888888888888,2,object_07,5,205,0,5,8,restaurant_1,1,memory-2step-stake-s,553,3176385,0.0-19.0-0.0-0.13,A2EGOCAO0VL2S8,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3R08VXYT7GB7ONFR5ZPKSTTZBEDW7A,8,7
14,1,object_04,object_01,711.00000001024,1,1,882.00000009965,0.3333333333333333,1,object_02,1,208,0,3,6,desert_5,1,memory-2step-stake-s,554,3184778,0.0-19.0-0.0-0.14,A2EGOCAO0VL2S8,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3R08VXYT7GB7ONFR5ZPKSTTZBEDW7A,1,2
15,3,object_05,object_03,594.99999997206,5,2,192.00000003912,0.1111111111111111,1,object_02,5,213,0,1,7,library_5,1,memory-2step-stake-s,555,3192281,0.0-19.0-0.0-0.15,A2EGOCAO0VL2S8,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3R08VXYT7GB7ONFR5ZPKSTTZBEDW7A,6,5
