,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_03,object_08,992.29999999702,1,1,892.09999999404,0.1111111111111111,1,object_07,1,1,0,1,3,desert_8,1,memory-2step-stake-s,495,773771,0.0-19.0-0.0-0.0,A2FYFCD16Z3PCC,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3OS46CRSLJFB5Y1HWFFW0DAP9WGV6T,1,2
1,3,object_06,object_01,592.90000000596,5,1,753.70000000298,0.0,1,object_07,5,1,0,0,3,library_5,1,memory-2step-stake-s,496,781741,0.0-19.0-0.0-0.1,A2FYFCD16Z3PCC,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3OS46CRSLJFB5Y1HWFFW0DAP9WGV6T,5,6
2,2,object_10,object_04,832.59999999404,3,2,618.79999999702,0.1111111111111111,1,object_07,1,2,0,1,6,forest_3,1,memory-2step-stake-s,497,789674,0.0-19.0-0.0-0.2,A2FYFCD16Z3PCC,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3OS46CRSLJFB5Y1HWFFW0DAP9WGV6T,4,3
3,4,object_02,object_09,986.0,8,2,460.10000000894,0.6666666666666666,2,object_05,5,32,0,0,6,restaurant_7,1,memory-2step-stake-s,498,797959,0.0-19.0-0.0-0.3,A2FYFCD16Z3PCC,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3OS46CRSLJFB5Y1HWFFW0DAP9WGV6T,7,8
4,4,object_09,object_02,821.29999999702,8,1,456.60000000894,0.5555555555555556,2,object_05,5,57,0,0,5,restaurant_8,1,memory-2step-stake-s,499,806161,0.0-19.0-0.0-0.4,A2FYFCD16Z3PCC,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3OS46CRSLJFB5Y1HWFFW0DAP9WGV6T,8,7
5,1,object_08,object_03,962.90000000596,2,1,718.09999999404,0.7777777777777778,2,object_05,5,92,0,3,7,desert_6,1,memory-2step-stake-s,500,814828,0.0-19.0-0.0-0.5,A2FYFCD16Z3PCC,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3OS46CRSLJFB5Y1HWFFW0DAP9WGV6T,2,1
6,4,object_09,object_02,826.0,8,1,349.60000000894,1.0,2,object_05,5,137,0,3,9,restaurant_5,1,memory-2step-stake-s,501,823315,0.0-19.0-0.0-0.6,A2FYFCD16Z3PCC,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3OS46CRSLJFB5Y1HWFFW0DAP9WGV6T,8,7
7,2,object_10,object_04,956.39999999106,3,2,320.09999999404,0.2222222222222222,1,object_07,5,147,0,2,8,forest_7,1,memory-2step-stake-s,502,831047,0.0-19.0-0.0-0.7,A2FYFCD16Z3PCC,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3OS46CRSLJFB5Y1HWFFW0DAP9WGV6T,4,3
8,1,object_08,object_03,784.20000000298,1,2,579.70000000298,0.0,1,object_07,1,147,0,0,5,desert_6,1,memory-2step-stake-s,503,838837,0.0-19.0-0.0-0.8,A2FYFCD16Z3PCC,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3OS46CRSLJFB5Y1HWFFW0DAP9WGV6T,2,1
9,2,object_04,object_10,1051.0,3,1,404.5,0.3333333333333333,1,object_07,1,150,0,3,3,forest_7,1,memory-2step-stake-s,504,846757,0.0-19.0-0.0-0.9,A2FYFCD16Z3PCC,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3OS46CRSLJFB5Y1HWFFW0DAP9WGV6T,3,4
