,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_04,object_07,769.60000002384,7,1,770.90000000596,0.1111111111111111,1,object_09,5,5,0,1,5,restaurant_7,1,memory-2step-stake-s,497,1880044,0.0-19.0-0.0-0.0,A2GXE6MIDN8DPR,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3IRIK4HM3E0F6PVH5YKRALM0ONXC64,7,8
1,4,object_04,object_07,1022.400000006,7,1,764.10000002384,0.0,1,object_09,1,5,0,0,6,restaurant_7,1,memory-2step-stake-s,498,1888085,0.0-19.0-0.0-0.1,A2GXE6MIDN8DPR,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3IRIK4HM3E0F6PVH5YKRALM0ONXC64,7,8
2,3,object_02,object_08,901.80000001192,5,1,814.0,0.5555555555555556,1,object_09,5,30,0,5,6,library_5,1,memory-2step-stake-s,499,1896682,0.0-19.0-0.0-0.2,A2GXE6MIDN8DPR,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3IRIK4HM3E0F6PVH5YKRALM0ONXC64,5,6
3,4,object_07,object_04,1156.7000000179,7,2,908.0,0.3333333333333333,1,object_09,5,45,0,3,6,restaurant_2,1,memory-2step-stake-s,500,1905167,0.0-19.0-0.0-0.3,A2GXE6MIDN8DPR,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3IRIK4HM3E0F6PVH5YKRALM0ONXC64,8,7
4,1,object_06,object_05,1227.2000000179,2,2,1247.099999994,0.4444444444444444,2,object_01,1,49,0,4,4,desert_8,1,memory-2step-stake-s,501,1914110,0.0-19.0-0.0-0.4,A2GXE6MIDN8DPR,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3IRIK4HM3E0F6PVH5YKRALM0ONXC64,1,2
5,3,object_08,object_02,1213.8000000119,5,2,552.5,0.8888888888888888,1,object_09,5,89,0,8,1,library_4,1,memory-2step-stake-s,502,1922762,0.0-19.0-0.0-0.5,A2GXE6MIDN8DPR,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3IRIK4HM3E0F6PVH5YKRALM0ONXC64,6,5
6,3,object_08,object_02,844.59999999404,5,2,603.40000000596,0.6666666666666666,1,object_09,5,119,0,6,2,library_4,1,memory-2step-stake-s,503,1931261,0.0-19.0-0.0-0.6,A2GXE6MIDN8DPR,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3IRIK4HM3E0F6PVH5YKRALM0ONXC64,6,5
7,1,object_06,object_05,1081.3000000119,1,1,564.30000001192,0.3333333333333333,1,object_09,1,122,0,3,3,desert_8,1,memory-2step-stake-s,504,1939371,0.0-19.0-0.0-0.7,A2GXE6MIDN8DPR,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3IRIK4HM3E0F6PVH5YKRALM0ONXC64,1,2
8,2,object_10,object_03,1125.6000000238,3,1,597.09999999404,0.1111111111111111,1,object_09,1,123,0,1,0,forest_2,1,memory-2step-stake-s,505,1947332,0.0-19.0-0.0-0.8,A2GXE6MIDN8DPR,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3IRIK4HM3E0F6PVH5YKRALM0ONXC64,3,4
9,3,object_02,object_08,1119.6999999881,5,1,27.59999999404,0.1111111111111111,1,object_09,5,128,0,1,0,library_4,1,memory-2step-stake-s,506,1954721,0.0-19.0-0.0-0.9,A2GXE6MIDN8DPR,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3IRIK4HM3E0F6PVH5YKRALM0ONXC64,5,6
10,4,object_07,object_04,1304.2999999821,8,1,562.90000000596,0.2222222222222222,2,object_01,1,130,0,3,2,restaurant_3,1,memory-2step-stake-s,507,1962756,0.0-19.0-0.0-0.10,A2GXE6MIDN8DPR,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3IRIK4HM3E0F6PVH5YKRALM0ONXC64,8,7
11,1,object_05,object_06,592.0,2,1,812.09999999404,0.3333333333333333,2,object_01,1,133,0,4,3,desert_6,1,memory-2step-stake-s,508,1971156,0.0-19.0-0.0-0.11,A2GXE6MIDN8DPR,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3IRIK4HM3E0F6PVH5YKRALM0ONXC64,2,1
12,3,object_08,object_02,758.80000001192,6,1,-1.0,0.0,2,object_01,5,133,0,5,0,library_5,1,memory-2step-stake-s,509,1979731,0.0-19.0-0.0-0.12,A2GXE6MIDN8DPR,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3IRIK4HM3E0F6PVH5YKRALM0ONXC64,6,5
13,4,object_07,object_04,980.90000000596,7,2,-1.0,0.0,1,object_09,5,133,0,5,2,restaurant_8,1,memory-2step-stake-s,510,1988312,0.0-19.0-0.0-0.13,A2GXE6MIDN8DPR,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3IRIK4HM3E0F6PVH5YKRALM0ONXC64,8,7
14,3,object_02,object_08,684.0,5,1,-1.0,0.0,1,object_09,5,133,0,6,3,library_4,1,memory-2step-stake-s,511,1996864,0.0-19.0-0.0-0.14,A2GXE6MIDN8DPR,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3IRIK4HM3E0F6PVH5YKRALM0ONXC64,5,6
