,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_07,object_03,1183.9150000005,1,2,996.74499999941,0.3333333333333333,1,object_08,5,15,0,3,1,desert_6,2,memory-2step-stake-s,499,978879,0.0-19.0-0.0-0.0,A2H2DJL45BZBD,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,31HQ4X3T3WQDWRNKPOGTE98F0LXSLB,2,1
1,2,object_09,object_02,1119.3050000002,4,2,380.97999999998,0.3333333333333333,2,object_05,1,18,0,3,3,forest_2,2,memory-2step-stake-s,500,986767,0.0-19.0-0.0-0.1,A2H2DJL45BZBD,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,31HQ4X3T3WQDWRNKPOGTE98F0LXSLB,3,4
2,2,object_09,object_02,1007.6899999994,3,1,605.15000000026,0.5555555555555556,1,object_08,1,23,0,5,4,forest_6,2,memory-2step-stake-s,501,995079,0.0-19.0-0.0-0.2,A2H2DJL45BZBD,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,31HQ4X3T3WQDWRNKPOGTE98F0LXSLB,3,4
3,2,object_09,object_02,663.13999999966,3,1,428.94500000053,0.7777777777777778,1,object_08,1,30,0,7,5,forest_8,2,memory-2step-stake-s,502,1003415,0.0-19.0-0.0-0.3,A2H2DJL45BZBD,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,31HQ4X3T3WQDWRNKPOGTE98F0LXSLB,3,4
4,1,object_07,object_03,991.36999999965,1,2,461.1750000004,0.7777777777777778,1,object_08,5,65,0,7,5,desert_2,2,memory-2step-stake-s,503,1011783,0.0-19.0-0.0-0.4,A2H2DJL45BZBD,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,31HQ4X3T3WQDWRNKPOGTE98F0LXSLB,2,1
5,2,object_02,object_09,839.43999999971,3,2,540.78000000026,0.8888888888888888,1,object_08,5,105,0,8,4,forest_2,2,memory-2step-stake-s,504,1020332,0.0-19.0-0.0-0.5,A2H2DJL45BZBD,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,31HQ4X3T3WQDWRNKPOGTE98F0LXSLB,4,3
6,2,object_09,object_02,1018.2150000001,3,1,760.15000000014,0.5555555555555556,1,object_08,5,130,0,5,1,forest_6,2,memory-2step-stake-s,505,1028799,0.0-19.0-0.0-0.6,A2H2DJL45BZBD,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,31HQ4X3T3WQDWRNKPOGTE98F0LXSLB,3,4
7,3,object_06,object_01,1007.0549999999,6,1,549.18999999971,0.1111111111111111,2,object_05,1,131,0,7,1,library_8,2,memory-2step-stake-s,506,1036654,0.0-19.0-0.0-0.7,A2H2DJL45BZBD,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,31HQ4X3T3WQDWRNKPOGTE98F0LXSLB,6,5
8,1,object_07,object_03,-1.0,-1,-1,-1.0,0.0,-,0,5,131,0,6,1,desert_1,2,memory-2step-stake-s,507,1043157,0.0-19.0-0.0-0.8,A2H2DJL45BZBD,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,31HQ4X3T3WQDWRNKPOGTE98F0LXSLB,2,1
9,3,object_06,object_01,753.75499999977,5,2,391.11500000034,0.1111111111111111,1,object_08,1,132,0,1,1,library_8,2,memory-2step-stake-s,508,1050854,0.0-19.0-0.0-0.9,A2H2DJL45BZBD,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,31HQ4X3T3WQDWRNKPOGTE98F0LXSLB,6,5
10,4,object_10,object_04,1041.0250000004,8,2,686.74499999988,0.1111111111111111,2,object_05,5,137,0,0,1,restaurant_5,2,memory-2step-stake-s,509,1058846,0.0-19.0-0.0-0.10,A2H2DJL45BZBD,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,31HQ4X3T3WQDWRNKPOGTE98F0LXSLB,7,8
11,4,object_04,object_10,1304.8300000001,8,1,942.12999999942,0.1111111111111111,2,object_05,1,138,0,1,1,restaurant_6,2,memory-2step-stake-s,510,1067094,0.0-19.0-0.0-0.11,A2H2DJL45BZBD,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,31HQ4X3T3WQDWRNKPOGTE98F0LXSLB,8,7
