,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_02,object_03,826.50000008289,3,2,1403.1350000296,0.2222222222222222,1,object_08,1,2,0,2,8,forest_8,2,memory-2step-stake-s,493,816972,0.0-19.0-0.0-0.0,A2HRUFTA09371Y,3SD15I2WE5AO7614M34OSYMJOYM362,3BQU611VFT00QAQCRLDCS5CU837990,4,3
1,1,object_01,object_05,650.29999997932,2,1,709.74500000011,0.7777777777777778,2,object_06,1,9,0,1,7,desert_7,2,memory-2step-stake-s,494,825612,0.0-19.0-0.0-0.1,A2HRUFTA09371Y,3SD15I2WE5AO7614M34OSYMJOYM362,3BQU611VFT00QAQCRLDCS5CU837990,2,1
2,2,object_03,object_02,855.41499999817,3,1,592.7049999591,0.3333333333333333,1,object_08,1,12,0,3,6,forest_8,2,memory-2step-stake-s,495,833727,0.0-19.0-0.0-0.2,A2HRUFTA09371Y,3SD15I2WE5AO7614M34OSYMJOYM362,3BQU611VFT00QAQCRLDCS5CU837990,3,4
3,2,object_02,object_03,862.90000006557,4,1,476.45499999635,0.6666666666666666,2,object_06,5,42,0,4,6,forest_5,2,memory-2step-stake-s,496,842045,0.0-19.0-0.0-0.3,A2HRUFTA09371Y,3SD15I2WE5AO7614M34OSYMJOYM362,3BQU611VFT00QAQCRLDCS5CU837990,4,3
4,3,object_04,object_09,800.13500002678,5,2,371.09000002965,0.5555555555555556,1,object_08,5,67,0,5,8,library_8,2,memory-2step-stake-s,497,850139,0.0-19.0-0.0-0.4,A2HRUFTA09371Y,3SD15I2WE5AO7614M34OSYMJOYM362,3BQU611VFT00QAQCRLDCS5CU837990,6,5
5,2,object_02,object_03,695.65000000875,3,2,465.51999996882,0.3333333333333333,1,object_08,5,82,0,3,7,forest_1,2,memory-2step-stake-s,498,858125,0.0-19.0-0.0-0.5,A2HRUFTA09371Y,3SD15I2WE5AO7614M34OSYMJOYM362,3BQU611VFT00QAQCRLDCS5CU837990,4,3
6,4,object_07,object_10,618.73999994714,8,1,388.64000001922,1.0,2,object_06,5,127,0,0,9,restaurant_4,2,memory-2step-stake-s,499,866651,0.0-19.0-0.0-0.6,A2HRUFTA09371Y,3SD15I2WE5AO7614M34OSYMJOYM362,3BQU611VFT00QAQCRLDCS5CU837990,8,7
7,3,object_04,object_09,307.31499998365,5,2,316.70500000473,0.0,1,object_08,5,127,0,0,9,library_5,2,memory-2step-stake-s,500,874184,0.0-19.0-0.0-0.7,A2HRUFTA09371Y,3SD15I2WE5AO7614M34OSYMJOYM362,3BQU611VFT00QAQCRLDCS5CU837990,6,5
8,4,object_07,object_10,733.63499995321,7,2,703.3400000073,0.4444444444444444,1,object_08,5,147,0,4,7,restaurant_1,2,memory-2step-stake-s,501,882513,0.0-19.0-0.0-0.8,A2HRUFTA09371Y,3SD15I2WE5AO7614M34OSYMJOYM362,3BQU611VFT00QAQCRLDCS5CU837990,8,7
9,4,object_10,object_07,459.12499993574,7,1,562.30999995023,0.3333333333333333,1,object_08,1,150,0,3,3,restaurant_1,2,memory-2step-stake-s,502,890598,0.0-19.0-0.0-0.9,A2HRUFTA09371Y,3SD15I2WE5AO7614M34OSYMJOYM362,3BQU611VFT00QAQCRLDCS5CU837990,7,8
