,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_08,object_03,1130.5,2,1,803.5,0.7777777777777778,2,object_09,1,7,0,1,7,desert_5,2,memory-2step-stake-s,489,1067242,0.0-19.0-0.0-0.0,A2JXPT39AWRES7,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3WQ3B2KGECW1PY2ELSCF45P1YRK1BR,2,1
1,1,object_08,object_03,813.29999995232,2,1,501.60000002384,0.8888888888888888,2,object_09,5,47,0,0,8,desert_3,2,memory-2step-stake-s,490,1075825,0.0-19.0-0.0-0.1,A2JXPT39AWRES7,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3WQ3B2KGECW1PY2ELSCF45P1YRK1BR,2,1
2,3,object_10,object_02,740.39999997616,5,2,888.90000009537,0.2222222222222222,1,object_06,1,49,0,2,7,library_4,2,memory-2step-stake-s,491,1084157,0.0-19.0-0.0-0.2,A2JXPT39AWRES7,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3WQ3B2KGECW1PY2ELSCF45P1YRK1BR,6,5
3,3,object_10,object_02,-1.0,-1,-1,-1.0,0.0,-,0,5,49,0,4,6,library_3,2,memory-2step-stake-s,492,1090700,0.0-19.0-0.0-0.3,A2JXPT39AWRES7,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3WQ3B2KGECW1PY2ELSCF45P1YRK1BR,6,5
4,4,object_04,object_05,1013.4000000954,7,1,456.39999997616,0.1111111111111111,1,object_06,1,50,0,1,8,restaurant_3,2,memory-2step-stake-s,493,1098518,0.0-19.0-0.0-0.4,A2JXPT39AWRES7,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3WQ3B2KGECW1PY2ELSCF45P1YRK1BR,7,8
5,3,object_02,object_10,608.30000007153,5,1,375.89999997616,0.1111111111111111,1,object_06,1,51,0,1,9,library_3,2,memory-2step-stake-s,494,1106252,0.0-19.0-0.0-0.5,A2JXPT39AWRES7,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3WQ3B2KGECW1PY2ELSCF45P1YRK1BR,5,6
6,4,object_04,object_05,500.30000007153,7,1,461.10000002384,0.1111111111111111,1,object_06,1,52,0,1,8,restaurant_2,2,memory-2step-stake-s,495,1114065,0.0-19.0-0.0-0.6,A2JXPT39AWRES7,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3WQ3B2KGECW1PY2ELSCF45P1YRK1BR,7,8
7,1,object_03,object_08,451.0,2,2,374.0,0.7777777777777778,2,object_09,1,59,0,3,7,desert_8,2,memory-2step-stake-s,496,1122411,0.0-19.0-0.0-0.7,A2JXPT39AWRES7,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3WQ3B2KGECW1PY2ELSCF45P1YRK1BR,1,2
8,1,object_03,object_08,764.30000007153,2,2,470.89999997616,0.8888888888888888,2,object_09,5,99,0,5,8,desert_8,2,memory-2step-stake-s,497,1130945,0.0-19.0-0.0-0.8,A2JXPT39AWRES7,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3WQ3B2KGECW1PY2ELSCF45P1YRK1BR,1,2
9,3,object_02,object_10,618.20000004768,5,1,427.5,0.3333333333333333,1,object_06,1,102,0,3,4,library_6,2,memory-2step-stake-s,498,1138947,0.0-19.0-0.0-0.9,A2JXPT39AWRES7,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3WQ3B2KGECW1PY2ELSCF45P1YRK1BR,5,6
