,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,3,object_08,object_03,1108.0,5,2,-1.0,0.0,1,object_09,1,0,0,2,5,library_6,2,memory-2step-stake-s,497,919044,0.0-19.0-0.0-0.0,A2KQ1VCW1B8QJP,3SD15I2WE5AO7614M34OSYMJOYM362,3PJUZCGDJAW0C572MT7YS9HJOXM988,6,5
1,1,object_02,object_05,601.0,2,1,347.0,0.6666666666666666,2,object_01,1,6,0,1,6,desert_5,2,memory-2step-stake-s,498,927378,0.0-19.0-0.0-0.1,A2KQ1VCW1B8QJP,3SD15I2WE5AO7614M34OSYMJOYM362,3PJUZCGDJAW0C572MT7YS9HJOXM988,2,1
2,1,object_05,object_02,702.0,1,1,812.0,0.3333333333333333,1,object_09,5,21,0,3,6,desert_8,2,memory-2step-stake-s,499,935798,0.0-19.0-0.0-0.2,A2KQ1VCW1B8QJP,3SD15I2WE5AO7614M34OSYMJOYM362,3PJUZCGDJAW0C572MT7YS9HJOXM988,1,2
3,1,object_05,object_02,652.0,1,1,657.0,0.3333333333333333,1,object_09,5,36,0,3,7,desert_4,2,memory-2step-stake-s,500,944058,0.0-19.0-0.0-0.3,A2KQ1VCW1B8QJP,3SD15I2WE5AO7614M34OSYMJOYM362,3PJUZCGDJAW0C572MT7YS9HJOXM988,1,2
4,3,object_03,object_08,722.0,5,1,-1.0,0.0,1,object_09,1,36,0,4,3,library_1,2,memory-2step-stake-s,501,952678,0.0-19.0-0.0-0.4,A2KQ1VCW1B8QJP,3SD15I2WE5AO7614M34OSYMJOYM362,3PJUZCGDJAW0C572MT7YS9HJOXM988,5,6
5,2,object_06,object_10,761.0,4,2,619.0,0.6666666666666666,2,object_01,1,42,0,2,6,forest_2,2,memory-2step-stake-s,502,961258,0.0-19.0-0.0-0.5,A2KQ1VCW1B8QJP,3SD15I2WE5AO7614M34OSYMJOYM362,3PJUZCGDJAW0C572MT7YS9HJOXM988,3,4
6,1,object_05,object_02,756.0,2,2,704.0,0.7777777777777778,2,object_01,5,77,0,2,7,desert_8,2,memory-2step-stake-s,503,970019,0.0-19.0-0.0-0.6,A2KQ1VCW1B8QJP,3SD15I2WE5AO7614M34OSYMJOYM362,3PJUZCGDJAW0C572MT7YS9HJOXM988,1,2
7,1,object_02,object_05,488.0,2,1,470.0,0.7777777777777778,2,object_01,5,112,0,1,7,desert_8,2,memory-2step-stake-s,504,978538,0.0-19.0-0.0-0.7,A2KQ1VCW1B8QJP,3SD15I2WE5AO7614M34OSYMJOYM362,3PJUZCGDJAW0C572MT7YS9HJOXM988,2,1
8,1,object_02,object_05,603.0,2,1,400.0,0.6666666666666666,2,object_01,5,142,0,1,6,desert_4,2,memory-2step-stake-s,505,986898,0.0-19.0-0.0-0.8,A2KQ1VCW1B8QJP,3SD15I2WE5AO7614M34OSYMJOYM362,3PJUZCGDJAW0C572MT7YS9HJOXM988,2,1
9,2,object_06,object_10,611.0,3,1,585.0,0.2222222222222222,1,object_09,5,152,0,2,8,forest_2,2,memory-2step-stake-s,506,994978,0.0-19.0-0.0-0.9,A2KQ1VCW1B8QJP,3SD15I2WE5AO7614M34OSYMJOYM362,3PJUZCGDJAW0C572MT7YS9HJOXM988,3,4
10,3,object_08,object_03,553.0,5,2,662.0,0.1111111111111111,1,object_09,1,153,0,1,7,library_6,2,memory-2step-stake-s,507,1003055,0.0-19.0-0.0-0.10,A2KQ1VCW1B8QJP,3SD15I2WE5AO7614M34OSYMJOYM362,3PJUZCGDJAW0C572MT7YS9HJOXM988,6,5
11,2,object_06,object_10,701.0,4,2,489.0,0.8888888888888888,2,object_01,5,193,0,2,8,forest_6,2,memory-2step-stake-s,508,1011698,0.0-19.0-0.0-0.11,A2KQ1VCW1B8QJP,3SD15I2WE5AO7614M34OSYMJOYM362,3PJUZCGDJAW0C572MT7YS9HJOXM988,3,4
12,1,object_02,object_05,508.0,2,1,344.0,0.8888888888888888,2,object_01,1,201,0,3,8,desert_4,2,memory-2step-stake-s,509,1020187,0.0-19.0-0.0-0.12,A2KQ1VCW1B8QJP,3SD15I2WE5AO7614M34OSYMJOYM362,3PJUZCGDJAW0C572MT7YS9HJOXM988,2,1
13,2,object_06,object_10,471.0,4,2,571.0,0.4444444444444444,2,object_01,5,221,0,2,4,forest_7,2,memory-2step-stake-s,510,1028413,0.0-19.0-0.0-0.13,A2KQ1VCW1B8QJP,3SD15I2WE5AO7614M34OSYMJOYM362,3PJUZCGDJAW0C572MT7YS9HJOXM988,3,4
14,3,object_03,object_08,362.0,5,1,361.0,0.0,1,object_09,1,221,0,0,4,library_6,2,memory-2step-stake-s,511,1036048,0.0-19.0-0.0-0.14,A2KQ1VCW1B8QJP,3SD15I2WE5AO7614M34OSYMJOYM362,3PJUZCGDJAW0C572MT7YS9HJOXM988,5,6
15,4,object_07,object_04,399.0,7,2,396.0,0.1111111111111111,1,object_09,1,222,0,1,7,restaurant_4,2,memory-2step-stake-s,512,1043809,0.0-19.0-0.0-0.15,A2KQ1VCW1B8QJP,3SD15I2WE5AO7614M34OSYMJOYM362,3PJUZCGDJAW0C572MT7YS9HJOXM988,8,7
16,2,object_10,object_06,784.0,3,2,595.0,0.1111111111111111,1,object_09,1,223,0,1,3,forest_6,2,memory-2step-stake-s,513,1051788,0.0-19.0-0.0-0.16,A2KQ1VCW1B8QJP,3SD15I2WE5AO7614M34OSYMJOYM362,3PJUZCGDJAW0C572MT7YS9HJOXM988,4,3
17,3,object_08,object_03,616.0,6,1,615.0,0.4444444444444444,2,object_01,1,227,0,2,4,library_3,2,memory-2step-stake-s,514,1060129,0.0-19.0-0.0-0.17,A2KQ1VCW1B8QJP,3SD15I2WE5AO7614M34OSYMJOYM362,3PJUZCGDJAW0C572MT7YS9HJOXM988,6,5
18,4,object_04,object_07,674.0,7,1,600.0,0.0,1,object_09,1,227,0,0,1,restaurant_2,2,memory-2step-stake-s,515,1068019,0.0-19.0-0.0-0.18,A2KQ1VCW1B8QJP,3SD15I2WE5AO7614M34OSYMJOYM362,3PJUZCGDJAW0C572MT7YS9HJOXM988,7,8
