,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_01,object_04,1237.3999999762,4,1,-1.0,0.0,2,object_06,1,0,0,3,1,forest_3,1,memory-2step-stake-s,489,1278260,0.0-19.0-0.0-0.0,A2MS1GQLGAX9FZ,3B623HUYK76FV1575X2NKKQMM9B8SL,3MMN5BL1W3KTISKQZLG76EFS8AZ3M7,4,3
1,4,object_07,object_08,1055.0,8,1,951.89999997616,0.0,2,object_06,5,0,0,2,0,restaurant_2,1,memory-2step-stake-s,490,1286492,0.0-19.0-0.0-0.1,A2MS1GQLGAX9FZ,3B623HUYK76FV1575X2NKKQMM9B8SL,3MMN5BL1W3KTISKQZLG76EFS8AZ3M7,8,7
2,3,object_02,object_03,949.60000002384,5,2,806.70000004768,0.1111111111111111,1,object_10,5,5,0,1,3,library_7,1,memory-2step-stake-s,491,1294680,0.0-19.0-0.0-0.2,A2MS1GQLGAX9FZ,3B623HUYK76FV1575X2NKKQMM9B8SL,3MMN5BL1W3KTISKQZLG76EFS8AZ3M7,6,5
3,2,object_01,object_04,1044.0,4,1,779.09999996424,0.4444444444444444,2,object_06,1,9,0,3,4,forest_1,1,memory-2step-stake-s,492,1303182,0.0-19.0-0.0-0.3,A2MS1GQLGAX9FZ,3B623HUYK76FV1575X2NKKQMM9B8SL,3MMN5BL1W3KTISKQZLG76EFS8AZ3M7,4,3
4,2,object_01,object_04,781.0,4,1,589.80000001192,0.3333333333333333,2,object_06,5,24,0,1,3,forest_3,1,memory-2step-stake-s,493,1311355,0.0-19.0-0.0-0.4,A2MS1GQLGAX9FZ,3B623HUYK76FV1575X2NKKQMM9B8SL,3MMN5BL1W3KTISKQZLG76EFS8AZ3M7,4,3
5,2,object_01,object_04,675.0,3,2,570.0,0.0,1,object_10,1,24,0,0,0,forest_1,1,memory-2step-stake-s,494,1319206,0.0-19.0-0.0-0.5,A2MS1GQLGAX9FZ,3B623HUYK76FV1575X2NKKQMM9B8SL,3MMN5BL1W3KTISKQZLG76EFS8AZ3M7,4,3
6,4,object_07,object_08,1049.7000000477,8,1,624.5,0.1111111111111111,2,object_06,5,29,0,2,1,restaurant_3,1,memory-2step-stake-s,495,1327195,0.0-19.0-0.0-0.6,A2MS1GQLGAX9FZ,3B623HUYK76FV1575X2NKKQMM9B8SL,3MMN5BL1W3KTISKQZLG76EFS8AZ3M7,8,7
7,3,object_02,object_03,898.39999997616,5,2,420.40000003576,0.2222222222222222,1,object_10,1,31,0,2,3,library_3,1,memory-2step-stake-s,496,1335131,0.0-19.0-0.0-0.7,A2MS1GQLGAX9FZ,3B623HUYK76FV1575X2NKKQMM9B8SL,3MMN5BL1W3KTISKQZLG76EFS8AZ3M7,6,5
8,2,object_04,object_01,1019.4000000358,4,2,415.30000001192,0.4444444444444444,2,object_06,1,35,0,4,4,forest_3,1,memory-2step-stake-s,497,1343237,0.0-19.0-0.0-0.8,A2MS1GQLGAX9FZ,3B623HUYK76FV1575X2NKKQMM9B8SL,3MMN5BL1W3KTISKQZLG76EFS8AZ3M7,3,4
9,1,object_05,object_09,869.19999998808,1,2,473.29999995232,0.8888888888888888,1,object_10,1,43,0,8,3,desert_1,1,memory-2step-stake-s,498,1351794,0.0-19.0-0.0-0.9,A2MS1GQLGAX9FZ,3B623HUYK76FV1575X2NKKQMM9B8SL,3MMN5BL1W3KTISKQZLG76EFS8AZ3M7,2,1
