,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_09,object_08,1028.5,2,1,-1.0,0.0,2,object_07,5,0,0,5,2,desert_1,1,memory-2step-stake-s,506,1462630,0.0-19.0-0.0-0.0,A2NA6X1SON3KFH,3MQKOF1EF54KJDI76AN431783D3WDT,3DI28L7YXEUZW1EYVJE55DVM1OU1EO,2,1
1,4,object_04,object_10,904.10000002384,8,1,-1.0,0.0,2,object_07,5,0,0,7,0,restaurant_8,1,memory-2step-stake-s,507,1471144,0.0-19.0-0.0-0.1,A2NA6X1SON3KFH,3MQKOF1EF54KJDI76AN431783D3WDT,3DI28L7YXEUZW1EYVJE55DVM1OU1EO,8,7
2,3,object_02,object_01,716.0,5,2,423.10000002384,0.7777777777777778,1,object_06,1,7,0,7,3,library_4,1,memory-2step-stake-s,508,1479487,0.0-19.0-0.0-0.2,A2NA6X1SON3KFH,3MQKOF1EF54KJDI76AN431783D3WDT,3DI28L7YXEUZW1EYVJE55DVM1OU1EO,6,5
3,2,object_03,object_05,721.40000009537,4,1,429.29999995232,0.2222222222222222,2,object_07,1,9,0,9,2,forest_4,1,memory-2step-stake-s,509,1487331,0.0-19.0-0.0-0.3,A2NA6X1SON3KFH,3MQKOF1EF54KJDI76AN431783D3WDT,3DI28L7YXEUZW1EYVJE55DVM1OU1EO,4,3
4,3,object_01,object_02,916.19999992847,5,1,448.0,0.6666666666666666,1,object_06,5,39,0,6,1,library_4,1,memory-2step-stake-s,510,1495599,0.0-19.0-0.0-0.4,A2NA6X1SON3KFH,3MQKOF1EF54KJDI76AN431783D3WDT,3DI28L7YXEUZW1EYVJE55DVM1OU1EO,5,6
5,2,object_05,object_03,1108.7999999523,3,1,679.10000002384,0.5555555555555556,1,object_06,1,44,0,5,2,forest_4,1,memory-2step-stake-s,511,1503999,0.0-19.0-0.0-0.5,A2NA6X1SON3KFH,3MQKOF1EF54KJDI76AN431783D3WDT,3DI28L7YXEUZW1EYVJE55DVM1OU1EO,3,4
6,3,object_01,object_02,759.19999992847,5,1,417.89999997616,0.3333333333333333,1,object_06,5,59,0,3,0,library_6,1,memory-2step-stake-s,512,1511933,0.0-19.0-0.0-0.6,A2NA6X1SON3KFH,3MQKOF1EF54KJDI76AN431783D3WDT,3DI28L7YXEUZW1EYVJE55DVM1OU1EO,5,6
7,4,object_10,object_04,938.20000004768,8,2,796.19999992847,0.1111111111111111,2,object_07,5,64,0,5,1,restaurant_6,1,memory-2step-stake-s,513,1520044,0.0-19.0-0.0-0.7,A2NA6X1SON3KFH,3MQKOF1EF54KJDI76AN431783D3WDT,3DI28L7YXEUZW1EYVJE55DVM1OU1EO,7,8
8,1,object_08,object_09,789.59999990463,2,2,823.09999990463,0.1111111111111111,2,object_07,5,69,0,3,1,desert_8,1,memory-2step-stake-s,514,1528181,0.0-19.0-0.0-0.8,A2NA6X1SON3KFH,3MQKOF1EF54KJDI76AN431783D3WDT,3DI28L7YXEUZW1EYVJE55DVM1OU1EO,1,2
9,3,object_01,object_02,702.39999997616,5,1,573.29999995232,0.1111111111111111,1,object_06,5,74,0,1,1,library_3,1,memory-2step-stake-s,515,1536067,0.0-19.0-0.0-0.9,A2NA6X1SON3KFH,3MQKOF1EF54KJDI76AN431783D3WDT,3DI28L7YXEUZW1EYVJE55DVM1OU1EO,5,6
10,2,object_03,object_05,943.10000002384,3,2,626.39999997616,0.1111111111111111,1,object_06,1,75,0,1,0,forest_1,1,memory-2step-stake-s,516,1544006,0.0-19.0-0.0-0.10,A2NA6X1SON3KFH,3MQKOF1EF54KJDI76AN431783D3WDT,3DI28L7YXEUZW1EYVJE55DVM1OU1EO,4,3
11,4,object_10,object_04,739.89999997616,8,2,472.20000004768,0.3333333333333333,2,object_07,5,90,0,0,3,restaurant_6,1,memory-2step-stake-s,517,1551996,0.0-19.0-0.0-0.11,A2NA6X1SON3KFH,3MQKOF1EF54KJDI76AN431783D3WDT,3DI28L7YXEUZW1EYVJE55DVM1OU1EO,7,8
12,3,object_01,object_02,699.5,5,1,382.59999990463,0.1111111111111111,1,object_06,1,91,0,1,0,library_4,1,memory-2step-stake-s,518,1559692,0.0-19.0-0.0-0.12,A2NA6X1SON3KFH,3MQKOF1EF54KJDI76AN431783D3WDT,3DI28L7YXEUZW1EYVJE55DVM1OU1EO,5,6
13,4,object_10,object_04,916.5,8,2,600.09999990463,0.1111111111111111,2,object_07,5,96,0,3,1,restaurant_6,1,memory-2step-stake-s,519,1567605,0.0-19.0-0.0-0.13,A2NA6X1SON3KFH,3MQKOF1EF54KJDI76AN431783D3WDT,3DI28L7YXEUZW1EYVJE55DVM1OU1EO,7,8
14,1,object_08,object_09,889.29999995232,1,1,585.90000009537,0.2222222222222222,1,object_06,1,98,0,2,2,desert_2,1,memory-2step-stake-s,520,1575606,0.0-19.0-0.0-0.14,A2NA6X1SON3KFH,3MQKOF1EF54KJDI76AN431783D3WDT,3DI28L7YXEUZW1EYVJE55DVM1OU1EO,1,2
