,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_09,object_06,612.29999995232,8,2,1444.8000000119,0.4444444444444444,2,object_03,1,4,0,4,4,restaurant_6,2,memory-2step-stake-s,505,1292768,0.0-19.0-0.0-0.0,A2NMLTECRDWFN2,382GHPVPIV7ASJXQ3FB9V025S7G34H,3QILPRALQ9BL17BWN3Q3AAC3TM18N4,7,8
1,1,object_02,object_05,857.69999998808,1,2,1098.1000000238,0.3333333333333333,1,object_04,5,19,0,3,8,desert_4,2,memory-2step-stake-s,506,1301390,0.0-19.0-0.0-0.1,A2NMLTECRDWFN2,382GHPVPIV7ASJXQ3FB9V025S7G34H,3QILPRALQ9BL17BWN3Q3AAC3TM18N4,2,1
2,2,object_08,object_07,676.0,4,1,1391.3000000119,0.6666666666666666,2,object_03,5,49,0,1,6,forest_7,2,memory-2step-stake-s,507,1310608,0.0-19.0-0.0-0.2,A2NMLTECRDWFN2,382GHPVPIV7ASJXQ3FB9V025S7G34H,3QILPRALQ9BL17BWN3Q3AAC3TM18N4,4,3
3,4,object_06,object_09,824.39999997616,7,2,712.0,0.0,1,object_04,1,49,0,0,5,restaurant_1,2,memory-2step-stake-s,508,1318537,0.0-19.0-0.0-0.3,A2NMLTECRDWFN2,382GHPVPIV7ASJXQ3FB9V025S7G34H,3QILPRALQ9BL17BWN3Q3AAC3TM18N4,8,7
4,3,object_10,object_01,767.0,5,1,586.80000001192,0.2222222222222222,1,object_04,1,51,0,2,5,library_7,2,memory-2step-stake-s,509,1326557,0.0-19.0-0.0-0.4,A2NMLTECRDWFN2,382GHPVPIV7ASJXQ3FB9V025S7G34H,3QILPRALQ9BL17BWN3Q3AAC3TM18N4,5,6
5,2,object_08,object_07,974.0,4,1,519.80000001192,0.5555555555555556,2,object_03,1,56,0,2,5,forest_6,2,memory-2step-stake-s,510,1334819,0.0-19.0-0.0-0.5,A2NMLTECRDWFN2,382GHPVPIV7ASJXQ3FB9V025S7G34H,3QILPRALQ9BL17BWN3Q3AAC3TM18N4,4,3
6,4,object_06,object_09,798.19999998808,8,1,714.5,0.2222222222222222,2,object_03,1,58,0,4,2,restaurant_6,2,memory-2step-stake-s,511,1342946,0.0-19.0-0.0-0.6,A2NMLTECRDWFN2,382GHPVPIV7ASJXQ3FB9V025S7G34H,3QILPRALQ9BL17BWN3Q3AAC3TM18N4,8,7
7,1,object_02,object_05,1023.3999999762,2,1,410.90000003576,0.1111111111111111,2,object_03,5,63,0,2,1,desert_8,2,memory-2step-stake-s,512,1350697,0.0-19.0-0.0-0.7,A2NMLTECRDWFN2,382GHPVPIV7ASJXQ3FB9V025S7G34H,3QILPRALQ9BL17BWN3Q3AAC3TM18N4,2,1
8,3,object_10,object_01,681.39999997616,6,2,898.10000002384,0.3333333333333333,2,object_03,5,78,0,1,3,library_7,2,memory-2step-stake-s,513,1359138,0.0-19.0-0.0-0.8,A2NMLTECRDWFN2,382GHPVPIV7ASJXQ3FB9V025S7G34H,3QILPRALQ9BL17BWN3Q3AAC3TM18N4,5,6
9,2,object_07,object_08,-1.0,-1,-1,-1.0,0.0,-,0,5,78,0,2,1,forest_7,2,memory-2step-stake-s,514,1365645,0.0-19.0-0.0-0.9,A2NMLTECRDWFN2,382GHPVPIV7ASJXQ3FB9V025S7G34H,3QILPRALQ9BL17BWN3Q3AAC3TM18N4,3,4
