,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_04,object_09,764.0,2,1,1305.0,0.8888888888888888,2,object_07,1,8,0,1,8,desert_1,1,memory-2step-stake-s,489,1088433,0.0-19.0-0.0-0.0,A2R6UQCQ8T3RZE,3SD15I2WE5AO7614M34OSYMJOYM362,3NVC2EB65UFTC994IO4I092ZHKE3YY,2,1
1,1,object_04,object_09,788.0,1,2,872.0,0.0,1,object_05,1,8,0,0,6,desert_8,1,memory-2step-stake-s,490,1096592,0.0-19.0-0.0-0.1,A2R6UQCQ8T3RZE,3SD15I2WE5AO7614M34OSYMJOYM362,3NVC2EB65UFTC994IO4I092ZHKE3YY,2,1
2,2,object_01,object_03,924.0,3,1,546.0,0.0,1,object_05,5,8,0,0,3,forest_2,1,memory-2step-stake-s,491,1104451,0.0-19.0-0.0-0.2,A2R6UQCQ8T3RZE,3SD15I2WE5AO7614M34OSYMJOYM362,3NVC2EB65UFTC994IO4I092ZHKE3YY,3,4
3,2,object_03,object_01,1141.0,4,1,509.0,0.3333333333333333,2,object_07,1,11,0,1,3,forest_8,1,memory-2step-stake-s,492,1112612,0.0-19.0-0.0-0.3,A2R6UQCQ8T3RZE,3SD15I2WE5AO7614M34OSYMJOYM362,3NVC2EB65UFTC994IO4I092ZHKE3YY,4,3
4,3,object_10,object_02,1085.0,6,2,443.0,0.4444444444444444,2,object_07,1,15,0,2,4,library_6,1,memory-2step-stake-s,493,1120813,0.0-19.0-0.0-0.4,A2R6UQCQ8T3RZE,3SD15I2WE5AO7614M34OSYMJOYM362,3NVC2EB65UFTC994IO4I092ZHKE3YY,5,6
5,3,object_02,object_10,865.0,6,1,487.0,0.4444444444444444,2,object_07,5,35,0,5,4,library_1,1,memory-2step-stake-s,494,1129074,0.0-19.0-0.0-0.5,A2R6UQCQ8T3RZE,3SD15I2WE5AO7614M34OSYMJOYM362,3NVC2EB65UFTC994IO4I092ZHKE3YY,6,5
6,4,object_08,object_06,1127.0,7,2,474.0,0.7777777777777778,1,object_05,1,42,0,7,4,restaurant_5,1,memory-2step-stake-s,495,1137651,0.0-19.0-0.0-0.6,A2R6UQCQ8T3RZE,3SD15I2WE5AO7614M34OSYMJOYM362,3NVC2EB65UFTC994IO4I092ZHKE3YY,8,7
7,3,object_02,object_10,614.0,6,1,463.0,0.6666666666666666,2,object_07,5,72,0,4,6,library_5,1,memory-2step-stake-s,496,1146034,0.0-19.0-0.0-0.7,A2R6UQCQ8T3RZE,3SD15I2WE5AO7614M34OSYMJOYM362,3NVC2EB65UFTC994IO4I092ZHKE3YY,6,5
8,4,object_08,object_06,1496.0,7,2,393.0,0.5555555555555556,1,object_05,5,97,0,5,6,restaurant_2,1,memory-2step-stake-s,497,1154293,0.0-19.0-0.0-0.8,A2R6UQCQ8T3RZE,3SD15I2WE5AO7614M34OSYMJOYM362,3NVC2EB65UFTC994IO4I092ZHKE3YY,8,7
9,4,object_06,object_08,1241.0,7,1,436.0,0.8888888888888888,1,object_05,5,137,0,8,6,restaurant_3,1,memory-2step-stake-s,498,1162993,0.0-19.0-0.0-0.9,A2R6UQCQ8T3RZE,3SD15I2WE5AO7614M34OSYMJOYM362,3NVC2EB65UFTC994IO4I092ZHKE3YY,7,8
10,4,object_06,object_08,909.0,7,1,507.0,0.8888888888888888,1,object_05,1,145,0,8,3,restaurant_5,1,memory-2step-stake-s,499,1171734,0.0-19.0-0.0-0.10,A2R6UQCQ8T3RZE,3SD15I2WE5AO7614M34OSYMJOYM362,3NVC2EB65UFTC994IO4I092ZHKE3YY,7,8
11,3,object_02,object_10,912.0,6,1,443.0,0.4444444444444444,2,object_07,1,149,0,7,4,library_7,1,memory-2step-stake-s,500,1179953,0.0-19.0-0.0-0.11,A2R6UQCQ8T3RZE,3SD15I2WE5AO7614M34OSYMJOYM362,3NVC2EB65UFTC994IO4I092ZHKE3YY,6,5
