,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_02,object_01,666.0,2,1,-1.0,0.0,2,object_05,5,0,0,3,1,desert_2,1,memory-2step-stake-s,493,1018588,0.0-19.0-0.0-0.0,A2RBVMD2HTBCZ9,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3Z4XG4ZF4C7QD1P0P9DC8C31V028XF,2,1
1,2,object_06,object_03,694.0,3,2,688.0,0.4444444444444444,1,object_10,1,4,0,4,1,forest_3,1,memory-2step-stake-s,494,1026978,0.0-19.0-0.0-0.1,A2RBVMD2HTBCZ9,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3Z4XG4ZF4C7QD1P0P9DC8C31V028XF,4,3
2,4,object_04,object_07,39.0,7,1,597.0,0.4444444444444444,1,object_10,5,24,0,4,1,restaurant_5,1,memory-2step-stake-s,495,1035278,0.0-19.0-0.0-0.2,A2RBVMD2HTBCZ9,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3Z4XG4ZF4C7QD1P0P9DC8C31V028XF,7,8
3,2,object_03,object_06,373.0,4,2,775.0,0.3333333333333333,2,object_05,1,27,0,4,3,forest_5,1,memory-2step-stake-s,496,1043657,0.0-19.0-0.0-0.3,A2RBVMD2HTBCZ9,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3Z4XG4ZF4C7QD1P0P9DC8C31V028XF,3,4
4,4,object_04,object_07,640.0,7,1,505.0,0.5555555555555556,1,object_10,5,52,0,5,6,restaurant_4,1,memory-2step-stake-s,497,1051977,0.0-19.0-0.0-0.4,A2RBVMD2HTBCZ9,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3Z4XG4ZF4C7QD1P0P9DC8C31V028XF,7,8
5,1,object_01,object_02,709.0,2,2,665.0,0.6666666666666666,2,object_05,1,58,0,6,6,desert_5,1,memory-2step-stake-s,498,1060576,0.0-19.0-0.0-0.5,A2RBVMD2HTBCZ9,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3Z4XG4ZF4C7QD1P0P9DC8C31V028XF,1,2
6,3,object_08,object_09,707.0,6,1,623.0,0.4444444444444444,2,object_05,5,78,0,4,4,library_3,1,memory-2step-stake-s,499,1068906,0.0-19.0-0.0-0.6,A2RBVMD2HTBCZ9,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3Z4XG4ZF4C7QD1P0P9DC8C31V028XF,6,5
7,3,object_08,object_09,548.0,6,1,784.0,0.4444444444444444,2,object_05,5,98,0,4,4,library_3,1,memory-2step-stake-s,500,1077396,0.0-19.0-0.0-0.7,A2RBVMD2HTBCZ9,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3Z4XG4ZF4C7QD1P0P9DC8C31V028XF,6,5
8,3,object_09,object_08,715.0,6,2,502.0,0.2222222222222222,2,object_05,5,108,0,2,2,library_5,1,memory-2step-stake-s,501,1085386,0.0-19.0-0.0-0.8,A2RBVMD2HTBCZ9,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3Z4XG4ZF4C7QD1P0P9DC8C31V028XF,5,6
9,4,object_04,object_07,418.0,7,1,533.0,0.0,1,object_10,5,108,0,0,2,restaurant_4,1,memory-2step-stake-s,502,1093185,0.0-19.0-0.0-0.9,A2RBVMD2HTBCZ9,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3Z4XG4ZF4C7QD1P0P9DC8C31V028XF,7,8
