,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_04,object_08,1090.3999999911,7,1,-1.0,0.0,1,object_01,1,0,0,6,2,restaurant_3,2,memory-2step-stake-s,495,1396091,0.0-19.0-0.0-0.0,A2RVFMCKSSEHDV,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3W8CV64QJ6FT5G8VPX145MAIRGB9HM,7,8
1,3,object_07,object_03,835.29999999702,5,2,558.20000000298,0.4444444444444444,1,object_01,5,20,0,4,1,library_2,2,memory-2step-stake-s,496,1404378,0.0-19.0-0.0-0.1,A2RVFMCKSSEHDV,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3W8CV64QJ6FT5G8VPX145MAIRGB9HM,6,5
2,1,object_09,object_05,1074.900000006,2,2,701.5,0.1111111111111111,2,object_06,5,25,0,5,1,desert_2,2,memory-2step-stake-s,497,1412467,0.0-19.0-0.0-0.2,A2RVFMCKSSEHDV,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3W8CV64QJ6FT5G8VPX145MAIRGB9HM,1,2
3,4,object_08,object_04,615.0,8,1,509.60000000894,0.3333333333333333,2,object_06,5,40,0,5,3,restaurant_2,2,memory-2step-stake-s,498,1420554,0.0-19.0-0.0-0.3,A2RVFMCKSSEHDV,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3W8CV64QJ6FT5G8VPX145MAIRGB9HM,8,7
4,2,object_10,object_02,606.40000000596,4,2,692.79999999702,0.2222222222222222,2,object_06,5,50,0,5,2,forest_8,2,memory-2step-stake-s,499,1428716,0.0-19.0-0.0-0.4,A2RVFMCKSSEHDV,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3W8CV64QJ6FT5G8VPX145MAIRGB9HM,3,4
5,1,object_09,object_05,836.59999999404,1,1,625.20000000298,0.4444444444444444,1,object_01,5,70,0,4,2,desert_7,2,memory-2step-stake-s,500,1437064,0.0-19.0-0.0-0.5,A2RVFMCKSSEHDV,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3W8CV64QJ6FT5G8VPX145MAIRGB9HM,1,2
6,4,object_08,object_04,1180.5,8,1,482.69999998808,0.1111111111111111,2,object_06,1,71,0,6,1,restaurant_2,2,memory-2step-stake-s,501,1444913,0.0-19.0-0.0-0.6,A2RVFMCKSSEHDV,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3W8CV64QJ6FT5G8VPX145MAIRGB9HM,8,7
7,4,object_04,object_08,1050.700000003,8,2,578.29999999702,0.1111111111111111,2,object_06,5,76,0,1,1,restaurant_3,2,memory-2step-stake-s,502,1452897,0.0-19.0-0.0-0.7,A2RVFMCKSSEHDV,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3W8CV64QJ6FT5G8VPX145MAIRGB9HM,7,8
8,4,object_08,object_04,1072.0,7,2,443.19999998808,0.0,1,object_01,1,76,0,0,4,restaurant_6,2,memory-2step-stake-s,503,1460612,0.0-19.0-0.0-0.8,A2RVFMCKSSEHDV,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3W8CV64QJ6FT5G8VPX145MAIRGB9HM,8,7
9,2,object_10,object_02,438.29999999702,3,1,425.20000000298,0.0,1,object_01,1,76,0,0,5,forest_1,2,memory-2step-stake-s,504,1468299,0.0-19.0-0.0-0.9,A2RVFMCKSSEHDV,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3W8CV64QJ6FT5G8VPX145MAIRGB9HM,3,4
