,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_06,object_01,790.5,4,1,-1.0,0.0,2,object_10,1,0,0,2,0,forest_3,1,memory-2step-stake-s,494,960227,0.0-19.0-0.0-0.0,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,4,3
1,1,object_04,object_02,939.79999995232,1,2,-1.0,0.0,1,object_03,1,0,0,3,3,desert_8,1,memory-2step-stake-s,495,968815,0.0-19.0-0.0-0.1,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,2,1
2,4,object_09,object_07,791.79999995232,7,1,-1.0,0.0,1,object_03,5,0,0,4,4,restaurant_3,1,memory-2step-stake-s,496,977418,0.0-19.0-0.0-0.2,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,7,8
3,1,object_04,object_02,793.59999990463,2,1,-1.0,0.0,2,object_10,5,0,0,1,5,desert_8,1,memory-2step-stake-s,497,985998,0.0-19.0-0.0-0.3,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,2,1
4,1,object_04,object_02,569.39999997616,1,2,469.39999997616,0.2222222222222222,1,object_03,1,2,0,2,4,desert_8,1,memory-2step-stake-s,498,994015,0.0-19.0-0.0-0.4,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,2,1
5,3,object_05,object_08,815.89999997616,5,2,393.20000004768,0.4444444444444444,1,object_03,1,6,0,4,6,library_1,1,memory-2step-stake-s,499,1002131,0.0-19.0-0.0-0.5,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,6,5
6,3,object_05,object_08,540.20000004768,6,1,742.39999997616,1.0,2,object_10,5,51,0,6,9,library_6,1,memory-2step-stake-s,500,1011126,0.0-19.0-0.0-0.6,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,6,5
7,4,object_09,object_07,617.30000007153,7,1,691.60000002384,0.3333333333333333,1,object_03,5,66,0,3,7,restaurant_1,1,memory-2step-stake-s,501,1019426,0.0-19.0-0.0-0.7,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,7,8
8,2,object_06,object_01,572.39999997616,4,1,354.60000002384,0.7777777777777778,2,object_10,5,101,0,4,7,forest_3,1,memory-2step-stake-s,502,1027877,0.0-19.0-0.0-0.8,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,4,3
9,4,object_09,object_07,569.10000002384,7,1,314.39999997616,0.4444444444444444,1,object_03,5,121,0,4,7,restaurant_8,1,memory-2step-stake-s,503,1035892,0.0-19.0-0.0-0.9,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,7,8
10,2,object_06,object_01,639.10000002384,4,1,273.90000009537,1.0,2,object_10,1,130,0,4,9,forest_8,1,memory-2step-stake-s,504,1044386,0.0-19.0-0.0-0.10,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,4,3
11,4,object_09,object_07,686.19999992847,7,1,345.79999995232,0.4444444444444444,1,object_03,5,150,0,4,6,restaurant_5,1,memory-2step-stake-s,505,1052484,0.0-19.0-0.0-0.11,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,7,8
12,1,object_02,object_04,931.60000002384,2,2,248.10000002384,0.6666666666666666,2,object_10,1,156,0,4,6,desert_8,1,memory-2step-stake-s,506,1060681,0.0-19.0-0.0-0.12,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,1,2
13,2,object_01,object_06,596.59999990463,4,2,311.60000002384,0.4444444444444444,2,object_10,1,160,0,2,4,forest_1,1,memory-2step-stake-s,507,1068729,0.0-19.0-0.0-0.13,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,3,4
14,4,object_09,object_07,541.29999995232,7,1,483.20000004768,0.2222222222222222,1,object_03,5,170,0,2,3,restaurant_8,1,memory-2step-stake-s,508,1076728,0.0-19.0-0.0-0.14,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,7,8
15,3,object_05,object_08,622.20000004768,5,2,11.0,0.5555555555555556,1,object_03,5,195,0,5,1,library_4,1,memory-2step-stake-s,509,1084604,0.0-19.0-0.0-0.15,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,6,5
16,4,object_07,object_09,681.39999997616,7,2,308.59999990463,0.6666666666666666,1,object_03,5,225,0,6,2,restaurant_5,1,memory-2step-stake-s,510,1092799,0.0-19.0-0.0-0.16,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,8,7
17,2,object_01,object_06,815.69999992847,3,1,320.5,0.7777777777777778,1,object_03,1,232,0,7,4,forest_3,1,memory-2step-stake-s,511,1101173,0.0-19.0-0.0-0.17,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,3,4
18,4,object_09,object_07,973.69999992847,7,1,287.29999995232,0.8888888888888888,1,object_03,5,272,0,8,4,restaurant_1,1,memory-2step-stake-s,512,1109664,0.0-19.0-0.0-0.18,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,7,8
19,2,object_01,object_06,698.5,3,1,473.19999992847,0.7777777777777778,1,object_03,1,279,0,7,1,forest_1,1,memory-2step-stake-s,513,1118278,0.0-19.0-0.0-0.19,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,3,4
20,3,object_08,object_05,762.79999995232,6,2,635.29999995232,0.3333333333333333,2,object_10,5,294,0,7,3,library_4,1,memory-2step-stake-s,514,1126548,0.0-19.0-0.0-0.20,A2VGFS03KCCR1Q,3SNR5F7RA597AOC2DOU98SGLOEGIEB,3S3AMIZX3YLERYAWFLS5GRWS5B1CDH,5,6
