,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_01,object_10,787.0,8,2,849.0,0.1111111111111111,2,object_05,5,5,0,7,1,restaurant_7,1,memory-2step-stake-s,493,836165,0.0-19.0-0.0-0.0,A2WNTI69VVVWMZ,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,37UQDCYH61BU9YFMFPKO6RAL45WV7K,7,8
1,1,object_02,object_07,773.0,2,2,777.0,0.3333333333333333,2,object_05,5,20,0,4,3,desert_2,1,memory-2step-stake-s,494,844455,0.0-19.0-0.0-0.1,A2WNTI69VVVWMZ,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,37UQDCYH61BU9YFMFPKO6RAL45WV7K,1,2
2,4,object_01,object_10,641.0,7,1,430.0,0.3333333333333333,1,object_09,5,35,0,3,3,restaurant_3,1,memory-2step-stake-s,495,852397,0.0-19.0-0.0-0.2,A2WNTI69VVVWMZ,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,37UQDCYH61BU9YFMFPKO6RAL45WV7K,7,8
3,2,object_03,object_08,782.0,4,2,618.0,0.3333333333333333,2,object_05,1,38,0,1,3,forest_4,1,memory-2step-stake-s,496,860524,0.0-19.0-0.0-0.3,A2WNTI69VVVWMZ,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,37UQDCYH61BU9YFMFPKO6RAL45WV7K,3,4
4,3,object_04,object_06,400.0,6,1,477.0,0.4444444444444444,2,object_05,5,58,0,3,4,library_4,1,memory-2step-stake-s,497,868609,0.0-19.0-0.0-0.4,A2WNTI69VVVWMZ,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,37UQDCYH61BU9YFMFPKO6RAL45WV7K,6,5
5,1,object_02,object_07,458.0,2,2,296.0,0.3333333333333333,2,object_05,1,61,0,1,3,desert_2,1,memory-2step-stake-s,498,876411,0.0-19.0-0.0-0.5,A2WNTI69VVVWMZ,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,37UQDCYH61BU9YFMFPKO6RAL45WV7K,1,2
6,4,object_10,object_01,669.0,7,2,440.0,0.5555555555555556,1,object_09,5,86,0,5,3,restaurant_3,1,memory-2step-stake-s,499,884565,0.0-19.0-0.0-0.6,A2WNTI69VVVWMZ,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,37UQDCYH61BU9YFMFPKO6RAL45WV7K,8,7
7,2,object_03,object_08,796.0,3,1,386.0,0.3333333333333333,1,object_09,1,89,0,3,4,forest_4,1,memory-2step-stake-s,500,892459,0.0-19.0-0.0-0.7,A2WNTI69VVVWMZ,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,37UQDCYH61BU9YFMFPKO6RAL45WV7K,3,4
8,1,object_02,object_07,598.0,1,1,371.0,0.5555555555555556,1,object_09,1,94,0,5,2,desert_6,1,memory-2step-stake-s,501,900543,0.0-19.0-0.0-0.8,A2WNTI69VVVWMZ,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,37UQDCYH61BU9YFMFPKO6RAL45WV7K,1,2
9,1,object_07,object_02,688.0,1,2,321.0,0.5555555555555556,1,object_09,1,99,0,5,0,desert_6,1,memory-2step-stake-s,502,908575,0.0-19.0-0.0-0.9,A2WNTI69VVVWMZ,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,37UQDCYH61BU9YFMFPKO6RAL45WV7K,2,1
10,3,object_04,object_06,626.0,6,1,286.0,0.1111111111111111,2,object_05,5,104,0,4,1,library_8,1,memory-2step-stake-s,503,916171,0.0-19.0-0.0-0.10,A2WNTI69VVVWMZ,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,37UQDCYH61BU9YFMFPKO6RAL45WV7K,6,5
11,2,object_08,object_03,637.0,3,2,435.0,0.3333333333333333,1,object_09,1,107,0,3,3,forest_6,1,memory-2step-stake-s,504,924113,0.0-19.0-0.0-0.11,A2WNTI69VVVWMZ,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,37UQDCYH61BU9YFMFPKO6RAL45WV7K,4,3
12,3,object_04,object_06,415.0,6,1,331.0,0.6666666666666666,2,object_05,5,137,0,3,6,library_4,1,memory-2step-stake-s,505,932257,0.0-19.0-0.0-0.12,A2WNTI69VVVWMZ,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,37UQDCYH61BU9YFMFPKO6RAL45WV7K,6,5
13,1,object_02,object_07,687.0,1,1,309.0,0.2222222222222222,1,object_09,1,139,0,2,2,desert_4,1,memory-2step-stake-s,506,939974,0.0-19.0-0.0-0.13,A2WNTI69VVVWMZ,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,37UQDCYH61BU9YFMFPKO6RAL45WV7K,1,2
14,4,object_01,object_10,563.0,8,2,304.0,0.0,2,object_05,5,139,0,4,0,restaurant_4,1,memory-2step-stake-s,507,947483,0.0-19.0-0.0-0.14,A2WNTI69VVVWMZ,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,37UQDCYH61BU9YFMFPKO6RAL45WV7K,7,8
15,4,object_10,object_01,676.0,7,2,273.0,0.6666666666666666,1,object_09,5,169,0,6,2,restaurant_4,1,memory-2step-stake-s,508,955571,0.0-19.0-0.0-0.15,A2WNTI69VVVWMZ,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,37UQDCYH61BU9YFMFPKO6RAL45WV7K,8,7
