,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_10,object_02,902.70000000298,8,1,-1.0,0.0,2,object_01,1,0,0,4,0,restaurant_3,2,memory-2step-stake-s,488,2586741,0.0-19.0-0.0-0.0,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,8,7
1,3,object_06,object_03,1008.0,6,2,-1.0,0.0,2,object_01,1,0,0,5,0,library_6,2,memory-2step-stake-s,489,2595276,0.0-19.0-0.0-0.1,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,5,6
2,1,object_09,object_08,1040.5,1,2,-1.0,0.0,1,object_04,5,0,0,7,2,desert_5,2,memory-2step-stake-s,490,2603812,0.0-19.0-0.0-0.2,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,2,1
3,3,object_06,object_03,1139.1000000089,5,1,-1.0,0.0,1,object_04,1,0,0,5,1,library_1,2,memory-2step-stake-s,491,2612371,0.0-19.0-0.0-0.3,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,5,6
4,2,object_07,object_05,933.19999998808,3,2,-1.0,0.0,1,object_04,5,0,0,6,2,forest_6,2,memory-2step-stake-s,492,2620928,0.0-19.0-0.0-0.4,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,4,3
5,1,object_08,object_09,1353.5,1,1,-1.0,0.0,1,object_04,5,0,0,5,1,desert_6,2,memory-2step-stake-s,493,2629482,0.0-19.0-0.0-0.5,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,1,2
6,4,object_10,object_02,1064.8000000119,7,2,-1.0,0.0,1,object_04,1,0,0,7,0,restaurant_2,2,memory-2step-stake-s,494,2638033,0.0-19.0-0.0-0.6,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,8,7
7,3,object_03,object_06,601.59999999404,6,1,-1.0,0.0,2,object_01,1,0,0,9,1,library_7,2,memory-2step-stake-s,495,2646604,0.0-19.0-0.0-0.7,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,6,5
8,2,object_05,object_07,872.09999999404,3,1,-1.0,0.0,1,object_04,5,0,0,8,4,forest_3,2,memory-2step-stake-s,496,2655139,0.0-19.0-0.0-0.8,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,3,4
9,3,object_03,object_06,790.90000000596,5,2,-1.0,0.0,1,object_04,1,0,0,8,3,library_6,2,memory-2step-stake-s,497,2663708,0.0-19.0-0.0-0.9,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,6,5
10,4,object_10,object_02,1070.799999997,8,1,-1.0,0.0,2,object_01,5,0,0,8,2,restaurant_3,2,memory-2step-stake-s,498,2672276,0.0-19.0-0.0-0.10,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,8,7
11,2,object_05,object_07,1140.5,3,1,-1.0,0.0,1,object_04,5,0,0,7,3,forest_6,2,memory-2step-stake-s,499,2680828,0.0-19.0-0.0-0.11,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,3,4
12,4,object_10,object_02,350.39999999106,7,2,-1.0,0.0,1,object_04,1,0,0,5,1,restaurant_2,2,memory-2step-stake-s,500,2689375,0.0-19.0-0.0-0.12,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,8,7
13,4,object_10,object_02,699.09999999404,8,1,430.60000000894,0.4444444444444444,2,object_01,5,20,0,3,4,restaurant_2,2,memory-2step-stake-s,501,2697505,0.0-19.0-0.0-0.13,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,8,7
14,4,object_10,object_02,551.29999999702,8,1,447.69999998808,0.6666666666666666,2,object_01,1,26,0,1,6,restaurant_2,2,memory-2step-stake-s,502,2705833,0.0-19.0-0.0-0.14,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,8,7
15,2,object_07,object_05,1146.1999999881,3,2,740.20000000298,0.1111111111111111,1,object_04,5,31,0,1,5,forest_6,2,memory-2step-stake-s,503,2713936,0.0-19.0-0.0-0.15,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,4,3
16,2,object_07,object_05,674.29999999702,3,2,698.59999999404,0.1111111111111111,1,object_04,1,32,0,1,6,forest_7,2,memory-2step-stake-s,504,2721990,0.0-19.0-0.0-0.16,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,4,3
17,4,object_02,object_10,1158.900000006,8,2,333.10000000894,0.8888888888888888,2,object_01,1,40,0,1,8,restaurant_3,2,memory-2step-stake-s,505,2730424,0.0-19.0-0.0-0.17,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,7,8
18,1,object_08,object_09,1183.900000006,2,2,517.40000000596,1.0,2,object_01,5,85,0,2,9,desert_1,2,memory-2step-stake-s,506,2739122,0.0-19.0-0.0-0.18,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,1,2
19,4,object_10,object_02,1368.5,8,1,445.09999999404,0.7777777777777778,2,object_01,5,120,0,3,7,restaurant_5,2,memory-2step-stake-s,507,2747566,0.0-19.0-0.0-0.19,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,8,7
20,1,object_08,object_09,899.5,2,2,514.79999999702,0.7777777777777778,2,object_01,5,155,0,2,7,desert_3,2,memory-2step-stake-s,508,2756053,0.0-19.0-0.0-0.20,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,1,2
21,1,object_09,object_08,780.10000000894,2,1,482.40000000596,0.7777777777777778,2,object_01,5,190,0,2,7,desert_3,2,memory-2step-stake-s,509,2764537,0.0-19.0-0.0-0.21,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,2,1
22,4,object_02,object_10,934.79999999702,8,2,234.20000000298,0.5555555555555556,2,object_01,5,215,0,3,5,restaurant_3,2,memory-2step-stake-s,510,2772550,0.0-19.0-0.0-0.22,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,7,8
23,2,object_07,object_05,1014.799999997,3,2,359.0,0.5555555555555556,1,object_04,5,240,0,5,5,forest_7,2,memory-2step-stake-s,511,2780676,0.0-19.0-0.0-0.23,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,4,3
24,3,object_06,object_03,1194.200000003,5,1,388.89999999106,0.3333333333333333,1,object_04,1,243,0,3,5,library_1,2,memory-2step-stake-s,512,2788597,0.0-19.0-0.0-0.24,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,5,6
25,1,object_09,object_08,839.09999999404,2,1,355.59999999404,0.5555555555555556,2,object_01,5,268,0,3,5,desert_6,2,memory-2step-stake-s,513,2796736,0.0-19.0-0.0-0.25,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,2,1
26,4,object_10,object_02,931.5,8,1,295.09999999404,0.6666666666666666,2,object_01,1,274,0,4,6,restaurant_5,2,memory-2step-stake-s,514,2804943,0.0-19.0-0.0-0.26,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,8,7
27,2,object_07,object_05,1078.5,4,1,381.59999999404,0.5555555555555556,2,object_01,5,299,0,5,5,forest_8,2,memory-2step-stake-s,515,2813096,0.0-19.0-0.0-0.27,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,4,3
28,3,object_06,object_03,1002.0,6,2,762.40000000596,0.8888888888888888,2,object_01,1,307,0,1,8,library_7,2,memory-2step-stake-s,516,2821923,0.0-19.0-0.0-0.28,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,5,6
29,3,object_06,object_03,995.79999999702,6,2,390.79999999702,0.7777777777777778,2,object_01,1,314,0,2,7,library_6,2,memory-2step-stake-s,517,2830306,0.0-19.0-0.0-0.29,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,5,6
30,3,object_06,object_03,633.70000000298,6,2,198.09999999404,1.0,2,object_01,1,323,0,3,9,library_1,2,memory-2step-stake-s,518,2838700,0.0-19.0-0.0-0.30,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,5,6
31,4,object_02,object_10,856.60000000894,7,1,1268.5,0.1111111111111111,1,object_04,1,324,0,1,6,restaurant_5,2,memory-2step-stake-s,519,2847335,0.0-19.0-0.0-0.31,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,7,8
32,4,object_10,object_02,863.70000000298,8,1,261.60000000894,0.7777777777777778,2,object_01,1,331,0,2,7,restaurant_3,2,memory-2step-stake-s,520,2855598,0.0-19.0-0.0-0.32,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,8,7
33,2,object_07,object_05,1441.299999997,4,1,474.89999999106,0.6666666666666666,2,object_01,5,361,0,1,6,forest_3,2,memory-2step-stake-s,521,2863960,0.0-19.0-0.0-0.33,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,4,3
34,3,object_06,object_03,849.40000000596,6,2,256.0,0.7777777777777778,2,object_01,1,368,0,1,7,library_7,2,memory-2step-stake-s,522,2872196,0.0-19.0-0.0-0.34,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,5,6
35,2,object_07,object_05,1410.1000000089,4,1,397.59999999404,0.8888888888888888,2,object_01,5,408,0,0,8,forest_6,2,memory-2step-stake-s,523,2880695,0.0-19.0-0.0-0.35,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,4,3
36,3,object_06,object_03,767.90000000596,6,2,273.70000000298,0.6666666666666666,2,object_01,1,414,0,3,6,library_7,2,memory-2step-stake-s,524,2888847,0.0-19.0-0.0-0.36,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,5,6
37,4,object_02,object_10,1169.1999999881,8,2,445.0,0.6666666666666666,2,object_01,5,444,0,2,6,restaurant_4,2,memory-2step-stake-s,525,2897177,0.0-19.0-0.0-0.37,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,7,8
38,3,object_03,object_06,782.10000000894,6,1,295.90000000596,0.7777777777777778,2,object_01,1,451,0,3,7,library_6,2,memory-2step-stake-s,526,2905458,0.0-19.0-0.0-0.38,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,6,5
39,1,object_09,object_08,1165.0,2,1,659.09999999404,0.7777777777777778,2,object_01,5,486,0,3,7,desert_5,2,memory-2step-stake-s,527,2914087,0.0-19.0-0.0-0.39,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,2,1
40,3,object_03,object_06,716.79999999702,6,1,305.0,0.8888888888888888,2,object_01,1,494,0,2,8,library_7,2,memory-2step-stake-s,528,2922492,0.0-19.0-0.0-0.40,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,6,5
41,3,object_06,object_03,1198.5,6,2,487.79999999702,0.8888888888888888,2,object_01,1,502,0,3,8,library_1,2,memory-2step-stake-s,529,2931051,0.0-19.0-0.0-0.41,A2WPKP73S4MBLK,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3TXD01ZLD8XXDW8381CC7TOSZWZ4UM,5,6
