,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_05,object_03,594.0,7,2,-1.0,0.0,1,object_01,1,0,0,3,2,restaurant_3,1,memory-2step-stake-s,494,1072020,0.0-19.0-0.0-0.0,A2XGVGSG5WR173,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3IQ1VMJRYX0EVT0HJRRCO0NEELK9AA,8,7
1,2,object_04,object_10,411.0,4,1,460.0,0.4444444444444444,2,object_02,1,4,0,3,4,forest_2,1,memory-2step-stake-s,495,1080158,0.0-19.0-0.0-0.1,A2XGVGSG5WR173,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3IQ1VMJRYX0EVT0HJRRCO0NEELK9AA,4,3
2,1,object_08,object_09,504.0,2,1,492.0,0.4444444444444444,2,object_02,1,8,0,3,4,desert_4,1,memory-2step-stake-s,496,1088335,0.0-19.0-0.0-0.2,A2XGVGSG5WR173,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3IQ1VMJRYX0EVT0HJRRCO0NEELK9AA,2,1
3,4,object_03,object_05,454.0,8,2,679.0,0.2222222222222222,2,object_02,5,18,0,0,2,restaurant_3,1,memory-2step-stake-s,497,1096502,0.0-19.0-0.0-0.3,A2XGVGSG5WR173,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3IQ1VMJRYX0EVT0HJRRCO0NEELK9AA,7,8
4,2,object_04,object_10,599.0,3,2,454.0,0.0,1,object_01,1,18,0,0,0,forest_3,1,memory-2step-stake-s,498,1104230,0.0-19.0-0.0-0.4,A2XGVGSG5WR173,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3IQ1VMJRYX0EVT0HJRRCO0NEELK9AA,4,3
5,4,object_05,object_03,378.0,8,1,438.0,0.0,2,object_02,5,18,0,2,0,restaurant_7,1,memory-2step-stake-s,499,1111931,0.0-19.0-0.0-0.5,A2XGVGSG5WR173,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3IQ1VMJRYX0EVT0HJRRCO0NEELK9AA,8,7
6,3,object_06,object_07,368.0,5,2,483.0,0.6666666666666666,1,object_01,5,48,0,6,3,library_2,1,memory-2step-stake-s,500,1120337,0.0-19.0-0.0-0.6,A2XGVGSG5WR173,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3IQ1VMJRYX0EVT0HJRRCO0NEELK9AA,6,5
7,4,object_03,object_05,334.0,8,2,619.0,0.3333333333333333,2,object_02,5,63,0,6,3,restaurant_7,1,memory-2step-stake-s,501,1128553,0.0-19.0-0.0-0.7,A2XGVGSG5WR173,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3IQ1VMJRYX0EVT0HJRRCO0NEELK9AA,7,8
8,1,object_09,object_08,551.0,1,1,522.0,0.6666666666666666,1,object_01,1,69,0,6,2,desert_5,1,memory-2step-stake-s,502,1136977,0.0-19.0-0.0-0.8,A2XGVGSG5WR173,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3IQ1VMJRYX0EVT0HJRRCO0NEELK9AA,1,2
9,3,object_06,object_07,588.0,5,2,428.0,0.4444444444444444,1,object_01,5,89,0,4,1,library_8,1,memory-2step-stake-s,503,1145098,0.0-19.0-0.0-0.9,A2XGVGSG5WR173,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3IQ1VMJRYX0EVT0HJRRCO0NEELK9AA,6,5
