,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_06,object_01,-1.0,-1,-1,-1.0,0.0,-,0,5,0,0,0,2,forest_2,2,memory-2step-stake-s,506,1367118,0.0-19.0-0.0-0.0,A31A1PVXLJBISZ,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3RANCT1ZVJXHYVTCNGMZF7UY9OFBUY,3,4
1,3,object_10,object_03,-1.0,-1,-1,-1.0,0.0,-,0,1,0,0,1,2,library_6,2,memory-2step-stake-s,507,1373632,0.0-19.0-0.0-0.1,A31A1PVXLJBISZ,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3RANCT1ZVJXHYVTCNGMZF7UY9OFBUY,5,6
2,4,object_07,object_04,424.89999997616,7,1,-1.0,0.0,1,object_05,1,0,0,2,1,restaurant_1,2,memory-2step-stake-s,508,1382154,0.0-19.0-0.0-0.2,A31A1PVXLJBISZ,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3RANCT1ZVJXHYVTCNGMZF7UY9OFBUY,7,8
3,2,object_06,object_01,252.5,4,2,63.300000011921,0.0,2,object_09,5,0,0,2,0,forest_2,2,memory-2step-stake-s,509,1389438,0.0-19.0-0.0-0.3,A31A1PVXLJBISZ,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3RANCT1ZVJXHYVTCNGMZF7UY9OFBUY,3,4
4,1,object_08,object_02,1142.5,2,1,-1.0,0.0,2,object_09,5,0,0,1,1,desert_4,2,memory-2step-stake-s,510,1397956,0.0-19.0-0.0-0.4,A31A1PVXLJBISZ,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3RANCT1ZVJXHYVTCNGMZF7UY9OFBUY,2,1
5,2,object_06,object_01,812.90000003576,4,2,-1.0,0.0,2,object_09,5,0,0,0,1,forest_3,2,memory-2step-stake-s,511,1406477,0.0-19.0-0.0-0.5,A31A1PVXLJBISZ,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3RANCT1ZVJXHYVTCNGMZF7UY9OFBUY,3,4
6,1,object_08,object_02,919.59999996424,1,2,-1.0,0.0,1,object_05,5,0,0,0,1,desert_3,2,memory-2step-stake-s,512,1415003,0.0-19.0-0.0-0.6,A31A1PVXLJBISZ,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3RANCT1ZVJXHYVTCNGMZF7UY9OFBUY,2,1
7,3,object_03,object_10,678.80000001192,6,1,-1.0,0.0,2,object_09,5,0,0,4,1,library_1,2,memory-2step-stake-s,513,1423525,0.0-19.0-0.0-0.7,A31A1PVXLJBISZ,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3RANCT1ZVJXHYVTCNGMZF7UY9OFBUY,6,5
8,1,object_08,object_02,815.10000002384,2,1,-1.0,0.0,2,object_09,5,0,0,7,0,desert_4,2,memory-2step-stake-s,514,1432045,0.0-19.0-0.0-0.8,A31A1PVXLJBISZ,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3RANCT1ZVJXHYVTCNGMZF7UY9OFBUY,2,1
9,1,object_02,object_08,334.69999998808,2,2,-1.0,0.0,2,object_09,5,0,0,7,1,desert_4,2,memory-2step-stake-s,515,1440565,0.0-19.0-0.0-0.9,A31A1PVXLJBISZ,31KPKEKW5DTYWQJ2Z73D1GA4ZNDB00,3RANCT1ZVJXHYVTCNGMZF7UY9OFBUY,1,2
