,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_02,object_05,955.0,3,1,-1.0,0.0,1,object_08,1,0,0,2,9,forest_5,2,memory-2step-stake-s,492,845242,0.0-19.0-0.0-0.0,A353XKDTUX10NC,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3C8HJ7UOPBAU3LRJKSBGAFK7VDJZM9,3,4
1,4,object_04,object_06,1378.0,7,2,-1.0,0.0,1,object_08,1,0,0,1,8,restaurant_3,2,memory-2step-stake-s,493,853761,0.0-19.0-0.0-0.1,A353XKDTUX10NC,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3C8HJ7UOPBAU3LRJKSBGAFK7VDJZM9,8,7
2,3,object_07,object_03,-1.0,-1,-1,-1.0,0.0,-,0,1,0,0,2,7,library_8,2,memory-2step-stake-s,494,860268,0.0-19.0-0.0-0.2,A353XKDTUX10NC,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3C8HJ7UOPBAU3LRJKSBGAFK7VDJZM9,6,5
3,2,object_05,object_02,743.0,4,1,-1.0,0.0,2,object_01,1,0,0,0,5,forest_7,2,memory-2step-stake-s,495,868785,0.0-19.0-0.0-0.3,A353XKDTUX10NC,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3C8HJ7UOPBAU3LRJKSBGAFK7VDJZM9,4,3
4,2,object_02,object_05,921.0,4,2,-1.0,0.0,2,object_01,5,0,0,3,7,forest_8,2,memory-2step-stake-s,496,877299,0.0-19.0-0.0-0.4,A353XKDTUX10NC,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3C8HJ7UOPBAU3LRJKSBGAFK7VDJZM9,3,4
5,3,object_03,object_07,1406.0,5,1,-1.0,0.0,1,object_08,1,0,0,2,5,library_6,2,memory-2step-stake-s,497,885814,0.0-19.0-0.0-0.5,A353XKDTUX10NC,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3C8HJ7UOPBAU3LRJKSBGAFK7VDJZM9,5,6
6,3,object_03,object_07,1017.0,6,2,-1.0,0.0,2,object_01,1,0,0,2,5,library_6,2,memory-2step-stake-s,498,894328,0.0-19.0-0.0-0.6,A353XKDTUX10NC,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3C8HJ7UOPBAU3LRJKSBGAFK7VDJZM9,5,6
7,2,object_02,object_05,1127.0,4,2,-1.0,0.0,2,object_01,5,0,0,3,4,forest_8,2,memory-2step-stake-s,499,902842,0.0-19.0-0.0-0.7,A353XKDTUX10NC,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3C8HJ7UOPBAU3LRJKSBGAFK7VDJZM9,3,4
8,1,object_10,object_09,987.0,1,2,-1.0,0.0,1,object_08,5,0,0,7,5,desert_2,2,memory-2step-stake-s,500,911356,0.0-19.0-0.0-0.8,A353XKDTUX10NC,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3C8HJ7UOPBAU3LRJKSBGAFK7VDJZM9,2,1
9,2,object_02,object_05,593.0,3,1,-1.0,0.0,1,object_08,5,0,0,6,4,forest_7,2,memory-2step-stake-s,501,919863,0.0-19.0-0.0-0.9,A353XKDTUX10NC,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3C8HJ7UOPBAU3LRJKSBGAFK7VDJZM9,3,4
10,1,object_09,object_10,1233.0,1,1,-1.0,0.0,1,object_08,1,0,0,5,2,desert_3,2,memory-2step-stake-s,502,928379,0.0-19.0-0.0-0.10,A353XKDTUX10NC,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3C8HJ7UOPBAU3LRJKSBGAFK7VDJZM9,1,2
11,4,object_06,object_04,-1.0,-1,-1,-1.0,0.0,-,0,1,0,0,6,3,restaurant_3,2,memory-2step-stake-s,503,934884,0.0-19.0-0.0-0.11,A353XKDTUX10NC,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3C8HJ7UOPBAU3LRJKSBGAFK7VDJZM9,7,8
12,2,object_05,object_02,746.0,4,1,-1.0,0.0,2,object_01,5,0,0,7,4,forest_5,2,memory-2step-stake-s,504,943400,0.0-19.0-0.0-0.12,A353XKDTUX10NC,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3C8HJ7UOPBAU3LRJKSBGAFK7VDJZM9,4,3
13,4,object_04,object_06,620.0,7,2,-1.0,0.0,1,object_08,5,0,0,7,4,restaurant_1,2,memory-2step-stake-s,505,951918,0.0-19.0-0.0-0.13,A353XKDTUX10NC,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3C8HJ7UOPBAU3LRJKSBGAFK7VDJZM9,8,7
14,4,object_04,object_06,1086.0,7,2,-1.0,0.0,1,object_08,1,0,0,4,3,restaurant_2,2,memory-2step-stake-s,506,960431,0.0-19.0-0.0-0.14,A353XKDTUX10NC,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3C8HJ7UOPBAU3LRJKSBGAFK7VDJZM9,8,7
15,1,object_10,object_09,1211.0,2,1,-1.0,0.0,2,object_01,5,0,0,4,4,desert_3,2,memory-2step-stake-s,507,968946,0.0-19.0-0.0-0.15,A353XKDTUX10NC,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3C8HJ7UOPBAU3LRJKSBGAFK7VDJZM9,2,1
16,4,object_06,object_04,879.0,7,1,-1.0,0.0,1,object_08,1,0,0,5,2,restaurant_2,2,memory-2step-stake-s,508,977460,0.0-19.0-0.0-0.16,A353XKDTUX10NC,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3C8HJ7UOPBAU3LRJKSBGAFK7VDJZM9,7,8
17,1,object_10,object_09,-1.0,-1,-1,-1.0,0.0,-,0,5,0,0,4,3,desert_8,2,memory-2step-stake-s,509,983965,0.0-19.0-0.0-0.17,A353XKDTUX10NC,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3C8HJ7UOPBAU3LRJKSBGAFK7VDJZM9,2,1
