,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_03,object_05,742.59999999404,7,1,1246.200000003,0.0,1,object_06,1,0,0,0,4,restaurant_6,1,memory-2step-stake-s,493,1043122,0.0-19.0-0.0-0.0,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,7,8
1,3,object_02,object_04,583.10000000894,5,1,853.10000000894,0.3333333333333333,1,object_06,5,15,0,3,4,library_7,1,memory-2step-stake-s,494,1051550,0.0-19.0-0.0-0.1,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,5,6
2,2,object_09,object_10,516.29999999702,4,1,1244.299999997,0.3333333333333333,2,object_01,1,18,0,1,3,forest_2,1,memory-2step-stake-s,495,1060370,0.0-19.0-0.0-0.2,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,4,3
3,4,object_03,object_05,336.90000000596,7,1,-1.0,0.0,1,object_06,5,18,0,3,4,restaurant_5,1,memory-2step-stake-s,496,1068927,0.0-19.0-0.0-0.3,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,7,8
4,1,object_07,object_08,606.80000001192,1,1,776.29999999702,0.4444444444444444,1,object_06,1,22,0,4,2,desert_4,1,memory-2step-stake-s,497,1077378,0.0-19.0-0.0-0.4,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,1,2
5,2,object_10,object_09,596.0,3,1,557.60000000894,0.3333333333333333,1,object_06,5,37,0,3,2,forest_3,1,memory-2step-stake-s,498,1085512,0.0-19.0-0.0-0.5,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,3,4
6,3,object_04,object_02,726.19999998808,6,1,926.60000000894,0.0,2,object_01,5,37,0,1,0,library_7,1,memory-2step-stake-s,499,1093697,0.0-19.0-0.0-0.6,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,6,5
7,4,object_03,object_05,634.70000000298,7,1,756.29999999702,0.3333333333333333,1,object_06,5,52,0,3,0,restaurant_1,1,memory-2step-stake-s,500,1102028,0.0-19.0-0.0-0.7,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,7,8
8,2,object_09,object_10,1233.599999994,3,2,1242.8999999911,0.1111111111111111,1,object_06,1,53,0,1,0,forest_5,1,memory-2step-stake-s,501,1110637,0.0-19.0-0.0-0.8,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,4,3
9,1,object_08,object_07,928.10000000894,1,2,713.70000000298,0.3333333333333333,1,object_06,1,56,0,3,2,desert_4,1,memory-2step-stake-s,502,1118926,0.0-19.0-0.0-0.9,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,2,1
10,4,object_05,object_03,1078.0,7,2,457.59999999404,0.1111111111111111,1,object_06,5,61,0,1,3,restaurant_2,1,memory-2step-stake-s,503,1126745,0.0-19.0-0.0-0.10,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,8,7
11,1,object_07,object_08,1227.599999994,1,1,677.09999999404,0.2222222222222222,1,object_06,1,63,0,2,4,desert_4,1,memory-2step-stake-s,504,1134885,0.0-19.0-0.0-0.11,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,1,2
12,2,object_10,object_09,971.20000000298,3,1,913.70000000298,0.2222222222222222,1,object_06,1,65,0,2,1,forest_5,1,memory-2step-stake-s,505,1143256,0.0-19.0-0.0-0.12,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,3,4
13,4,object_05,object_03,814.0,8,1,585.59999999404,0.1111111111111111,2,object_01,1,66,0,2,1,restaurant_1,1,memory-2step-stake-s,506,1151193,0.0-19.0-0.0-0.13,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,8,7
14,3,object_02,object_04,848.40000000596,6,2,662.90000000596,0.3333333333333333,2,object_01,5,81,0,1,3,library_8,1,memory-2step-stake-s,507,1159401,0.0-19.0-0.0-0.14,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,5,6
15,2,object_09,object_10,824.79999999702,4,1,526.10000000894,0.5555555555555556,2,object_01,1,86,0,1,5,forest_5,1,memory-2step-stake-s,508,1167682,0.0-19.0-0.0-0.15,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,4,3
16,4,object_05,object_03,891.40000000596,8,1,641.39999999106,0.6666666666666666,2,object_01,1,92,0,1,6,restaurant_1,1,memory-2step-stake-s,509,1176179,0.0-19.0-0.0-0.16,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,8,7
17,1,object_08,object_07,909.60000000894,2,1,455.29999999702,0.0,2,object_01,1,92,0,1,0,desert_3,1,memory-2step-stake-s,510,1183867,0.0-19.0-0.0-0.17,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,2,1
18,2,object_10,object_09,659.5,4,2,-1.0,0.0,2,object_01,5,92,0,3,4,forest_3,1,memory-2step-stake-s,511,1192396,0.0-19.0-0.0-0.18,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,3,4
19,4,object_05,object_03,794.39999999106,8,1,598.0,0.8888888888888888,2,object_01,5,132,0,2,8,restaurant_1,1,memory-2step-stake-s,512,1201063,0.0-19.0-0.0-0.19,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,8,7
20,1,object_08,object_07,800.89999999106,2,1,501.80000001192,0.8888888888888888,2,object_01,1,140,0,1,8,desert_3,1,memory-2step-stake-s,513,1209630,0.0-19.0-0.0-0.20,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,2,1
21,4,object_03,object_05,826.10000000894,8,2,575.5,0.6666666666666666,2,object_01,5,170,0,2,6,restaurant_2,1,memory-2step-stake-s,514,1218068,0.0-19.0-0.0-0.21,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,7,8
22,1,object_07,object_08,917.5,2,2,464.69999998808,0.7777777777777778,2,object_01,1,177,0,4,7,desert_1,1,memory-2step-stake-s,515,1226496,0.0-19.0-0.0-0.22,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,1,2
23,1,object_08,object_07,703.19999998808,2,1,473.30000001192,0.7777777777777778,2,object_01,1,184,0,3,7,desert_4,1,memory-2step-stake-s,516,1234934,0.0-19.0-0.0-0.23,A36T7N6CT9GUCG,3MQKOF1EF54KJDI76AN431783D3WDT,39PAAFCODQGH7WCTSSNPBN23T2STVZ,2,1
