,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_07,object_01,1131.8000000119,8,2,-1.0,0.0,2,object_03,1,0,0,5,3,restaurant_7,2,memory-2step-stake-s,495,982084,0.0-19.0-0.0-0.0,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,7,8
1,3,object_02,object_09,877.19999998808,6,2,-1.0,0.0,2,object_03,1,0,0,6,7,library_3,2,memory-2step-stake-s,496,990669,0.0-19.0-0.0-0.1,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,5,6
2,1,object_04,object_10,900.29999995232,1,1,323.09999996424,0.5555555555555556,1,object_06,1,5,0,5,9,desert_7,2,memory-2step-stake-s,497,998884,0.0-19.0-0.0-0.2,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,1,2
3,2,object_05,object_08,680.60000002384,4,2,737.69999998808,0.6666666666666666,2,object_03,5,35,0,1,6,forest_8,2,memory-2step-stake-s,498,1007579,0.0-19.0-0.0-0.3,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,3,4
4,4,object_07,object_01,496.10000002384,7,1,323.79999995232,0.3333333333333333,1,object_06,1,38,0,3,7,restaurant_8,2,memory-2step-stake-s,499,1015559,0.0-19.0-0.0-0.4,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,7,8
5,1,object_10,object_04,1026.0,2,1,391.10000002384,0.7777777777777778,2,object_03,5,73,0,2,7,desert_8,2,memory-2step-stake-s,500,1023991,0.0-19.0-0.0-0.5,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,2,1
6,2,object_05,object_08,575.80000001192,4,2,484.19999998808,0.4444444444444444,2,object_03,1,77,0,3,4,forest_2,2,memory-2step-stake-s,501,1032208,0.0-19.0-0.0-0.6,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,3,4
7,4,object_07,object_01,1184.8000000119,8,2,509.60000002384,0.6666666666666666,2,object_03,1,83,0,6,6,restaurant_7,2,memory-2step-stake-s,502,1040644,0.0-19.0-0.0-0.7,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,7,8
8,1,object_04,object_10,929.90000003576,1,1,387.40000003576,1.0,1,object_06,1,92,0,9,8,desert_8,2,memory-2step-stake-s,503,1049274,0.0-19.0-0.0-0.8,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,1,2
9,4,object_01,object_07,740.30000001192,7,2,442.79999995232,0.6666666666666666,1,object_06,5,122,0,6,7,restaurant_5,2,memory-2step-stake-s,504,1057685,0.0-19.0-0.0-0.9,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,8,7
10,3,object_09,object_02,653.39999997616,6,1,447.40000003576,0.8888888888888888,2,object_03,1,130,0,3,8,library_1,2,memory-2step-stake-s,505,1066304,0.0-19.0-0.0-0.10,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,6,5
11,4,object_07,object_01,632.09999996424,8,2,447.69999998808,0.5555555555555556,2,object_03,1,135,0,5,5,restaurant_8,2,memory-2step-stake-s,506,1074585,0.0-19.0-0.0-0.11,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,7,8
12,1,object_04,object_10,897.79999995232,2,2,752.30000001192,0.5555555555555556,2,object_03,5,160,0,6,5,desert_6,2,memory-2step-stake-s,507,1083153,0.0-19.0-0.0-0.12,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,1,2
13,2,object_05,object_08,732.69999998808,3,1,520.29999995232,0.7777777777777778,1,object_06,5,195,0,7,8,forest_2,2,memory-2step-stake-s,508,1091742,0.0-19.0-0.0-0.13,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,3,4
14,2,object_08,object_05,591.90000003576,4,1,673.89999997616,0.8888888888888888,2,object_03,5,235,0,6,8,forest_8,2,memory-2step-stake-s,509,1100592,0.0-19.0-0.0-0.14,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,4,3
15,4,object_07,object_01,599.70000004768,7,1,403.39999997616,0.1111111111111111,1,object_06,5,240,0,1,8,restaurant_2,2,memory-2step-stake-s,510,1108394,0.0-19.0-0.0-0.15,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,7,8
16,2,object_08,object_05,986.10000002384,3,2,432.80000001192,0.5555555555555556,1,object_06,5,265,0,5,7,forest_2,2,memory-2step-stake-s,511,1116644,0.0-19.0-0.0-0.16,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,4,3
17,1,object_10,object_04,848.39999997616,2,1,395.30000001192,0.8888888888888888,2,object_03,5,305,0,3,8,desert_6,2,memory-2step-stake-s,512,1125163,0.0-19.0-0.0-0.17,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,2,1
18,3,object_02,object_09,598.0,6,2,497.40000003576,0.8888888888888888,2,object_03,1,313,0,6,8,library_1,2,memory-2step-stake-s,513,1133851,0.0-19.0-0.0-0.18,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,5,6
19,2,object_08,object_05,820.39999997616,4,1,552.89999997616,0.8888888888888888,2,object_03,1,321,0,8,8,forest_8,2,memory-2step-stake-s,514,1142568,0.0-19.0-0.0-0.19,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,4,3
20,2,object_08,object_05,896.5,3,2,886.5,1.0,1,object_06,5,366,0,9,6,forest_1,2,memory-2step-stake-s,515,1151724,0.0-19.0-0.0-0.20,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,4,3
21,4,object_01,object_07,636.40000003576,8,1,618.0,0.4444444444444444,2,object_03,1,370,0,8,4,restaurant_5,2,memory-2step-stake-s,516,1160075,0.0-19.0-0.0-0.21,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,8,7
22,2,object_05,object_08,804.39999997616,4,2,451.40000003576,0.4444444444444444,2,object_03,1,374,0,5,4,forest_1,2,memory-2step-stake-s,517,1168230,0.0-19.0-0.0-0.22,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,3,4
23,1,object_04,object_10,905.89999997616,1,1,534.60000002384,0.4444444444444444,1,object_06,5,394,0,4,5,desert_4,2,memory-2step-stake-s,518,1176462,0.0-19.0-0.0-0.23,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,1,2
24,4,object_01,object_07,778.39999997616,7,2,391.80000001192,0.5555555555555556,1,object_06,5,419,0,5,2,restaurant_5,2,memory-2step-stake-s,519,1184676,0.0-19.0-0.0-0.24,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,8,7
25,3,object_09,object_02,532.89999997616,6,1,404.80000001192,0.2222222222222222,2,object_03,1,421,0,3,2,library_3,2,memory-2step-stake-s,520,1192595,0.0-19.0-0.0-0.25,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,6,5
26,1,object_10,object_04,915.09999996424,2,1,-1.0,0.0,2,object_03,5,421,0,3,4,desert_6,2,memory-2step-stake-s,521,1201165,0.0-19.0-0.0-0.26,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,2,1
27,4,object_07,object_01,734.5,7,1,625.09999996424,0.2222222222222222,1,object_06,1,423,0,2,3,restaurant_5,2,memory-2step-stake-s,522,1209302,0.0-19.0-0.0-0.27,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,7,8
28,4,object_01,object_07,805.30000001192,8,1,347.10000002384,0.3333333333333333,2,object_03,5,438,0,1,3,restaurant_2,2,memory-2step-stake-s,523,1217269,0.0-19.0-0.0-0.28,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,8,7
29,3,object_02,object_09,847.39999997616,5,1,601.39999997616,0.3333333333333333,1,object_06,5,453,0,3,4,library_6,2,memory-2step-stake-s,524,1225488,0.0-19.0-0.0-0.29,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,5,6
30,3,object_02,object_09,827.19999998808,5,1,308.30000001192,0.1111111111111111,1,object_06,1,454,0,1,3,library_8,2,memory-2step-stake-s,525,1233185,0.0-19.0-0.0-0.30,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,5,6
31,3,object_02,object_09,794.30000001192,6,2,579.69999998808,0.4444444444444444,2,object_03,5,474,0,2,4,library_8,2,memory-2step-stake-s,526,1241488,0.0-19.0-0.0-0.31,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,5,6
32,3,object_02,object_09,728.5,6,2,345.09999996424,0.6666666666666666,2,object_03,1,480,0,2,6,library_6,2,memory-2step-stake-s,527,1249803,0.0-19.0-0.0-0.32,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,5,6
33,1,object_04,object_10,628.19999998808,2,2,1426.3000000119,0.8888888888888888,2,object_03,5,520,0,2,8,desert_7,2,memory-2step-stake-s,528,1259397,0.0-19.0-0.0-0.33,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,1,2
34,1,object_10,object_04,649.69999998808,2,1,717.39999997616,0.7777777777777778,2,object_03,5,555,0,1,7,desert_8,2,memory-2step-stake-s,529,1268159,0.0-19.0-0.0-0.34,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,2,1
35,1,object_10,object_04,466.0,1,2,547.59999996424,0.3333333333333333,1,object_06,5,570,0,3,7,desert_4,2,memory-2step-stake-s,530,1276336,0.0-19.0-0.0-0.35,A37PUSY6CJ7TQ0,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3OXV7EAXLI6RTPZYC59QHII6IAN633,2,1
