,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_02,object_06,753.0,4,2,-1.0,0.0,2,object_01,5,0,0,0,9,forest_5,2,memory-2step-stake-s,500,1002849,0.0-19.0-0.0-0.0,A38I0E8UK53ME5,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3OLF68YTNDHNW3RUMDR4YW9PHJEAF2,3,4
1,3,object_09,object_08,638.0,5,2,485.0,0.0,1,object_10,1,0,0,0,7,library_5,2,memory-2step-stake-s,501,1010608,0.0-19.0-0.0-0.1,A38I0E8UK53ME5,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3OLF68YTNDHNW3RUMDR4YW9PHJEAF2,6,5
2,2,object_06,object_02,526.0,4,1,980.0,0.5555555555555556,2,object_01,5,25,0,1,5,forest_2,2,memory-2step-stake-s,502,1019428,0.0-19.0-0.0-0.2,A38I0E8UK53ME5,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3OLF68YTNDHNW3RUMDR4YW9PHJEAF2,4,3
3,1,object_04,object_03,838.0,1,2,308.0,0.1111111111111111,1,object_10,5,30,0,1,3,desert_3,2,memory-2step-stake-s,503,1027138,0.0-19.0-0.0-0.3,A38I0E8UK53ME5,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3OLF68YTNDHNW3RUMDR4YW9PHJEAF2,2,1
4,3,object_08,object_09,893.0,6,2,452.0,1.0,2,object_01,1,39,0,4,9,library_5,2,memory-2step-stake-s,504,1035888,0.0-19.0-0.0-0.4,A38I0E8UK53ME5,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3OLF68YTNDHNW3RUMDR4YW9PHJEAF2,5,6
5,1,object_03,object_04,1284.0,1,1,881.0,0.3333333333333333,1,object_10,5,54,0,3,9,desert_5,2,memory-2step-stake-s,505,1044418,0.0-19.0-0.0-0.5,A38I0E8UK53ME5,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3OLF68YTNDHNW3RUMDR4YW9PHJEAF2,1,2
6,2,object_06,object_02,738.0,3,2,473.0,0.0,1,object_10,5,54,0,0,5,forest_6,2,memory-2step-stake-s,506,1052158,0.0-19.0-0.0-0.6,A38I0E8UK53ME5,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3OLF68YTNDHNW3RUMDR4YW9PHJEAF2,4,3
7,3,object_09,object_08,714.0,5,2,337.0,0.2222222222222222,1,object_10,1,56,0,2,7,library_6,2,memory-2step-stake-s,507,1059978,0.0-19.0-0.0-0.7,A38I0E8UK53ME5,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3OLF68YTNDHNW3RUMDR4YW9PHJEAF2,6,5
8,1,object_03,object_04,904.0,1,1,350.0,0.0,1,object_10,5,56,0,0,8,desert_2,2,memory-2step-stake-s,508,1067658,0.0-19.0-0.0-0.8,A38I0E8UK53ME5,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3OLF68YTNDHNW3RUMDR4YW9PHJEAF2,1,2
9,3,object_09,object_08,877.0,5,2,522.0,0.0,1,object_10,1,56,0,0,6,library_1,2,memory-2step-stake-s,509,1075497,0.0-19.0-0.0-0.9,A38I0E8UK53ME5,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3OLF68YTNDHNW3RUMDR4YW9PHJEAF2,6,5
10,2,object_06,object_02,615.0,4,1,557.0,0.8888888888888888,2,object_01,1,64,0,2,8,forest_5,2,memory-2step-stake-s,510,1084197,0.0-19.0-0.0-0.10,A38I0E8UK53ME5,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3OLF68YTNDHNW3RUMDR4YW9PHJEAF2,4,3
11,2,object_02,object_06,1144.0,4,2,292.0,0.7777777777777778,2,object_01,5,99,0,1,7,forest_1,2,memory-2step-stake-s,511,1092518,0.0-19.0-0.0-0.11,A38I0E8UK53ME5,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3OLF68YTNDHNW3RUMDR4YW9PHJEAF2,3,4
12,1,object_04,object_03,873.0,2,1,540.0,0.5555555555555556,2,object_01,5,124,0,1,5,desert_2,2,memory-2step-stake-s,512,1100868,0.0-19.0-0.0-0.12,A38I0E8UK53ME5,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3OLF68YTNDHNW3RUMDR4YW9PHJEAF2,2,1
13,4,object_05,object_07,1144.0,8,2,474.0,0.8888888888888888,2,object_01,1,132,0,3,8,restaurant_7,2,memory-2step-stake-s,513,1109507,0.0-19.0-0.0-0.13,A38I0E8UK53ME5,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3OLF68YTNDHNW3RUMDR4YW9PHJEAF2,7,8
14,2,object_02,object_06,488.0,4,2,427.0,0.6666666666666666,2,object_01,5,162,0,4,6,forest_6,2,memory-2step-stake-s,514,1117827,0.0-19.0-0.0-0.14,A38I0E8UK53ME5,3HRWUH63RXIZS6U0Z3EY966PXK25N4,3OLF68YTNDHNW3RUMDR4YW9PHJEAF2,3,4
