,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_08,object_02,627.80000001192,2,1,832.80000001192,0.2222222222222222,2,object_03,5,10,0,7,2,desert_8,2,memory-2step-stake-s,490,862870,0.0-19.0-0.0-0.0,A39CG6GXC2ZJXB,371DNNCG57IGA1IMUX7DUPM8OSP8TA,37C0GNLMHJJPBH1V5UF2UR4I9NC6D1,2,1
1,2,object_05,object_09,694.0,4,2,683.0,0.3333333333333333,2,object_03,5,25,0,6,3,forest_5,2,memory-2step-stake-s,491,871181,0.0-19.0-0.0-0.1,A39CG6GXC2ZJXB,371DNNCG57IGA1IMUX7DUPM8OSP8TA,37C0GNLMHJJPBH1V5UF2UR4I9NC6D1,3,4
2,3,object_06,object_07,535.5,6,1,448.69999998808,0.3333333333333333,2,object_03,1,28,0,6,3,library_1,2,memory-2step-stake-s,492,879265,0.0-19.0-0.0-0.2,A39CG6GXC2ZJXB,371DNNCG57IGA1IMUX7DUPM8OSP8TA,37C0GNLMHJJPBH1V5UF2UR4I9NC6D1,6,5
3,4,object_01,object_10,600.69999998808,7,1,471.59999996424,1.0,1,object_04,1,37,0,9,3,restaurant_3,2,memory-2step-stake-s,493,888011,0.0-19.0-0.0-0.3,A39CG6GXC2ZJXB,371DNNCG57IGA1IMUX7DUPM8OSP8TA,37C0GNLMHJJPBH1V5UF2UR4I9NC6D1,7,8
4,2,object_09,object_05,598.30000001192,3,2,665.30000001192,0.7777777777777778,1,object_04,5,72,0,7,0,forest_5,2,memory-2step-stake-s,494,896736,0.0-19.0-0.0-0.4,A39CG6GXC2ZJXB,371DNNCG57IGA1IMUX7DUPM8OSP8TA,37C0GNLMHJJPBH1V5UF2UR4I9NC6D1,4,3
5,1,object_02,object_08,899.69999998808,2,2,649.60000002384,0.1111111111111111,2,object_03,5,77,0,6,1,desert_4,2,memory-2step-stake-s,495,904810,0.0-19.0-0.0-0.5,A39CG6GXC2ZJXB,371DNNCG57IGA1IMUX7DUPM8OSP8TA,37C0GNLMHJJPBH1V5UF2UR4I9NC6D1,1,2
6,1,object_02,object_08,1030.8000000119,1,1,379.60000002384,0.6666666666666666,1,object_04,1,83,0,6,1,desert_7,2,memory-2step-stake-s,496,913138,0.0-19.0-0.0-0.6,A39CG6GXC2ZJXB,371DNNCG57IGA1IMUX7DUPM8OSP8TA,37C0GNLMHJJPBH1V5UF2UR4I9NC6D1,1,2
7,2,object_05,object_09,901.5,4,2,451.89999997616,0.0,2,object_03,5,83,0,7,0,forest_2,2,memory-2step-stake-s,497,920868,0.0-19.0-0.0-0.7,A39CG6GXC2ZJXB,371DNNCG57IGA1IMUX7DUPM8OSP8TA,37C0GNLMHJJPBH1V5UF2UR4I9NC6D1,3,4
8,3,object_07,object_06,1219.5999999642,5,1,384.40000003576,1.0,1,object_04,5,128,0,9,3,library_4,2,memory-2step-stake-s,498,929564,0.0-19.0-0.0-0.8,A39CG6GXC2ZJXB,371DNNCG57IGA1IMUX7DUPM8OSP8TA,37C0GNLMHJJPBH1V5UF2UR4I9NC6D1,5,6
9,3,object_07,object_06,579.5,5,1,468.5,0.8888888888888888,1,object_04,1,136,0,8,4,library_1,2,memory-2step-stake-s,499,938212,0.0-19.0-0.0-0.9,A39CG6GXC2ZJXB,371DNNCG57IGA1IMUX7DUPM8OSP8TA,37C0GNLMHJJPBH1V5UF2UR4I9NC6D1,5,6
