,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_08,object_04,1470.0,8,1,-1.0,0.0,2,object_01,5,0,0,5,1,restaurant_8,2,memory-2step-stake-s,496,1121057,0.0-19.0-0.0-0.0,A3BJ95HQQ28GTE,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3ZV9H2YQQHNPN4E43NMUFCHJ6DOW34,8,7
1,3,object_03,object_10,734.0,5,2,559.0,0.4444444444444444,1,object_09,1,4,0,4,1,library_1,2,memory-2step-stake-s,497,1129338,0.0-19.0-0.0-0.1,A3BJ95HQQ28GTE,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3ZV9H2YQQHNPN4E43NMUFCHJ6DOW34,6,5
2,3,object_03,object_10,563.0,6,1,432.0,0.1111111111111111,2,object_01,5,9,0,4,1,library_8,2,memory-2step-stake-s,498,1137154,0.0-19.0-0.0-0.2,A3BJ95HQQ28GTE,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3ZV9H2YQQHNPN4E43NMUFCHJ6DOW34,6,5
3,4,object_04,object_08,703.0,8,2,534.0,0.5555555555555556,2,object_01,1,14,0,6,5,restaurant_1,2,memory-2step-stake-s,499,1145487,0.0-19.0-0.0-0.3,A3BJ95HQQ28GTE,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3ZV9H2YQQHNPN4E43NMUFCHJ6DOW34,7,8
4,2,object_06,object_05,410.0,3,1,518.0,0.6666666666666666,1,object_09,5,44,0,6,4,forest_7,2,memory-2step-stake-s,500,1153919,0.0-19.0-0.0-0.4,A3BJ95HQQ28GTE,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3ZV9H2YQQHNPN4E43NMUFCHJ6DOW34,3,4
5,1,object_02,object_07,315.0,2,2,541.0,0.5555555555555556,2,object_01,5,69,0,9,5,desert_7,2,memory-2step-stake-s,501,1162287,0.0-19.0-0.0-0.5,A3BJ95HQQ28GTE,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3ZV9H2YQQHNPN4E43NMUFCHJ6DOW34,1,2
6,3,object_03,object_10,359.0,6,1,570.0,0.4444444444444444,2,object_01,5,89,0,9,4,library_6,2,memory-2step-stake-s,502,1170553,0.0-19.0-0.0-0.6,A3BJ95HQQ28GTE,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3ZV9H2YQQHNPN4E43NMUFCHJ6DOW34,6,5
7,1,object_02,object_07,969.0,2,2,751.0,0.2222222222222222,2,object_01,1,91,0,8,2,desert_1,2,memory-2step-stake-s,503,1178786,0.0-19.0-0.0-0.7,A3BJ95HQQ28GTE,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3ZV9H2YQQHNPN4E43NMUFCHJ6DOW34,1,2
8,3,object_03,object_10,970.0,6,1,596.0,0.1111111111111111,2,object_01,5,96,0,5,1,library_1,2,memory-2step-stake-s,504,1186786,0.0-19.0-0.0-0.8,A3BJ95HQQ28GTE,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3ZV9H2YQQHNPN4E43NMUFCHJ6DOW34,6,5
9,2,object_06,object_05,1000.0,3,1,592.0,0.5555555555555556,1,object_09,5,121,0,5,3,forest_7,2,memory-2step-stake-s,505,1195186,0.0-19.0-0.0-0.9,A3BJ95HQQ28GTE,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3ZV9H2YQQHNPN4E43NMUFCHJ6DOW34,3,4
