,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_07,object_05,-1.0,-1,-1,-1.0,0.0,-,0,5,0,0,4,5,desert_3,2,memory-2step-stake-s,499,1109812,0.0-19.0-0.0-0.0,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,2,1
1,3,object_01,object_04,841.75000002142,6,2,-1.0,0.0,2,object_09,1,0,0,7,6,library_2,2,memory-2step-stake-s,500,1118356,0.0-19.0-0.0-0.1,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,5,6
2,1,object_07,object_05,686.78500002716,1,2,-1.0,0.0,1,object_06,5,0,0,3,5,desert_6,2,memory-2step-stake-s,501,1126885,0.0-19.0-0.0-0.2,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,2,1
3,2,object_10,object_08,779.14000005694,3,2,-1.0,0.0,1,object_06,5,0,0,2,4,forest_5,2,memory-2step-stake-s,502,1135406,0.0-19.0-0.0-0.3,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,4,3
4,4,object_03,object_02,577.6949999854,8,1,764.06499999575,0.4444444444444444,2,object_09,5,20,0,5,4,restaurant_4,2,memory-2step-stake-s,503,1143823,0.0-19.0-0.0-0.4,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,8,7
5,3,object_04,object_01,596.98500001105,5,2,675.0250000041,0.4444444444444444,1,object_06,5,40,0,4,2,library_4,2,memory-2step-stake-s,504,1152144,0.0-19.0-0.0-0.5,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,6,5
6,2,object_10,object_08,399.15499999188,4,1,582.48500002082,0.6666666666666666,2,object_09,5,70,0,8,6,forest_5,2,memory-2step-stake-s,505,1160603,0.0-19.0-0.0-0.6,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,4,3
7,3,object_04,object_01,613.8299999875,5,2,485.8200000017,0.5555555555555556,1,object_06,5,95,0,5,4,library_1,2,memory-2step-stake-s,506,1168853,0.0-19.0-0.0-0.7,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,6,5
8,4,object_02,object_03,537.14499995112,8,2,695.07999997586,0.6666666666666666,2,object_09,1,101,0,4,6,restaurant_5,2,memory-2step-stake-s,507,1177398,0.0-19.0-0.0-0.8,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,7,8
9,2,object_08,object_10,512.17000000179,3,1,768.3599999873,0.5555555555555556,1,object_06,5,126,0,5,4,forest_8,2,memory-2step-stake-s,508,1185922,0.0-19.0-0.0-0.9,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,3,4
10,3,object_04,object_01,572.91499996791,5,2,763.54000001447,0.8888888888888888,1,object_06,1,134,0,8,5,library_1,2,memory-2step-stake-s,509,1194756,0.0-19.0-0.0-0.10,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,6,5
11,3,object_04,object_01,724.24000001047,5,2,1382.1199999657,1.0,1,object_06,1,143,0,9,5,library_2,2,memory-2step-stake-s,510,1204298,0.0-19.0-0.0-0.11,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,6,5
12,4,object_03,object_02,479.21000001952,8,1,917.79500001576,0.1111111111111111,2,object_09,1,144,0,8,1,restaurant_7,2,memory-2step-stake-s,511,1212551,0.0-19.0-0.0-0.12,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,8,7
13,1,object_07,object_05,1187.0000000345,2,1,1024.4800000219,0.0,2,object_09,5,144,0,8,0,desert_6,2,memory-2step-stake-s,512,1220816,0.0-19.0-0.0-0.13,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,2,1
14,4,object_03,object_02,874.98999998206,8,1,516.87500003027,0.2222222222222222,2,object_09,1,146,0,8,2,restaurant_5,2,memory-2step-stake-s,513,1228788,0.0-19.0-0.0-0.14,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,8,7
15,4,object_02,object_03,1334.7649999778,8,2,599.71500001848,0.2222222222222222,2,object_09,1,148,0,8,2,restaurant_8,2,memory-2step-stake-s,514,1236829,0.0-19.0-0.0-0.15,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,7,8
16,1,object_05,object_07,1140.8149999916,1,1,818.99500003783,0.6666666666666666,1,object_06,5,178,0,6,2,desert_6,2,memory-2step-stake-s,515,1245512,0.0-19.0-0.0-0.16,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,1,2
17,3,object_04,object_01,964.67499999562,6,1,822.71499995841,0.5555555555555556,2,object_09,1,183,0,1,5,library_1,2,memory-2step-stake-s,516,1254087,0.0-19.0-0.0-0.17,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,6,5
18,3,object_01,object_04,1056.6150000086,5,1,887.42500002263,0.1111111111111111,1,object_06,1,184,0,1,4,library_8,2,memory-2step-stake-s,517,1262314,0.0-19.0-0.0-0.18,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,5,6
19,2,object_08,object_10,665.84999999031,3,1,747.47000000207,0.3333333333333333,1,object_06,1,187,0,3,5,forest_5,2,memory-2step-stake-s,518,1270590,0.0-19.0-0.0-0.19,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,3,4
20,1,object_05,object_07,736.81500001112,1,1,634.05500003137,0.4444444444444444,1,object_06,5,207,0,4,5,desert_1,2,memory-2step-stake-s,519,1278876,0.0-19.0-0.0-0.20,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,1,2
21,1,object_05,object_07,634.09999996657,2,2,527.26000000257,0.2222222222222222,2,object_09,5,217,0,5,2,desert_4,2,memory-2step-stake-s,520,1286844,0.0-19.0-0.0-0.21,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,1,2
22,3,object_04,object_01,1140.8400000073,5,2,706.2600000063,0.5555555555555556,1,object_06,5,242,0,5,2,library_4,2,memory-2step-stake-s,521,1295298,0.0-19.0-0.0-0.22,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,6,5
23,3,object_04,object_01,982.44499997236,5,2,447.11499998812,0.8888888888888888,1,object_06,1,250,0,8,2,library_4,2,memory-2step-stake-s,522,1303805,0.0-19.0-0.0-0.23,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,6,5
24,2,object_08,object_10,1260.0550000207,3,1,626.0300000431,0.4444444444444444,1,object_06,5,270,0,4,4,forest_8,2,memory-2step-stake-s,523,1312085,0.0-19.0-0.0-0.24,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,3,4
25,4,object_03,object_02,850.83999997005,7,2,979.04999996535,0.2222222222222222,1,object_06,1,272,0,2,7,restaurant_8,2,memory-2step-stake-s,524,1320505,0.0-19.0-0.0-0.25,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,8,7
26,1,object_05,object_07,1340.7200000365,1,1,778.69499998633,0.1111111111111111,1,object_06,5,277,0,1,3,desert_3,2,memory-2step-stake-s,525,1328627,0.0-19.0-0.0-0.26,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,1,2
27,2,object_10,object_08,975.01499997452,3,2,524.92499997607,0.2222222222222222,1,object_06,5,287,0,2,5,forest_3,2,memory-2step-stake-s,526,1336581,0.0-19.0-0.0-0.27,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,4,3
28,3,object_01,object_04,1157.9350000247,5,1,604.44499994628,0.5555555555555556,1,object_06,1,292,0,5,6,library_8,2,memory-2step-stake-s,527,1344951,0.0-19.0-0.0-0.28,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,5,6
29,1,object_07,object_05,814.37999999616,1,2,435.78999995952,0.4444444444444444,1,object_06,5,312,0,4,7,desert_1,2,memory-2step-stake-s,528,1353042,0.0-19.0-0.0-0.29,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,2,1
30,1,object_07,object_05,1170.8549999748,2,1,713.19999999832,0.8888888888888888,2,object_09,1,320,0,4,8,desert_3,2,memory-2step-stake-s,529,1361831,0.0-19.0-0.0-0.30,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,2,1
31,2,object_08,object_10,1251.8300000229,4,2,770.30999999261,0.7777777777777778,2,object_09,5,355,0,8,7,forest_2,2,memory-2step-stake-s,530,1370569,0.0-19.0-0.0-0.31,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,3,4
32,1,object_05,object_07,992.44000000181,2,2,539.79499998968,0.7777777777777778,2,object_09,5,390,0,8,7,desert_4,2,memory-2step-stake-s,531,1379067,0.0-19.0-0.0-0.32,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,1,2
33,1,object_05,object_07,892.25500001339,2,2,-1.0,0.0,2,object_09,5,390,0,7,9,desert_6,2,memory-2step-stake-s,532,1387594,0.0-19.0-0.0-0.33,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,1,2
34,3,object_01,object_04,755.33000001451,5,1,1156.1399999773,0.6666666666666666,1,object_06,1,396,0,6,9,library_1,2,memory-2step-stake-s,533,1396597,0.0-19.0-0.0-0.34,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,5,6
35,4,object_02,object_03,875.46499999007,8,2,853.82499999832,0.7777777777777778,2,object_09,1,403,0,5,7,restaurant_7,2,memory-2step-stake-s,534,1405404,0.0-19.0-0.0-0.35,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,7,8
36,4,object_02,object_03,1048.9999999991,8,2,455.6599999778,0.7777777777777778,2,object_09,1,410,0,9,7,restaurant_7,2,memory-2step-stake-s,535,1413816,0.0-19.0-0.0-0.36,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,7,8
37,2,object_10,object_08,1000.1749999938,3,2,574.00000002235,0.8888888888888888,1,object_06,5,450,0,8,8,forest_2,2,memory-2step-stake-s,536,1422454,0.0-19.0-0.0-0.37,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,4,3
38,4,object_03,object_02,1038.0649999715,7,2,596.14999999758,0.8888888888888888,1,object_06,1,458,0,8,5,restaurant_4,2,memory-2step-stake-s,537,1431111,0.0-19.0-0.0-0.38,A3BU69EKYL6SH3,30UZJB2PPKSSO21QHKUJ0S8JS3B35M,3L0KT67Y8IWXWQUJ835J8HAB90CSYE,8,7
