,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_01,object_08,800.19999998808,2,2,-1.0,0.0,2,object_10,5,0,0,2,5,desert_5,2,memory-2step-stake-s,498,3024935,0.0-19.0-0.0-0.0,A3CGQOJC28OVGN,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3TMSXRD2XAGTD10PGJ8BRJ2MG0KW18,1,2
1,2,object_04,object_05,818.29999998212,4,1,563.0,0.4444444444444444,2,object_10,1,4,0,1,4,forest_7,2,memory-2step-stake-s,499,3033142,0.0-19.0-0.0-0.1,A3CGQOJC28OVGN,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3TMSXRD2XAGTD10PGJ8BRJ2MG0KW18,4,3
2,1,object_08,object_01,710.90000000596,1,2,830.29999998212,0.3333333333333333,1,object_02,1,7,0,3,5,desert_5,2,memory-2step-stake-s,500,3041512,0.0-19.0-0.0-0.2,A3CGQOJC28OVGN,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3TMSXRD2XAGTD10PGJ8BRJ2MG0KW18,2,1
3,2,object_05,object_04,705.89999997616,4,2,502.29999998212,0.5555555555555556,2,object_10,5,32,0,3,5,forest_7,2,memory-2step-stake-s,501,3049750,0.0-19.0-0.0-0.3,A3CGQOJC28OVGN,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3TMSXRD2XAGTD10PGJ8BRJ2MG0KW18,3,4
4,3,object_09,object_06,881.90000000596,5,1,835.69999998808,0.3333333333333333,1,object_02,1,35,0,3,6,library_8,2,memory-2step-stake-s,502,3058124,0.0-19.0-0.0-0.4,A3CGQOJC28OVGN,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3TMSXRD2XAGTD10PGJ8BRJ2MG0KW18,5,6
5,2,object_04,object_05,792.19999998808,3,2,676.40000000596,0.3333333333333333,1,object_02,5,50,0,3,6,forest_1,2,memory-2step-stake-s,503,3066335,0.0-19.0-0.0-0.5,A3CGQOJC28OVGN,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3TMSXRD2XAGTD10PGJ8BRJ2MG0KW18,4,3
6,4,object_03,object_07,1052.0,8,1,1059.0,0.6666666666666666,2,object_10,5,80,0,2,6,restaurant_5,2,memory-2step-stake-s,504,3075230,0.0-19.0-0.0-0.6,A3CGQOJC28OVGN,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3TMSXRD2XAGTD10PGJ8BRJ2MG0KW18,8,7
7,3,object_09,object_06,1040.0,6,2,649.0,0.6666666666666666,2,object_10,5,110,0,0,6,library_8,2,memory-2step-stake-s,505,3083717,0.0-19.0-0.0-0.7,A3CGQOJC28OVGN,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3TMSXRD2XAGTD10PGJ8BRJ2MG0KW18,5,6
8,3,object_06,object_09,780.19999998808,6,1,573.40000000596,0.3333333333333333,2,object_10,1,113,0,3,3,library_8,2,memory-2step-stake-s,506,3091823,0.0-19.0-0.0-0.8,A3CGQOJC28OVGN,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3TMSXRD2XAGTD10PGJ8BRJ2MG0KW18,6,5
9,1,object_01,object_08,930.40000000596,1,1,739.0,0.2222222222222222,1,object_02,5,123,0,2,3,desert_7,2,memory-2step-stake-s,507,3099994,0.0-19.0-0.0-0.9,A3CGQOJC28OVGN,3YGE63DIOBDQKTHDUYZ9OUNPB7QW00,3TMSXRD2XAGTD10PGJ8BRJ2MG0KW18,1,2
