,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_03,object_05,541.10000002384,2,1,747.79999995232,0.4444444444444444,2,object_09,1,4,0,2,4,desert_1,1,memory-2step-stake-s,493,807189,0.0-19.0-0.0-0.0,A3CIPN7E1VL4G1,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VZLGYJEYPQ5XXQNYZDPLW05U9IXZI,2,1
1,1,object_05,object_03,675.59999996424,2,2,1102.8000000119,0.5555555555555556,2,object_09,1,9,0,0,5,desert_8,1,memory-2step-stake-s,494,816053,0.0-19.0-0.0-0.1,A3CIPN7E1VL4G1,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VZLGYJEYPQ5XXQNYZDPLW05U9IXZI,1,2
2,4,object_01,object_02,607.60000002384,7,1,1020.8000000119,0.0,1,object_04,1,9,0,0,2,restaurant_2,1,memory-2step-stake-s,495,824313,0.0-19.0-0.0-0.2,A3CIPN7E1VL4G1,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VZLGYJEYPQ5XXQNYZDPLW05U9IXZI,7,8
3,2,object_10,object_06,420.40000003576,3,2,518.40000003576,0.2222222222222222,1,object_04,1,11,0,2,2,forest_3,1,memory-2step-stake-s,496,832286,0.0-19.0-0.0-0.3,A3CIPN7E1VL4G1,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VZLGYJEYPQ5XXQNYZDPLW05U9IXZI,4,3
4,3,object_07,object_08,671.80000001192,5,1,419.69999998808,0.4444444444444444,1,object_04,5,31,0,4,1,library_6,1,memory-2step-stake-s,497,840389,0.0-19.0-0.0-0.4,A3CIPN7E1VL4G1,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VZLGYJEYPQ5XXQNYZDPLW05U9IXZI,5,6
5,4,object_02,object_01,582.30000001192,7,2,525.29999995232,0.2222222222222222,1,object_04,5,41,0,2,3,restaurant_8,1,memory-2step-stake-s,498,848354,0.0-19.0-0.0-0.5,A3CIPN7E1VL4G1,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VZLGYJEYPQ5XXQNYZDPLW05U9IXZI,8,7
6,4,object_01,object_02,807.70000004768,7,1,568.0,0.1111111111111111,1,object_04,5,46,0,1,3,restaurant_6,1,memory-2step-stake-s,499,856305,0.0-19.0-0.0-0.6,A3CIPN7E1VL4G1,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VZLGYJEYPQ5XXQNYZDPLW05U9IXZI,7,8
7,2,object_10,object_06,750.09999996424,4,1,379.80000001192,0.2222222222222222,2,object_09,5,56,0,4,2,forest_3,1,memory-2step-stake-s,500,864128,0.0-19.0-0.0-0.7,A3CIPN7E1VL4G1,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VZLGYJEYPQ5XXQNYZDPLW05U9IXZI,4,3
8,3,object_08,object_07,905.80000001192,6,1,604.89999997616,0.0,2,object_09,5,56,0,7,0,library_5,1,memory-2step-stake-s,501,871994,0.0-19.0-0.0-0.8,A3CIPN7E1VL4G1,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VZLGYJEYPQ5XXQNYZDPLW05U9IXZI,6,5
9,1,object_03,object_05,883.69999998808,2,1,386.79999995232,0.1111111111111111,2,object_09,1,57,0,7,1,desert_5,1,memory-2step-stake-s,502,879768,0.0-19.0-0.0-0.9,A3CIPN7E1VL4G1,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VZLGYJEYPQ5XXQNYZDPLW05U9IXZI,2,1
10,2,object_10,object_06,1149.4000000358,4,1,471.70000004768,0.1111111111111111,2,object_09,5,62,0,8,1,forest_3,1,memory-2step-stake-s,503,887620,0.0-19.0-0.0-0.10,A3CIPN7E1VL4G1,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VZLGYJEYPQ5XXQNYZDPLW05U9IXZI,4,3
