,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_05,object_04,539.69999998808,3,2,1362.5,0.0,1,object_01,1,0,0,0,6,forest_1,1,memory-2step-stake-s,488,1096703,0.0-19.0-0.0-0.0,A3DDTGMRDXR9NR,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3NJM2BJS40MNGVDMKUJ0GLDHJSMPCM,4,3
1,3,object_08,object_02,625.30000001192,5,1,917.5,0.1111111111111111,1,object_01,1,1,0,1,2,library_2,1,memory-2step-stake-s,489,1105002,0.0-19.0-0.0-0.1,A3DDTGMRDXR9NR,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3NJM2BJS40MNGVDMKUJ0GLDHJSMPCM,5,6
2,4,object_03,object_07,1111.8999999762,8,1,731.0,0.5555555555555556,2,object_09,5,26,0,0,5,restaurant_6,1,memory-2step-stake-s,490,1113600,0.0-19.0-0.0-0.2,A3DDTGMRDXR9NR,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3NJM2BJS40MNGVDMKUJ0GLDHJSMPCM,8,7
3,3,object_08,object_02,789.39999997616,6,2,454.80000001192,0.5555555555555556,2,object_09,1,31,0,0,5,library_2,1,memory-2step-stake-s,491,1121854,0.0-19.0-0.0-0.3,A3DDTGMRDXR9NR,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3NJM2BJS40MNGVDMKUJ0GLDHJSMPCM,5,6
4,2,object_05,object_04,1235.0999999642,4,1,608.0,0.7777777777777778,2,object_09,5,66,0,2,7,forest_2,1,memory-2step-stake-s,492,1130420,0.0-19.0-0.0-0.4,A3DDTGMRDXR9NR,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3NJM2BJS40MNGVDMKUJ0GLDHJSMPCM,4,3
5,2,object_04,object_05,736.0,4,2,729.80000001192,0.5555555555555556,2,object_09,1,71,0,2,5,forest_1,1,memory-2step-stake-s,493,1138929,0.0-19.0-0.0-0.5,A3DDTGMRDXR9NR,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3NJM2BJS40MNGVDMKUJ0GLDHJSMPCM,3,4
6,4,object_03,object_07,595.30000001192,8,1,514.5,0.6666666666666666,2,object_09,1,77,0,1,6,restaurant_2,1,memory-2step-stake-s,494,1147337,0.0-19.0-0.0-0.6,A3DDTGMRDXR9NR,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3NJM2BJS40MNGVDMKUJ0GLDHJSMPCM,8,7
7,3,object_02,object_08,1125.1999999881,5,2,508.69999998808,0.2222222222222222,1,object_01,5,87,0,2,8,library_5,1,memory-2step-stake-s,495,1155305,0.0-19.0-0.0-0.7,A3DDTGMRDXR9NR,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3NJM2BJS40MNGVDMKUJ0GLDHJSMPCM,6,5
8,2,object_04,object_05,677.39999997616,4,2,436.40000003576,0.6666666666666666,2,object_09,1,93,0,3,6,forest_8,1,memory-2step-stake-s,496,1163647,0.0-19.0-0.0-0.8,A3DDTGMRDXR9NR,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3NJM2BJS40MNGVDMKUJ0GLDHJSMPCM,3,4
9,4,object_03,object_07,529.10000002384,8,1,624.10000002384,0.6666666666666666,2,object_09,5,123,0,3,6,restaurant_3,1,memory-2step-stake-s,497,1172174,0.0-19.0-0.0-0.9,A3DDTGMRDXR9NR,32CXT5U15JJVAEXBU2XNZL8A76W8U1,3NJM2BJS40MNGVDMKUJ0GLDHJSMPCM,8,7
