,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,3,object_06,object_05,961.59999999404,5,1,1123.0,0.6666666666666666,1,object_02,1,6,0,6,1,library_8,2,memory-2step-stake-s,496,1044798,0.0-19.0-0.0-0.0,A3DUL880Y08G95,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3VE8AYVF8QD9DFYFPF7Q253URV68FO,5,6
1,1,object_03,object_01,892.69999998808,1,2,1074.7999999821,0.6666666666666666,1,object_02,1,12,0,6,1,desert_1,2,memory-2step-stake-s,497,1053706,0.0-19.0-0.0-0.1,A3DUL880Y08G95,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3VE8AYVF8QD9DFYFPF7Q253URV68FO,2,1
2,4,object_10,object_04,1126.6000000238,7,2,744.5,0.7777777777777778,1,object_02,1,19,0,7,5,restaurant_8,2,memory-2step-stake-s,498,1062387,0.0-19.0-0.0-0.2,A3DUL880Y08G95,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3VE8AYVF8QD9DFYFPF7Q253URV68FO,8,7
3,4,object_10,object_04,-1.0,-1,-1,-1.0,0.0,-,0,5,19,0,7,5,restaurant_7,2,memory-2step-stake-s,499,1068912,0.0-19.0-0.0-0.3,A3DUL880Y08G95,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3VE8AYVF8QD9DFYFPF7Q253URV68FO,8,7
4,3,object_05,object_06,791.19999998808,6,1,722.5,1.0,2,object_08,1,28,0,7,9,library_6,2,memory-2step-stake-s,500,1077775,0.0-19.0-0.0-0.4,A3DUL880Y08G95,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3VE8AYVF8QD9DFYFPF7Q253URV68FO,6,5
5,1,object_03,object_01,898.0,1,2,605.90000000596,0.5555555555555556,1,object_02,5,53,0,5,6,desert_2,2,memory-2step-stake-s,501,1086118,0.0-19.0-0.0-0.5,A3DUL880Y08G95,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3VE8AYVF8QD9DFYFPF7Q253URV68FO,2,1
6,2,object_09,object_07,1095.900000006,3,2,557.5,0.6666666666666666,1,object_02,5,83,0,6,6,forest_6,2,memory-2step-stake-s,502,1094517,0.0-19.0-0.0-0.6,A3DUL880Y08G95,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3VE8AYVF8QD9DFYFPF7Q253URV68FO,4,3
7,2,object_09,object_07,1052.6999999881,4,1,592.19999998808,0.4444444444444444,2,object_08,1,87,0,5,4,forest_1,2,memory-2step-stake-s,503,1102754,0.0-19.0-0.0-0.7,A3DUL880Y08G95,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3VE8AYVF8QD9DFYFPF7Q253URV68FO,4,3
8,3,object_06,object_05,1025.5,6,2,754.90000000596,0.1111111111111111,2,object_08,1,88,0,1,1,library_3,2,memory-2step-stake-s,504,1110834,0.0-19.0-0.0-0.8,A3DUL880Y08G95,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3VE8AYVF8QD9DFYFPF7Q253URV68FO,5,6
9,2,object_07,object_09,992.29999998212,3,1,1407.3999999762,0.0,1,object_02,5,88,0,0,0,forest_3,2,memory-2step-stake-s,505,1119470,0.0-19.0-0.0-0.9,A3DUL880Y08G95,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3VE8AYVF8QD9DFYFPF7Q253URV68FO,3,4
