,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_08,object_02,1113.7000000477,4,1,-1.0,0.0,2,object_03,1,0,0,4,9,forest_5,1,memory-2step-stake-s,489,1430708,0.0-19.0-0.0-0.0,A3EZEVKRB0VRNM,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3K9FOBBF2LZGGEVFHSZ7FFY9DM0NL5,4,3
1,4,object_07,object_06,969.90000009537,7,2,-1.0,0.0,1,object_01,1,0,0,7,9,restaurant_5,1,memory-2step-stake-s,490,1439279,0.0-19.0-0.0-0.1,A3EZEVKRB0VRNM,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3K9FOBBF2LZGGEVFHSZ7FFY9DM0NL5,8,7
2,3,object_05,object_09,1251.0999999046,6,2,-1.0,0.0,2,object_03,1,0,0,3,9,library_2,1,memory-2step-stake-s,491,1447842,0.0-19.0-0.0-0.2,A3EZEVKRB0VRNM,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3K9FOBBF2LZGGEVFHSZ7FFY9DM0NL5,5,6
3,4,object_07,object_06,724.40000009537,8,1,-1.0,0.0,2,object_03,5,0,0,6,8,restaurant_4,1,memory-2step-stake-s,492,1456406,0.0-19.0-0.0-0.3,A3EZEVKRB0VRNM,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3K9FOBBF2LZGGEVFHSZ7FFY9DM0NL5,8,7
4,1,object_04,object_10,857.5,2,2,-1.0,0.0,2,object_03,1,0,0,7,8,desert_2,1,memory-2step-stake-s,493,1464939,0.0-19.0-0.0-0.4,A3EZEVKRB0VRNM,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3K9FOBBF2LZGGEVFHSZ7FFY9DM0NL5,1,2
5,1,object_10,object_04,1014.5999999046,2,1,-1.0,0.0,2,object_03,5,0,0,8,6,desert_1,1,memory-2step-stake-s,494,1473509,0.0-19.0-0.0-0.5,A3EZEVKRB0VRNM,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3K9FOBBF2LZGGEVFHSZ7FFY9DM0NL5,2,1
6,1,object_10,object_04,812.5,2,1,-1.0,0.0,2,object_03,5,0,0,8,8,desert_6,1,memory-2step-stake-s,495,1482109,0.0-19.0-0.0-0.6,A3EZEVKRB0VRNM,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3K9FOBBF2LZGGEVFHSZ7FFY9DM0NL5,2,1
7,1,object_04,object_10,798.19999980927,2,2,-1.0,0.0,2,object_03,1,0,0,6,6,desert_8,1,memory-2step-stake-s,496,1490739,0.0-19.0-0.0-0.7,A3EZEVKRB0VRNM,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3K9FOBBF2LZGGEVFHSZ7FFY9DM0NL5,1,2
8,1,object_10,object_04,1339.8000001907,2,1,-1.0,0.0,2,object_03,1,0,0,7,8,desert_2,1,memory-2step-stake-s,497,1499350,0.0-19.0-0.0-0.8,A3EZEVKRB0VRNM,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3K9FOBBF2LZGGEVFHSZ7FFY9DM0NL5,2,1
9,4,object_07,object_06,1236.4000000954,7,2,-1.0,0.0,1,object_01,1,0,0,7,7,restaurant_7,1,memory-2step-stake-s,498,1507960,0.0-19.0-0.0-0.9,A3EZEVKRB0VRNM,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3K9FOBBF2LZGGEVFHSZ7FFY9DM0NL5,8,7
