,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,3,object_03,object_07,-1.0,-1,-1,-1.0,0.0,-,0,1,0,0,8,1,library_6,2,memory-2step-stake-s,492,1096853,0.0-19.0-0.0-0.0,A3JGVZEXXELM3C,3SD15I2WE5AO7614M34OSYMJOYM362,3K2755HG5WJLUAU66NI6OXHV2MBDF7,5,6
1,4,object_01,object_05,1050.1999999881,7,2,-1.0,0.0,1,object_04,5,0,0,9,3,restaurant_7,2,memory-2step-stake-s,493,1105389,0.0-19.0-0.0-0.1,A3JGVZEXXELM3C,3SD15I2WE5AO7614M34OSYMJOYM362,3K2755HG5WJLUAU66NI6OXHV2MBDF7,8,7
2,2,object_10,object_02,1002.1999999881,4,2,-1.0,0.0,2,object_08,5,0,0,8,4,forest_8,2,memory-2step-stake-s,494,1113925,0.0-19.0-0.0-0.2,A3JGVZEXXELM3C,3SD15I2WE5AO7614M34OSYMJOYM362,3K2755HG5WJLUAU66NI6OXHV2MBDF7,3,4
3,2,object_02,object_10,1032.6999999881,3,2,-1.0,0.0,1,object_04,1,0,0,8,3,forest_2,2,memory-2step-stake-s,495,1122444,0.0-19.0-0.0-0.3,A3JGVZEXXELM3C,3SD15I2WE5AO7614M34OSYMJOYM362,3K2755HG5WJLUAU66NI6OXHV2MBDF7,4,3
4,4,object_01,object_05,682.39999997616,7,2,412.10000002384,1.0,1,object_04,1,9,0,9,4,restaurant_1,2,memory-2step-stake-s,496,1131018,0.0-19.0-0.0-0.4,A3JGVZEXXELM3C,3SD15I2WE5AO7614M34OSYMJOYM362,3K2755HG5WJLUAU66NI6OXHV2MBDF7,8,7
5,3,object_03,object_07,765.10000002384,5,1,392.89999997616,0.6666666666666666,1,object_04,5,39,0,6,6,library_8,2,memory-2step-stake-s,497,1139240,0.0-19.0-0.0-0.5,A3JGVZEXXELM3C,3SD15I2WE5AO7614M34OSYMJOYM362,3K2755HG5WJLUAU66NI6OXHV2MBDF7,5,6
6,1,object_06,object_09,781.80000001192,1,2,728.09999996424,0.8888888888888888,1,object_04,1,47,0,8,6,desert_6,2,memory-2step-stake-s,498,1148006,0.0-19.0-0.0-0.6,A3JGVZEXXELM3C,3SD15I2WE5AO7614M34OSYMJOYM362,3K2755HG5WJLUAU66NI6OXHV2MBDF7,2,1
7,1,object_06,object_09,856.69999998808,2,1,745.79999995232,0.5555555555555556,2,object_08,1,52,0,8,5,desert_1,2,memory-2step-stake-s,499,1156475,0.0-19.0-0.0-0.7,A3JGVZEXXELM3C,3SD15I2WE5AO7614M34OSYMJOYM362,3K2755HG5WJLUAU66NI6OXHV2MBDF7,2,1
8,4,object_05,object_01,913.80000001192,8,2,674.60000002384,0.7777777777777778,2,object_08,1,59,0,8,7,restaurant_6,2,memory-2step-stake-s,500,1165096,0.0-19.0-0.0-0.8,A3JGVZEXXELM3C,3SD15I2WE5AO7614M34OSYMJOYM362,3K2755HG5WJLUAU66NI6OXHV2MBDF7,7,8
9,2,object_02,object_10,1064.8000000119,3,2,745.19999998808,0.8888888888888888,1,object_04,5,99,0,8,7,forest_8,2,memory-2step-stake-s,501,1173955,0.0-19.0-0.0-0.9,A3JGVZEXXELM3C,3SD15I2WE5AO7614M34OSYMJOYM362,3K2755HG5WJLUAU66NI6OXHV2MBDF7,4,3
