,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_08,object_10,830.19999998808,8,1,-1.0,0.0,2,object_06,1,0,0,0,1,restaurant_7,2,memory-2step-stake-s,494,866801,0.0-19.0-0.0-0.0,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,8,7
1,1,object_07,object_09,875.90000000596,2,2,628.09999999404,0.2222222222222222,2,object_06,5,10,0,1,2,desert_2,2,memory-2step-stake-s,495,874907,0.0-19.0-0.0-0.1,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,1,2
2,3,object_01,object_04,813.0,5,2,1083.1999999881,0.0,1,object_05,1,10,0,0,2,library_6,2,memory-2step-stake-s,496,883247,0.0-19.0-0.0-0.2,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,6,5
3,2,object_02,object_03,800.5,4,1,429.90000000596,0.1111111111111111,2,object_06,5,15,0,2,1,forest_2,2,memory-2step-stake-s,497,891079,0.0-19.0-0.0-0.3,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,4,3
4,1,object_09,object_07,862.70000001788,2,1,191.19999998808,0.0,2,object_06,5,15,0,5,0,desert_3,2,memory-2step-stake-s,498,898531,0.0-19.0-0.0-0.4,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,2,1
5,2,object_02,object_03,546.10000002384,3,2,782.20000001788,0.3333333333333333,1,object_05,5,30,0,3,2,forest_2,2,memory-2step-stake-s,499,906923,0.0-19.0-0.0-0.5,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,4,3
6,3,object_01,object_04,889.0,6,1,836.69999998808,0.0,2,object_06,1,30,0,3,0,library_2,2,memory-2step-stake-s,500,915030,0.0-19.0-0.0-0.6,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,6,5
7,3,object_04,object_01,785.5,6,2,383.10000002384,0.0,2,object_06,1,30,0,2,0,library_5,2,memory-2step-stake-s,501,922704,0.0-19.0-0.0-0.7,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,5,6
8,1,object_07,object_09,509.20000001788,1,1,382.0,0.2222222222222222,1,object_05,5,40,0,2,1,desert_2,2,memory-2step-stake-s,502,930602,0.0-19.0-0.0-0.8,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,1,2
9,2,object_02,object_03,583.20000001788,3,2,793.70000001788,0.4444444444444444,1,object_05,5,60,0,4,3,forest_2,2,memory-2step-stake-s,503,939119,0.0-19.0-0.0-0.9,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,4,3
10,2,object_03,object_02,839.30000001192,3,1,719.40000000596,0.6666666666666666,1,object_05,5,90,0,6,2,forest_7,2,memory-2step-stake-s,504,947787,0.0-19.0-0.0-0.10,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,3,4
11,2,object_02,object_03,513.19999998808,3,2,412.0,0.5555555555555556,1,object_05,5,115,0,5,2,forest_2,2,memory-2step-stake-s,505,956030,0.0-19.0-0.0-0.11,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,4,3
12,3,object_01,object_04,936.0,6,1,614.40000000596,0.4444444444444444,2,object_06,1,119,0,1,4,library_6,2,memory-2step-stake-s,506,964385,0.0-19.0-0.0-0.12,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,6,5
13,1,object_07,object_09,1096.400000006,2,2,640.80000001192,0.5555555555555556,2,object_06,5,144,0,0,5,desert_3,2,memory-2step-stake-s,507,972879,0.0-19.0-0.0-0.13,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,1,2
14,1,object_07,object_09,911.69999998808,1,1,549.70000001788,0.1111111111111111,1,object_05,5,149,0,1,4,desert_4,2,memory-2step-stake-s,508,980816,0.0-19.0-0.0-0.14,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,1,2
15,1,object_07,object_09,1103.0,2,2,507.59999999404,0.3333333333333333,2,object_06,1,152,0,3,3,desert_2,2,memory-2step-stake-s,509,988930,0.0-19.0-0.0-0.15,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,1,2
16,4,object_08,object_10,1432.8999999762,7,2,487.09999999404,0.2222222222222222,1,object_05,5,162,0,2,2,restaurant_4,2,memory-2step-stake-s,510,996918,0.0-19.0-0.0-0.16,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,8,7
17,2,object_03,object_02,1078.3999999762,3,1,1025.599999994,0.2222222222222222,1,object_05,5,172,0,2,2,forest_5,2,memory-2step-stake-s,511,1005438,0.0-19.0-0.0-0.17,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,3,4
18,4,object_08,object_10,740.59999999404,8,1,1459.1000000238,0.0,2,object_06,5,172,0,2,0,restaurant_6,2,memory-2step-stake-s,512,1014176,0.0-19.0-0.0-0.18,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,8,7
19,4,object_08,object_10,1071.0,8,1,471.90000000596,0.1111111111111111,2,object_06,1,173,0,5,1,restaurant_2,2,memory-2step-stake-s,513,1022023,0.0-19.0-0.0-0.19,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,8,7
20,4,object_10,object_08,1014.5,8,2,606.59999999404,0.3333333333333333,2,object_06,1,176,0,2,3,restaurant_7,2,memory-2step-stake-s,514,1030203,0.0-19.0-0.0-0.20,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,7,8
21,2,object_03,object_02,444.59999999404,3,1,514.10000002384,0.4444444444444444,1,object_05,5,196,0,4,4,forest_3,2,memory-2step-stake-s,515,1038424,0.0-19.0-0.0-0.21,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,3,4
22,1,object_07,object_09,744.90000000596,1,1,536.5,0.4444444444444444,1,object_05,5,216,0,4,5,desert_3,2,memory-2step-stake-s,516,1046639,0.0-19.0-0.0-0.22,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,1,2
23,2,object_03,object_02,458.19999998808,3,1,451.5,0.7777777777777778,1,object_05,5,251,0,7,7,forest_3,2,memory-2step-stake-s,517,1055098,0.0-19.0-0.0-0.23,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,3,4
24,3,object_01,object_04,692.69999998808,5,2,533.0,0.6666666666666666,1,object_05,1,257,0,6,8,library_1,2,memory-2step-stake-s,518,1063548,0.0-19.0-0.0-0.24,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,6,5
25,1,object_07,object_09,713.80000001192,2,2,543.70000001788,0.7777777777777778,2,object_06,5,292,0,5,7,desert_3,2,memory-2step-stake-s,519,1072125,0.0-19.0-0.0-0.25,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,1,2
26,2,object_03,object_02,587.70000001788,3,1,593.30000001192,0.7777777777777778,1,object_05,5,327,0,7,9,forest_5,2,memory-2step-stake-s,520,1080739,0.0-19.0-0.0-0.26,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,3,4
27,1,object_09,object_07,794.79999998212,1,2,635.90000000596,0.8888888888888888,1,object_05,5,367,0,8,8,desert_3,2,memory-2step-stake-s,521,1089524,0.0-19.0-0.0-0.27,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,2,1
28,2,object_02,object_03,1135.3000000119,3,2,566.20000001788,0.6666666666666666,1,object_05,5,397,0,6,6,forest_7,2,memory-2step-stake-s,522,1098004,0.0-19.0-0.0-0.28,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,4,3
29,4,object_10,object_08,1074.7000000179,8,2,511.80000001192,0.5555555555555556,2,object_06,5,422,0,7,5,restaurant_6,2,memory-2step-stake-s,523,1106332,0.0-19.0-0.0-0.29,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,7,8
30,3,object_04,object_01,1138.0,5,1,494.90000000596,0.5555555555555556,1,object_05,5,447,0,5,4,library_5,2,memory-2step-stake-s,524,1114646,0.0-19.0-0.0-0.30,A3NHBXYOMMJ2W6,3MQKOF1EF54KJDI76AN431783D3WDT,3YWRV122CWFYWXV5K42PO54X1IJU87,5,6
