,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_07,object_08,968.59999999963,1,1,1174.4000000004,0.2222222222222222,1,object_05,5,10,0,2,5,desert_7,2,memory-2step-stake-s,490,1292143,0.0-19.0-0.0-0.0,A3NKZMF7M4X0ZP,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3PJ71Z61R8II15NHN8YJDZUBARX915,1,2
1,4,object_02,object_09,967.29999999888,7,1,670.89999999851,0.5555555555555556,1,object_05,1,15,0,5,4,restaurant_7,2,memory-2step-stake-s,491,1300587,0.0-19.0-0.0-0.1,A3NKZMF7M4X0ZP,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3PJ71Z61R8II15NHN8YJDZUBARX915,7,8
2,2,object_10,object_03,690.10000000149,3,2,1202.2999999989,0.4444444444444444,1,object_05,5,35,0,4,1,forest_5,2,memory-2step-stake-s,492,1309487,0.0-19.0-0.0-0.2,A3NKZMF7M4X0ZP,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3PJ71Z61R8II15NHN8YJDZUBARX915,4,3
3,4,object_09,object_02,1447.4000000004,8,1,127.80000000075,0.2222222222222222,2,object_04,1,37,0,2,2,restaurant_7,2,memory-2step-stake-s,493,1317071,0.0-19.0-0.0-0.3,A3NKZMF7M4X0ZP,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3PJ71Z61R8II15NHN8YJDZUBARX915,8,7
4,2,object_03,object_10,614.70000000112,4,2,123.80000000075,0.0,2,object_04,5,37,0,0,0,forest_1,2,memory-2step-stake-s,494,1324470,0.0-19.0-0.0-0.4,A3NKZMF7M4X0ZP,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3PJ71Z61R8II15NHN8YJDZUBARX915,3,4
5,3,object_01,object_06,1153.6000000015,6,2,1003.2000000011,0.1111111111111111,2,object_04,1,38,0,1,1,library_6,2,memory-2step-stake-s,495,1332834,0.0-19.0-0.0-0.5,A3NKZMF7M4X0ZP,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3PJ71Z61R8II15NHN8YJDZUBARX915,5,6
6,2,object_10,object_03,891.69999999925,4,1,783.59999999963,0.0,2,object_04,5,38,0,1,0,forest_2,2,memory-2step-stake-s,496,1340858,0.0-19.0-0.0-0.6,A3NKZMF7M4X0ZP,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3PJ71Z61R8II15NHN8YJDZUBARX915,4,3
7,4,object_02,object_09,412.59999999963,8,2,504.30000000075,0.0,2,object_04,1,38,0,1,0,restaurant_7,2,memory-2step-stake-s,497,1348622,0.0-19.0-0.0-0.7,A3NKZMF7M4X0ZP,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3PJ71Z61R8II15NHN8YJDZUBARX915,7,8
8,2,object_03,object_10,858.79999999888,3,1,58.900000000373,0.2222222222222222,1,object_05,5,48,0,2,0,forest_5,2,memory-2step-stake-s,498,1356145,0.0-19.0-0.0-0.8,A3NKZMF7M4X0ZP,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3PJ71Z61R8II15NHN8YJDZUBARX915,3,4
9,3,object_06,object_01,1283.1999999993,6,1,1282.3000000007,0.1111111111111111,2,object_04,1,49,0,3,1,library_5,2,memory-2step-stake-s,499,1364806,0.0-19.0-0.0-0.9,A3NKZMF7M4X0ZP,371DNNCG57IGA1IMUX7DUPM8OSP8TA,3PJ71Z61R8II15NHN8YJDZUBARX915,6,5
