,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_05,object_01,1338.0999999996,2,1,-1.0,0.0,2,object_08,5,0,0,3,6,desert_3,2,memory-2step-stake-s,509,1282643,0.0-19.0-0.0-0.0,A3RHJEMZ4EGY2U,382GHPVPIV7ASJXQ3FB9V025S7G34H,34BBWHLWHER4D7WNOQTHJIJ8PUJWI0,2,1
1,4,object_02,object_09,1190.5,8,1,806.20000000112,0.6666666666666666,2,object_08,1,6,0,5,6,restaurant_1,2,memory-2step-stake-s,510,1291331,0.0-19.0-0.0-0.1,A3RHJEMZ4EGY2U,382GHPVPIV7ASJXQ3FB9V025S7G34H,34BBWHLWHER4D7WNOQTHJIJ8PUJWI0,8,7
2,2,object_07,object_03,900.60000000149,4,1,814.19999999925,0.4444444444444444,2,object_08,5,26,0,5,4,forest_2,2,memory-2step-stake-s,511,1299835,0.0-19.0-0.0-0.2,A3RHJEMZ4EGY2U,382GHPVPIV7ASJXQ3FB9V025S7G34H,34BBWHLWHER4D7WNOQTHJIJ8PUJWI0,4,3
3,4,object_09,object_02,1281.1999999993,7,1,1114.8999999985,0.6666666666666666,1,object_04,1,32,0,6,1,restaurant_2,2,memory-2step-stake-s,512,1308858,0.0-19.0-0.0-0.3,A3RHJEMZ4EGY2U,382GHPVPIV7ASJXQ3FB9V025S7G34H,34BBWHLWHER4D7WNOQTHJIJ8PUJWI0,7,8
4,1,object_01,object_05,701.90000000037,2,2,1023.7000000011,0.1111111111111111,2,object_08,1,33,0,6,1,desert_3,2,memory-2step-stake-s,513,1317246,0.0-19.0-0.0-0.4,A3RHJEMZ4EGY2U,382GHPVPIV7ASJXQ3FB9V025S7G34H,34BBWHLWHER4D7WNOQTHJIJ8PUJWI0,1,2
5,3,object_10,object_06,563.80000000075,5,1,942.40000000037,0.4444444444444444,1,object_04,1,37,0,4,3,library_6,2,memory-2step-stake-s,514,1325885,0.0-19.0-0.0-0.5,A3RHJEMZ4EGY2U,382GHPVPIV7ASJXQ3FB9V025S7G34H,34BBWHLWHER4D7WNOQTHJIJ8PUJWI0,5,6
6,2,object_03,object_07,732.5,4,2,1048.8000000007,0.4444444444444444,2,object_08,5,57,0,3,4,forest_3,2,memory-2step-stake-s,515,1334609,0.0-19.0-0.0-0.6,A3RHJEMZ4EGY2U,382GHPVPIV7ASJXQ3FB9V025S7G34H,34BBWHLWHER4D7WNOQTHJIJ8PUJWI0,3,4
7,4,object_09,object_02,985.0,7,1,680.5,0.2222222222222222,1,object_04,1,59,0,2,5,restaurant_8,2,memory-2step-stake-s,516,1342776,0.0-19.0-0.0-0.7,A3RHJEMZ4EGY2U,382GHPVPIV7ASJXQ3FB9V025S7G34H,34BBWHLWHER4D7WNOQTHJIJ8PUJWI0,7,8
8,1,object_05,object_01,697.5,2,1,486.10000000149,0.5555555555555556,2,object_08,5,84,0,0,5,desert_3,2,memory-2step-stake-s,517,1351041,0.0-19.0-0.0-0.8,A3RHJEMZ4EGY2U,382GHPVPIV7ASJXQ3FB9V025S7G34H,34BBWHLWHER4D7WNOQTHJIJ8PUJWI0,2,1
9,2,object_03,object_07,774.40000000037,4,2,582.09999999963,0.3333333333333333,2,object_08,5,99,0,2,3,forest_7,2,memory-2step-stake-s,518,1359201,0.0-19.0-0.0-0.9,A3RHJEMZ4EGY2U,382GHPVPIV7ASJXQ3FB9V025S7G34H,34BBWHLWHER4D7WNOQTHJIJ8PUJWI0,3,4
