,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_01,object_06,627.22999998368,7,1,1436.9599999627,0.1111111111111111,1,object_09,5,5,0,1,1,restaurant_6,1,memory-2step-stake-s,499,1075943,0.0-19.0-0.0-0.0,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,7,8
1,4,object_01,object_06,796.53000005055,8,2,900.09499993175,0.2222222222222222,2,object_10,5,15,0,1,2,restaurant_8,1,memory-2step-stake-s,500,1084286,0.0-19.0-0.0-0.1,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,7,8
2,3,object_02,object_03,873.06000001263,5,1,640.6399999978,0.4444444444444444,1,object_09,1,19,0,4,3,library_3,1,memory-2step-stake-s,501,1092566,0.0-19.0-0.0-0.2,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,5,6
3,4,object_01,object_06,563.64000006579,8,2,496.4199999813,0.4444444444444444,2,object_10,1,23,0,3,4,restaurant_1,1,memory-2step-stake-s,502,1100703,0.0-19.0-0.0-0.3,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,7,8
4,1,object_08,object_05,948.55500000995,1,1,638.90000001993,0.2222222222222222,1,object_09,1,25,0,2,3,desert_1,1,memory-2step-stake-s,503,1108779,0.0-19.0-0.0-0.4,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,1,2
5,2,object_07,object_04,876.05500000063,4,1,370.2049999265,0.4444444444444444,2,object_10,1,29,0,1,4,forest_6,1,memory-2step-stake-s,504,1116782,0.0-19.0-0.0-0.5,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,4,3
6,4,object_01,object_06,556.79500009865,8,2,365.15499989036,0.2222222222222222,2,object_10,5,39,0,2,2,restaurant_8,1,memory-2step-stake-s,505,1124586,0.0-19.0-0.0-0.6,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,7,8
7,2,object_07,object_04,842.2000000719,4,1,383.74499999918,0.5555555555555556,2,object_10,1,44,0,1,5,forest_7,1,memory-2step-stake-s,506,1132699,0.0-19.0-0.0-0.7,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,4,3
8,2,object_04,object_07,1223.5099999234,4,2,332.98000006471,0.7777777777777778,2,object_10,1,51,0,1,7,forest_5,1,memory-2step-stake-s,507,1140970,0.0-19.0-0.0-0.8,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,3,4
9,3,object_03,object_02,792.93500003405,5,2,336.5000000922,0.2222222222222222,1,object_09,5,61,0,2,7,library_2,1,memory-2step-stake-s,508,1148737,0.0-19.0-0.0-0.9,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,6,5
10,1,object_05,object_08,1073.2000001008,1,2,397.57500006817,0.1111111111111111,1,object_09,1,62,0,1,5,desert_6,1,memory-2step-stake-s,509,1156452,0.0-19.0-0.0-0.10,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,2,1
11,1,object_08,object_05,1073.7299999455,2,2,408.3100000862,0.7777777777777778,2,object_10,1,69,0,0,7,desert_5,1,memory-2step-stake-s,510,1164806,0.0-19.0-0.0-0.11,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,1,2
12,3,object_03,object_02,1174.4600000093,6,1,436.99499999639,0.4444444444444444,2,object_10,5,89,0,3,4,library_6,1,memory-2step-stake-s,511,1172877,0.0-19.0-0.0-0.12,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,6,5
13,3,object_02,object_03,1003.4750000341,6,2,371.87999999151,0.4444444444444444,2,object_10,5,109,0,5,4,library_2,1,memory-2step-stake-s,512,1180880,0.0-19.0-0.0-0.13,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,5,6
14,4,object_06,object_01,847.35000005458,7,2,464.08499998506,0.6666666666666666,1,object_09,5,139,0,6,6,restaurant_4,1,memory-2step-stake-s,513,1189179,0.0-19.0-0.0-0.14,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,8,7
15,3,object_03,object_02,833.47999991383,6,1,312.12999997661,0.2222222222222222,2,object_10,5,149,0,5,2,library_6,1,memory-2step-stake-s,514,1196925,0.0-19.0-0.0-0.15,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,6,5
16,4,object_01,object_06,1008.4449999267,7,1,404.45000003092,0.4444444444444444,1,object_09,5,169,0,4,1,restaurant_8,1,memory-2step-stake-s,515,1204964,0.0-19.0-0.0-0.16,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,7,8
17,4,object_01,object_06,1031.1199999414,8,2,332.70000002813,0.2222222222222222,2,object_10,5,179,0,3,2,restaurant_6,1,memory-2step-stake-s,516,1212731,0.0-19.0-0.0-0.17,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,7,8
18,1,object_08,object_05,874.89500001539,2,2,290.3149999911,0.2222222222222222,2,object_10,1,181,0,3,2,desert_5,1,memory-2step-stake-s,517,1220450,0.0-19.0-0.0-0.18,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,1,2
19,4,object_06,object_01,1030.075000017,7,2,554.83499995898,0.2222222222222222,1,object_09,1,183,0,2,1,restaurant_6,1,memory-2step-stake-s,518,1228439,0.0-19.0-0.0-0.19,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,8,7
20,3,object_02,object_03,1153.7249999819,5,1,337.48999994714,0.0,1,object_09,5,183,0,0,1,library_7,1,memory-2step-stake-s,519,1235999,0.0-19.0-0.0-0.20,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,5,6
21,2,object_07,object_04,868.73500002548,4,1,351.09499993268,0.1111111111111111,2,object_10,1,184,0,3,1,forest_2,1,memory-2step-stake-s,520,1243677,0.0-19.0-0.0-0.21,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,4,3
22,3,object_03,object_02,1392.7900000708,5,2,325.70000004489,0.0,1,object_09,5,184,0,0,2,library_2,1,memory-2step-stake-s,521,1251223,0.0-19.0-0.0-0.22,A3TDA1NWHNQFE3,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,34V1S5K3GWHD8ROETEA08VLSI2V69I,6,5
