,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,3,object_06,object_05,623.80000001192,6,2,-1.0,0.0,2,object_09,5,0,0,1,2,library_1,2,memory-2step-stake-s,497,779160,0.0-19.0-0.0-0.0,A3TFUZL0VQ2WI6,3SNR5F7RA597AOC2DOU98SGLOEGIEB,39K0FND3ALVT2DJB80VHTMTYEMBMAA,5,6
1,2,object_08,object_04,377.89999999106,4,1,1153.200000003,0.1111111111111111,2,object_09,5,5,0,4,1,forest_6,2,memory-2step-stake-s,498,787670,0.0-19.0-0.0-0.1,A3TFUZL0VQ2WI6,3SNR5F7RA597AOC2DOU98SGLOEGIEB,39K0FND3ALVT2DJB80VHTMTYEMBMAA,4,3
2,2,object_04,object_08,275.40000000596,3,1,804.10000000894,0.8888888888888888,1,object_02,5,45,0,8,1,forest_3,2,memory-2step-stake-s,499,796565,0.0-19.0-0.0-0.2,A3TFUZL0VQ2WI6,3SNR5F7RA597AOC2DOU98SGLOEGIEB,39K0FND3ALVT2DJB80VHTMTYEMBMAA,3,4
3,3,object_05,object_06,455.09999999404,5,2,868.09999999404,0.7777777777777778,1,object_02,1,52,0,7,1,library_4,2,memory-2step-stake-s,500,805430,0.0-19.0-0.0-0.3,A3TFUZL0VQ2WI6,3SNR5F7RA597AOC2DOU98SGLOEGIEB,39K0FND3ALVT2DJB80VHTMTYEMBMAA,6,5
4,4,object_07,object_03,547.09999999404,7,1,725.0,1.0,1,object_02,1,61,0,9,1,restaurant_4,2,memory-2step-stake-s,501,814365,0.0-19.0-0.0-0.4,A3TFUZL0VQ2WI6,3SNR5F7RA597AOC2DOU98SGLOEGIEB,39K0FND3ALVT2DJB80VHTMTYEMBMAA,7,8
5,2,object_04,object_08,293.5,3,1,100.29999999702,0.7777777777777778,1,object_02,5,96,0,7,1,forest_2,2,memory-2step-stake-s,502,822452,0.0-19.0-0.0-0.5,A3TFUZL0VQ2WI6,3SNR5F7RA597AOC2DOU98SGLOEGIEB,39K0FND3ALVT2DJB80VHTMTYEMBMAA,3,4
6,1,object_01,object_10,274.29999999702,1,2,353.5,1.0,1,object_02,5,141,0,9,0,desert_1,2,memory-2step-stake-s,503,831004,0.0-19.0-0.0-0.6,A3TFUZL0VQ2WI6,3SNR5F7RA597AOC2DOU98SGLOEGIEB,39K0FND3ALVT2DJB80VHTMTYEMBMAA,2,1
7,4,object_03,object_07,817.5,8,1,492.79999999702,0.3333333333333333,2,object_09,1,144,0,9,3,restaurant_4,2,memory-2step-stake-s,504,839060,0.0-19.0-0.0-0.7,A3TFUZL0VQ2WI6,3SNR5F7RA597AOC2DOU98SGLOEGIEB,39K0FND3ALVT2DJB80VHTMTYEMBMAA,8,7
8,1,object_10,object_01,461.89999999106,2,2,370.79999999702,0.1111111111111111,2,object_09,5,149,0,9,1,desert_1,2,memory-2step-stake-s,505,846789,0.0-19.0-0.0-0.8,A3TFUZL0VQ2WI6,3SNR5F7RA597AOC2DOU98SGLOEGIEB,39K0FND3ALVT2DJB80VHTMTYEMBMAA,1,2
9,1,object_10,object_01,294.10000000894,2,2,338.10000000894,0.0,2,object_09,5,149,0,9,0,desert_6,2,memory-2step-stake-s,506,854383,0.0-19.0-0.0-0.9,A3TFUZL0VQ2WI6,3SNR5F7RA597AOC2DOU98SGLOEGIEB,39K0FND3ALVT2DJB80VHTMTYEMBMAA,1,2
