,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,3,object_05,object_09,1011.8999999762,6,1,1228.1999999881,0.1111111111111111,2,object_06,1,1,0,5,1,library_2,2,memory-2step-stake-s,502,999408,0.0-19.0-0.0-0.0,A3TT7QV49VCZJ9,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3T3IWE1XGA3P2OGC6TTF503VCA9QTY,6,5
1,4,object_01,object_04,770.39999997616,8,2,832.5,0.1111111111111111,2,object_06,1,2,0,6,1,restaurant_5,2,memory-2step-stake-s,503,1007555,0.0-19.0-0.0-0.1,A3TT7QV49VCZJ9,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3T3IWE1XGA3P2OGC6TTF503VCA9QTY,7,8
2,4,object_04,object_01,872.69999998808,7,2,837.5,0.5555555555555556,1,object_08,1,7,0,5,4,restaurant_5,2,memory-2step-stake-s,504,1016123,0.0-19.0-0.0-0.2,A3TT7QV49VCZJ9,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3T3IWE1XGA3P2OGC6TTF503VCA9QTY,8,7
3,2,object_03,object_02,1016.8999999762,3,1,510.0,0.4444444444444444,1,object_08,5,27,0,4,3,forest_7,2,memory-2step-stake-s,505,1024247,0.0-19.0-0.0-0.3,A3TT7QV49VCZJ9,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3T3IWE1XGA3P2OGC6TTF503VCA9QTY,3,4
4,2,object_02,object_03,865.30000001192,4,1,784.19999998808,0.1111111111111111,2,object_06,5,32,0,4,1,forest_7,2,memory-2step-stake-s,506,1032343,0.0-19.0-0.0-0.4,A3TT7QV49VCZJ9,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3T3IWE1XGA3P2OGC6TTF503VCA9QTY,4,3
5,3,object_09,object_05,944.89999997616,5,1,782.0,0.2222222222222222,1,object_08,1,34,0,2,1,library_4,2,memory-2step-stake-s,507,1040564,0.0-19.0-0.0-0.5,A3TT7QV49VCZJ9,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3T3IWE1XGA3P2OGC6TTF503VCA9QTY,5,6
6,1,object_07,object_10,1057.8999999762,2,1,955.0,0.0,2,object_06,5,34,0,4,0,desert_4,2,memory-2step-stake-s,508,1048731,0.0-19.0-0.0-0.6,A3TT7QV49VCZJ9,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3T3IWE1XGA3P2OGC6TTF503VCA9QTY,2,1
7,1,object_07,object_10,1055.1000000238,1,2,805.19999998808,0.4444444444444444,1,object_08,5,54,0,4,2,desert_8,2,memory-2step-stake-s,509,1057168,0.0-19.0-0.0-0.7,A3TT7QV49VCZJ9,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3T3IWE1XGA3P2OGC6TTF503VCA9QTY,2,1
8,1,object_10,object_07,1059.8000000119,1,1,857.40000003576,0.4444444444444444,1,object_08,5,74,0,4,4,desert_7,2,memory-2step-stake-s,510,1065641,0.0-19.0-0.0-0.8,A3TT7QV49VCZJ9,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3T3IWE1XGA3P2OGC6TTF503VCA9QTY,1,2
9,4,object_04,object_01,1061.0999999642,8,1,801.09999996424,0.3333333333333333,2,object_06,1,77,0,5,3,restaurant_8,2,memory-2step-stake-s,511,1073953,0.0-19.0-0.0-0.9,A3TT7QV49VCZJ9,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3T3IWE1XGA3P2OGC6TTF503VCA9QTY,8,7
10,4,object_01,object_04,931.69999998808,8,2,645.19999998808,0.2222222222222222,2,object_06,5,87,0,7,2,restaurant_8,2,memory-2step-stake-s,512,1082012,0.0-19.0-0.0-0.10,A3TT7QV49VCZJ9,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3T3IWE1XGA3P2OGC6TTF503VCA9QTY,7,8
11,2,object_02,object_03,1093.5,3,2,714.80000001192,0.5555555555555556,1,object_08,5,112,0,5,2,forest_8,2,memory-2step-stake-s,513,1090470,0.0-19.0-0.0-0.11,A3TT7QV49VCZJ9,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3T3IWE1XGA3P2OGC6TTF503VCA9QTY,4,3
12,2,object_03,object_02,1170.3000000119,3,1,717.89999997616,0.2222222222222222,1,object_08,5,122,0,2,4,forest_2,2,memory-2step-stake-s,514,1098601,0.0-19.0-0.0-0.12,A3TT7QV49VCZJ9,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3T3IWE1XGA3P2OGC6TTF503VCA9QTY,3,4
13,4,object_01,object_04,1027.6000000238,7,1,755.09999996424,0.1111111111111111,1,object_08,1,123,0,1,0,restaurant_6,2,memory-2step-stake-s,515,1106667,0.0-19.0-0.0-0.13,A3TT7QV49VCZJ9,3Q9SPIIRXM2ML6FVM0W2D0Z2IA6WAR,3T3IWE1XGA3P2OGC6TTF503VCA9QTY,7,8
